,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,pypi_monthly_downloads,trending,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
187,blessings,erikrose/blessings,"A thin, practical wrapper around terminal capabilities in Python.",,cli-helpers,https://github.com/erikrose/blessings,https://github.com/erikrose/blessings,MIT,2011-11-07 10:09:09.000,2021-11-05 11:42:51.413,2020-10-20 23:43:16,177.0,,93,30.0,79.0,54.0,1288,2018-01-03 17:03:36.000,1.6.1,10.0,16.0,31.0,28,False,blessings,conda-forge/blessings,,,1598295.0,7960.0,6504.0,https://pypi.org/project/blessings,2018-06-21 14:00:07.000,1456.0,https://anaconda.org/conda-forge/blessings,2021-11-05 11:42:51.413,186350.0,,,,,3.0,1595026.0,,,,,,,,,,
188,py2neo,py2neo-org/py2neo,Py2neo is a comprehensive Neo4j driver library and toolkit for Python.,,db-clients,https://github.com/py2neo-org/py2neo,https://github.com/py2neo-org/py2neo,Apache-2.0,2011-07-03 10:01:07.000,2021-12-10 09:37:29.000,2021-12-10 09:37:17,2933.0,2.0,218,45.0,174.0,750.0,1067,2021-10-14 07:46:17.000,2021.2.3,114.0,33.0,12.0,28,True,py2neo,conda-forge/py2neo,,,56911.0,619.0,,https://pypi.org/project/py2neo,2021-10-14 07:46:17.000,619.0,https://anaconda.org/conda-forge/py2neo,2021-10-14 10:46:07.862,41524.0,,,,,3.0,56170.0,,,,,,,,,,
189,pysolr,django-haystack/pysolr,Pysolr Python Solr client.,,db-clients,https://github.com/django-haystack/pysolr,https://github.com/django-haystack/pysolr,BSD-3-Clause,2009-07-01 17:54:08.000,2022-01-31 22:32:42.000,2021-11-02 15:19:31,486.0,,320,35.0,238.0,119.0,614,2020-04-17 20:27:24.000,3.9.0,35.0,65.0,33.0,28,True,pysolr,conda-forge/pysolr,,,145527.0,3768.0,2493.0,https://pypi.org/project/pysolr,2021-10-19 00:38:41.000,1275.0,https://anaconda.org/conda-forge/pysolr,2020-04-28 01:47:13.562,17239.0,,,,,3.0,145240.0,,,,,,,,,,
190,pylibmc,lericson/pylibmc,A Python wrapper around the libmemcached interface from TangentOrg.,,caching,https://github.com/lericson/pylibmc,https://github.com/lericson/pylibmc,BSD-3-Clause,2009-07-31 19:51:02.000,2021-12-02 23:52:44.000,2021-10-26 14:27:29,598.0,,122,13.0,87.0,163.0,453,2019-08-15 12:04:18.000,1.6.1,42.0,49.0,25.0,28,True,pylibmc,conda-forge/pylibmc,,,158746.0,6121.0,3738.0,https://pypi.org/project/pylibmc,2019-08-15 12:04:18.000,2383.0,https://anaconda.org/conda-forge/pylibmc,2021-11-07 21:41:59.314,170551.0,,,,,2.0,156201.0,,,,,,,,,,
191,wcwidth,jquast/wcwidth,Python library that measures the width of unicode strings rendered to a terminal.,,cli-helpers,https://github.com/jquast/wcwidth,https://github.com/jquast/wcwidth,MIT,2014-04-05 09:57:11.000,2021-11-15 15:21:38.000,2021-09-28 20:21:42,223.0,,38,12.0,25.0,20.0,267,2020-06-23 16:10:28.000,0.2.5,17.0,11.0,12.0,28,True,wcwidth,conda-forge/wcwidth,,,21567988.0,255712.0,242565.0,https://pypi.org/project/wcwidth,2020-06-23 16:10:28.000,13147.0,https://anaconda.org/conda-forge/wcwidth,2020-09-24 16:45:20.691,8728063.0,,,,,3.0,21450042.0,,,,,,,,,,
192,configobj,DiffSK/configobj,Python 3+ compatible port of the configobj library.,,configuration,https://github.com/DiffSK/configobj,https://github.com/DiffSK/configobj,BSD-3-Clause,2014-01-14 02:30:17.000,2021-02-26 23:52:05.000,2020-10-14 22:37:57,309.0,,63,15.0,77.0,70.0,262,2016-08-26 14:28:03.000,5.0.6,16.0,22.0,68.0,28,False,configobj,conda-forge/configobj,,,1498807.0,20485.0,17145.0,https://pypi.org/project/configobj,2014-08-26 01:16:32.000,3340.0,https://anaconda.org/conda-forge/configobj,2018-07-29 15:42:19.501,338228.0,,,,,3.0,1490942.0,,,,,,,,,,
193,param,holoviz/param,Param: Make your Python code clearer and more reliable by declaring Parameters.,,data-validation,https://github.com/holoviz/param,https://github.com/holoviz/param,BSD-3-Clause,2012-05-01 11:51:08.000,2022-02-03 11:15:50.000,2022-01-18 16:09:09,697.0,9.0,50,19.0,292.0,193.0,262,2021-10-21 21:42:56.000,1.12.0,61.0,30.0,116.0,28,True,param,conda-forge/param,,,298787.0,3036.0,2909.0,https://pypi.org/project/param,2021-11-19 20:40:36.000,127.0,https://anaconda.org/conda-forge/param,2021-10-21 16:37:46.866,444020.0,,,,,3.0,291132.0,,,,,,,,,,
194,srsly,explosion/srsly,"Modern high-performance serialization utilities for Python (JSON, MessagePack, Pickle).",,serialization,https://github.com/explosion/srsly,https://github.com/explosion/srsly,MIT,2018-12-01 03:21:56.000,2021-12-13 14:13:34.000,2021-12-13 14:13:34,262.0,1.0,25,6.0,39.0,21.0,249,2021-10-22 09:01:52.000,2.4.2,32.0,11.0,,28,True,srsly,conda-forge/srsly,,,3594066.0,16098.0,15845.0,https://pypi.org/project/srsly,2021-10-22 09:01:52.000,253.0,https://anaconda.org/conda-forge/srsly,2021-12-07 12:35:38.777,670452.0,,,,,3.0,3575443.0,,,,,,,,,,
195,futures,agronholm/pythonfutures,Backport of the concurrent.futures package to Python 2.6 and 2.7.,,compatibility,https://github.com/agronholm/pythonfutures,https://github.com/agronholm/pythonfutures,Python-2.0,2015-03-13 23:36:07.000,2022-01-11 15:10:11.000,2022-01-11 15:10:11,127.0,1.0,46,9.0,28.0,65.0,218,2019-07-15 09:33:00.000,3.3.0,24.0,19.0,6.0,28,True,futures,conda-forge/futures,,,26155548.0,37199.0,29197.0,https://pypi.org/project/futures,2021-10-09 11:11:46.000,8002.0,https://anaconda.org/conda-forge/futures,2020-03-18 16:57:48.065,1181847.0,,,,,3.0,26137642.0,,,,,,,,,,
196,tzlocal,regebro/tzlocal,A Python module that tries to figure out what your local timezone is.,,date-time-utils,https://github.com/regebro/tzlocal,https://github.com/regebro/tzlocal,MIT,2012-09-11 12:34:21.000,2021-11-16 18:51:42.603,2021-10-29 12:36:44,258.0,,49,5.0,58.0,64.0,149,2021-10-26 13:46:12.000,4.0.2,37.0,25.0,3.0,28,True,tzlocal,conda-forge/tzlocal,,,17407243.0,3568.0,,https://pypi.org/project/tzlocal,2021-10-29 12:36:37.000,3568.0,https://anaconda.org/conda-forge/tzlocal,2021-11-16 18:51:42.603,835010.0,,,,,3.0,17394964.0,,,,,,,,,,
197,ordered-set,rspeer/ordered-set,A mutable set that remembers the order of its entries. One of Pythons missing data types.,,data-structures,https://github.com/rspeer/ordered-set,https://github.com/rspeer/ordered-set,MIT,2012-08-17 21:55:21.000,2022-01-28 18:01:59.000,2022-01-26 15:43:13,156.0,10.0,35,28.0,46.0,35.0,141,2022-01-26 14:38:48.000,4.1.0,18.0,18.0,2.0,28,True,ordered-set,conda-forge/ordered-set,,,4308114.0,282.0,,https://pypi.org/project/ordered-set,2022-01-26 14:38:48.000,282.0,https://anaconda.org/conda-forge/ordered-set,2022-01-26 18:24:17.544,116198.0,,,,,2.0,4306455.0,,,,,,,,,,
198,textract,deanmalmgren/textract,extract text from any document. no muss. no fuss.,,data-loading,https://github.com/deanmalmgren/textract,https://github.com/deanmalmgren/textract,MIT,2014-07-03 20:36:59.000,2022-01-17 14:05:14.000,2021-08-21 17:07:52,579.0,,469,84.0,206.0,126.0,3191,2021-08-21 17:09:22.000,1.6.4,17.0,39.0,87.0,27,True,textract,conda-forge/textract,,,67665.0,116.0,,https://pypi.org/project/textract,2021-08-21 17:07:16.000,116.0,https://anaconda.org/conda-forge/textract,2021-08-22 03:37:29.204,13270.0,,,,,3.0,67461.0,,,,,,,,,,
199,smart-open,RaRe-Technologies/smart_open,"Utils for streaming large files (S3, HDFS, gzip, bz2...).",,data-loading,https://github.com/RaRe-Technologies/smart_open,https://github.com/RaRe-Technologies/smart_open,MIT,2015-01-02 13:05:52.000,2022-01-03 21:13:34.000,2021-12-02 04:55:04,962.0,1.0,299,48.0,331.0,272.0,2351,2021-08-28 11:06:50.000,5.2.1,51.0,89.0,66.0,27,True,smart-open,conda-forge/smart_open,,,11795.0,438.0,,https://pypi.org/project/smart-open,2021-08-28 11:06:50.000,438.0,https://anaconda.org/conda-forge/smart_open,2021-08-29 12:02:06.856,754919.0,,,,,3.0,,,,,,,,,,,
200,returns,dry-python/returns,"Make your functions return something meaningful, typed, and safe!.",,utilities,https://github.com/dry-python/returns,https://github.com/dry-python/returns,BSD-2-Clause,2019-01-26 13:08:38.000,2022-02-02 19:52:33.000,2022-02-02 19:52:33,1386.0,133.0,87,35.0,893.0,324.0,2082,2021-12-31 16:50:08.000,0.18.0,20.0,39.0,54.0,27,True,returns,conda-forge/returns,,,76.0,155.0,131.0,https://pypi.org/project/returns,2021-12-31 16:50:46.000,24.0,https://anaconda.org/conda-forge/returns,2021-12-31 20:30:19.270,687.0,,,,,3.0,,,,,,,,,,,
201,Phoenix,wxWidgets/Phoenix,"wxPythons Project Phoenix. A new implementation of wxPython, better, stronger, faster than he was before.",,gui-dev,https://github.com/wxWidgets/Phoenix,https://github.com/wxWidgets/Phoenix,wxWindows,2012-07-17 06:22:25.000,2022-02-02 09:25:01.000,2022-01-25 00:57:51,5304.0,109.0,431,105.0,817.0,823.0,1724,2018-03-23 21:06:34.000,wxPython-4.0.0,12.0,111.0,452.0,27,False,wx,conda-forge/wxpython,,1873.0,6947.0,74.0,,https://pypi.org/project/wx,2016-08-17 03:22:15.000,74.0,https://anaconda.org/conda-forge/wxpython,2021-12-01 17:41:46.398,386852.0,,,,,3.0,,,,,,,,,,,
202,gdown,wkentaro/gdown,Download a large file from Google Drive (curl/wget fails because of the security notice).,,data-loading,https://github.com/wkentaro/gdown,https://github.com/wkentaro/gdown,MIT,2015-10-17 03:01:23.000,2022-01-31 11:46:25.243,2022-01-31 09:42:24,335.0,5.0,158,14.0,67.0,66.0,1669,2022-01-31 09:42:36.000,4.2.1,66.0,13.0,12.0,27,True,gdown,conda-forge/gdown,,,1471.0,6603.0,6442.0,https://pypi.org/project/gdown,2022-01-31 09:42:36.000,161.0,https://anaconda.org/conda-forge/gdown,2022-01-31 11:46:25.243,42680.0,,,,,3.0,,,,,,,,,,,
203,glom,mahmoud/glom,"Pythons nested data operator (and CLI), for all your declarative restructuring needs. Got data? Glom it!.",,data-structures,https://github.com/mahmoud/glom,https://github.com/mahmoud/glom,BSD-3-Clause,2018-04-18 06:03:24.000,2022-02-01 03:28:53.000,2022-01-24 09:44:42,945.0,37.0,50,20.0,89.0,65.0,1457,2020-11-04 06:18:34.000,20.11.0,21.0,19.0,95.0,27,True,glom,conda-forge/glom,,,608718.0,432.0,356.0,https://pypi.org/project/glom,2022-01-24 09:34:02.000,76.0,https://anaconda.org/conda-forge/glom,2020-11-11 00:05:15.875,8576.0,,,,,3.0,608423.0,,,,,,,,,,
204,gin-config,google/gin-config,Gin provides a lightweight configuration framework for Python.,,configuration,https://github.com/google/gin-config,https://github.com/google/gin-config,Apache-2.0,2018-06-27 20:21:12.000,2022-01-07 04:22:23.890,2021-11-04 16:06:34,145.0,,96,22.0,96.0,36.0,1434,2021-11-03 08:11:33.000,0.5.0,12.0,20.0,41.0,27,True,gin-config,conda-forge/gin-config,,,301665.0,3465.0,3388.0,https://pypi.org/project/gin-config,2021-11-03 08:11:33.000,77.0,https://anaconda.org/conda-forge/gin-config,2022-01-07 04:22:23.890,3594.0,,,,,3.0,301494.0,,,,,,,,,,
205,strictyaml,crdoconnor/strictyaml,Type-safe YAML parser and validator.,,data-validation,https://github.com/crdoconnor/strictyaml,https://github.com/crdoconnor/strictyaml,MIT,2016-06-17 10:56:18.000,2021-12-05 13:34:53.000,2021-12-05 13:34:44,738.0,37.0,40,23.0,35.0,63.0,974,2021-11-28 18:09:04.000,1.6.1,81.0,19.0,66.0,27,True,strictyaml,conda-forge/strictyaml,,,79196.0,598.0,500.0,https://pypi.org/project/strictyaml,2021-11-28 18:09:04.000,98.0,https://anaconda.org/conda-forge/strictyaml,2021-11-28 22:19:03.546,121992.0,,,,,3.0,76544.0,,,,,,,,,,
206,path,jaraco/path,Object-oriented file system path manipulation.,,file-path-utils,https://github.com/jaraco/path,https://github.com/jaraco/path,MIT,2012-04-21 02:59:29.000,2022-02-03 04:13:38.000,2022-01-07 02:00:19,1076.0,8.0,135,37.0,79.0,127.0,973,2022-01-07 02:04:37.000,16.3.0,14.0,45.0,1.0,27,True,path,conda-forge/path,,,599699.0,92.0,,https://pypi.org/project/path,2022-01-07 02:04:26.000,92.0,https://anaconda.org/conda-forge/path,2022-01-09 12:41:45.226,173797.0,,,,,3.0,593015.0,,,,,,,,,,
207,SDV,sdv-dev/SDV,"Synthetic Data Generation for tabular, relational and time series data.",,data-loading,https://github.com/sdv-dev/SDV,https://github.com/sdv-dev/SDV,MIT,2018-05-11 15:56:50.000,2022-01-31 19:41:13.000,2022-01-31 19:41:11,958.0,35.0,119,34.0,233.0,291.0,781,2021-12-22 20:35:56.000,0.13.1,62.0,39.0,148.0,27,True,sdv,conda-forge/sdv,,,12122.0,50.0,47.0,https://pypi.org/project/sdv,2021-12-22 20:34:21.000,3.0,https://anaconda.org/conda-forge/sdv,2021-12-23 19:10:58.462,111.0,,,,,3.0,12067.0,,,,,,,,,,
208,fastcore,fastai/fastcore,Python supercharged for the fastai library.,,others,https://github.com/fastai/fastcore,https://github.com/fastai/fastcore,Apache-2.0,2019-12-02 20:16:53.000,2022-01-27 00:14:14.000,2022-01-27 00:14:13,933.0,7.0,197,13.0,139.0,240.0,698,2021-11-01 23:08:36.000,1.3.27,103.0,43.0,13.0,27,True,fastcore,conda-forge/fastcore,,,377866.0,140.0,,https://pypi.org/project/fastcore,2021-11-01 23:08:36.000,140.0,https://anaconda.org/conda-forge/fastcore,2021-12-30 08:08:48.343,267.0,,,,,3.0,377733.0,,,,,,,,,,
209,munch,Infinidat/munch,A Munch is a Python dictionary that provides attribute-style access (a la JavaScript objects).,,data-structures,https://github.com/Infinidat/munch,https://github.com/Infinidat/munch,MIT,2012-03-08 21:20:50.000,2022-02-02 12:44:03.000,2021-01-22 10:01:54,166.0,,69,27.0,40.0,28.0,551,2019-10-30 09:56:06.000,2.5.0,14.0,24.0,9.0,27,False,munch,conda-forge/munch,,,2884271.0,769.0,,https://pypi.org/project/munch,2020-03-09 16:20:42.000,769.0,https://anaconda.org/conda-forge/munch,2019-10-30 13:10:23.404,1549059.0,,,,,3.0,2862454.0,,,,,,,,,,
210,dataclasses,ericvsmith/dataclasses,A backport of the dataclasses module for Python 3.6.,,compatibility,https://github.com/ericvsmith/dataclasses,https://github.com/ericvsmith/dataclasses,Apache-2.0,2017-05-19 20:46:27.000,2021-10-21 15:52:19.000,2021-10-21 15:52:19,288.0,,43,10.0,49.0,113.0,524,,,8.0,12.0,10.0,27,True,dataclasses,conda-forge/dataclasses,,,10075186.0,29444.0,27877.0,https://pypi.org/project/dataclasses,2020-11-13 14:40:29.000,1567.0,https://anaconda.org/conda-forge/dataclasses,2021-08-14 16:30:22.806,4040015.0,,,,,3.0,9985408.0,,,,,,,,,,
211,beaker,bbangert/beaker,WSGI middleware for sessions and caching.,,caching,https://github.com/bbangert/beaker,https://github.com/bbangert/beaker,BSD-3-Clause,2011-10-16 17:48:39.000,2021-12-07 19:48:31.000,2021-12-07 15:55:36,801.0,2.0,131,24.0,102.0,54.0,479,2019-08-26 22:02:52.000,1.11.0,59.0,86.0,65.0,27,True,beaker,conda-forge/beaker,,,256092.0,4578.0,3218.0,https://pypi.org/project/beaker,2019-08-26 22:02:01.000,1360.0,https://anaconda.org/conda-forge/beaker,2019-08-27 07:08:58.966,57214.0,,,,,3.0,255123.0,,,,,,,,,,
212,umongo,Scille/umongo,"sync/async MongoDB ODM, yes.",,db-clients,https://github.com/Scille/umongo,https://github.com/Scille/umongo,MIT,2016-03-09 16:34:42.000,2021-12-23 11:43:01.519,2021-12-23 08:38:05,810.0,8.0,64,18.0,181.0,150.0,392,2021-10-16 08:20:21.000,3.0.1,53.0,15.0,41.0,27,True,umongo,conda-forge/umongo,,,62797.0,3218.0,3204.0,https://pypi.org/project/umongo,2021-12-23 08:52:40.000,14.0,https://anaconda.org/conda-forge/umongo,2021-12-23 11:43:01.519,330.0,,,,,3.0,62731.0,,,,,,,,,,
213,cloudant,cloudant/python-cloudant,A Python library for Cloudant and CouchDB.,,db-clients,https://github.com/cloudant/python-cloudant,https://github.com/cloudant/python-cloudant,Apache-2.0,2015-08-28 16:22:49.000,2022-01-27 14:59:09.000,2022-01-27 14:59:05,833.0,9.0,51,101.0,265.0,248.0,166,2021-08-26 11:18:59.000,2.15.0,47.0,31.0,2.0,27,True,cloudant,conda-forge/cloudant,,,54595.0,1902.0,1616.0,https://pypi.org/project/cloudant,2021-08-26 11:14:04.000,286.0,https://anaconda.org/conda-forge/cloudant,2021-08-26 14:15:46.968,88649.0,,,,,3.0,53232.0,,,,,,,,,,
214,zipp,jaraco/zipp,Backport of pathlib-compatible object wrapper for zip files.,,file-path-utils,https://github.com/jaraco/zipp,https://github.com/jaraco/zipp,MIT,2018-11-15 21:24:48.000,2022-02-02 19:03:20.594,2021-12-31 00:17:47,445.0,9.0,23,2.0,30.0,48.0,22,2021-12-31 00:02:27.000,3.7.0,33.0,13.0,,27,False,zipp,conda-forge/zipp,,,78416143.0,3483.0,,https://pypi.org/project/zipp,2021-12-31 00:02:16.000,3483.0,https://anaconda.org/conda-forge/zipp,2022-02-02 19:03:20.594,10175532.0,,,,,3.0,78133490.0,,,,,,,,,,
215,importlib-resources,python/importlib_resources,Read resources from Python packages.,,inspect,https://github.com/python/importlib_resources,https://github.com/python/importlib_resources,Apache-2.0,2018-06-07 13:52:28.873,2022-01-18 22:44:07.000,2021-12-19 04:20:20,593.0,1.0,10,5.0,33.0,206.0,21,2021-10-30 14:51:09.000,5.4.0,47.0,21.0,7.0,27,False,importlib-resources,conda-forge/importlib_resources,,,32420891.0,493.0,,https://pypi.org/project/importlib-resources,2021-10-30 14:50:58.000,493.0,https://anaconda.org/conda-forge/importlib_resources,2021-11-26 20:44:29.432,2158081.0,,,,,2.0,32371844.0,,,,,,,,,,
216,powerline-shell,b-ryan/powerline-shell,A beautiful and useful prompt for your shell.,,others,https://github.com/b-ryan/powerline-shell,https://github.com/b-ryan/powerline-shell,MIT,2012-09-09 16:12:53.000,2021-05-17 16:44:58.000,2018-09-16 00:24:03,572.0,,734,152.0,286.0,168.0,5762,2018-09-16 00:34:48.000,0.7.0,26.0,85.0,125.0,26,False,powerline-shell,,,,2825.0,79.0,75.0,https://pypi.org/project/powerline-shell,2018-09-16 00:34:48.000,4.0,,,,,,,,3.0,2825.0,,,,,,,,,,
217,pyston,pyston/pyston,A faster and highly-compatible implementation of the Python programming language.,,python-implementations,https://github.com/pyston/pyston,https://github.com/pyston/pyston,Apache-2.0,2021-03-01 22:38:24.000,2022-02-02 18:07:07.000,2022-02-02 18:07:06,107108.0,136.0,59,29.0,117.0,37.0,1914,2022-02-02 15:12:53.000,pyston_2.3.2,4.0,1032.0,17.0,26,True,,,,7015.0,779.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
218,PyPika,kayak/pypika,PyPika is a python SQL query builder that exposes the full richness of the SQL language using a syntax that reflects..,,db-clients,https://github.com/kayak/pypika,https://github.com/kayak/pypika,Apache-2.0,2016-07-06 14:08:50.000,2022-01-31 18:33:49.000,2021-09-03 12:01:30,1016.0,,199,29.0,323.0,244.0,1552,2021-07-21 12:13:54.000,0.48.8,212.0,89.0,99.0,26,True,pypika,conda-forge/pypika,,,37.0,1097.0,1037.0,https://pypi.org/project/pypika,2021-07-21 12:13:54.000,60.0,https://anaconda.org/conda-forge/pypika,2021-10-25 08:47:19.091,149.0,,,,,3.0,,-5.0,,,,,,,,,
219,questionary,tmbo/questionary,"Python library to build pretty command line user prompts Easy to use multi-select lists, confirmations, free text..",,cli-helpers,https://github.com/tmbo/questionary,https://github.com/tmbo/questionary,MIT,2018-12-01 17:55:17.000,2022-01-17 23:41:44.000,2022-01-17 23:41:43,458.0,42.0,54,18.0,115.0,69.0,809,2021-07-15 10:11:00.000,1.10.0,20.0,29.0,23.0,26,True,questionary,conda-forge/questionary,,,735703.0,179.0,,https://pypi.org/project/questionary,2021-07-15 10:11:00.000,179.0,https://anaconda.org/conda-forge/questionary,2021-07-15 12:34:52.920,3739.0,,,,,3.0,735436.0,,,,,,,,,,
220,sqlitedict,RaRe-Technologies/sqlitedict,"Persistent dict, backed by sqlite3 and pickle, multithread-safe.",,data-structures,https://github.com/RaRe-Technologies/sqlitedict,https://github.com/RaRe-Technologies/sqlitedict,Apache-2.0,2011-07-19 14:09:09.000,2021-10-24 03:13:26.000,2021-10-24 03:13:26,257.0,,102,26.0,62.0,59.0,763,2020-09-10 06:11:55.000,1.7.0,18.0,33.0,24.0,26,True,sqlitedict,conda-forge/sqlitedict,,,129020.0,1578.0,1399.0,https://pypi.org/project/sqlitedict,2020-09-04 04:52:38.000,179.0,https://anaconda.org/conda-forge/sqlitedict,2020-09-30 16:31:44.818,21389.0,,,,,3.0,128472.0,,,,,,,,,,
221,piccolos,piccolo-orm/piccolo,"A fast, user friendly ORM and query builder which supports asyncio.",,db-clients,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26.000,2022-02-02 21:29:26.000,2022-02-02 14:44:04,1452.0,112.0,38,13.0,222.0,98.0,673,2022-02-02 14:50:17.000,0.68.0,171.0,24.0,43.0,26,True,piccolo,,,,6205.0,45.0,40.0,https://pypi.org/project/piccolo,2022-02-02 14:50:17.000,5.0,,,,,,,,3.0,6205.0,,,,,,,,,,
222,parsedatetime,bear/parsedatetime,Parse human-readable date/time strings.,,date-time-utils,https://github.com/bear/parsedatetime,https://github.com/bear/parsedatetime,Apache-2.0,2012-09-12 06:44:45.000,2021-11-20 18:05:10.000,2021-11-20 18:05:09,427.0,2.0,103,26.0,124.0,96.0,635,2020-05-31 23:52:03.000,2.6,17.0,55.0,63.0,26,True,parsedatetime,conda-forge/parsedatetime,,,2168345.0,5148.0,3925.0,https://pypi.org/project/parsedatetime,2020-05-31 23:50:56.000,1223.0,https://anaconda.org/conda-forge/parsedatetime,2020-06-10 17:26:40.760,101281.0,,,,,3.0,2166787.0,,,,,,,,,,
223,HappyBase,python-happybase/happybase,A developer-friendly Python library to interact with Apache HBase.,,db-clients,https://github.com/python-happybase/happybase,https://github.com/python-happybase/happybase,MIT,2012-05-20 20:06:10.000,2021-04-25 18:43:44.000,2021-02-08 18:27:40,284.0,,152,37.0,47.0,183.0,577,2019-05-14 14:17:26.000,1.2.0,12.0,19.0,30.0,26,True,happybase,conda-forge/happybase,,,111446.0,808.0,582.0,https://pypi.org/project/happybase,2019-05-14 14:17:26.000,226.0,https://anaconda.org/conda-forge/happybase,2019-07-01 13:37:04.756,71339.0,,,,,3.0,110397.0,,,,,,,,,,
224,janus,aio-libs/janus,Thread-safe asyncio-aware queue for Python.,,data-structures,https://github.com/aio-libs/janus,https://github.com/aio-libs/janus,Apache-2.0,2015-06-08 15:45:28.000,2022-02-02 04:20:34.000,2022-02-02 04:20:33,528.0,32.0,32,20.0,362.0,32.0,573,2021-12-17 09:06:26.000,1.0.0,18.0,23.0,2.0,26,True,janus,conda-forge/janus,,,224003.0,92.0,,https://pypi.org/project/janus,2021-12-17 09:00:32.000,92.0,https://anaconda.org/conda-forge/janus,2021-12-17 16:01:40.259,8062.0,,,,,3.0,223752.0,,,,,,,,,,
225,pysimdjson,TkTech/pysimdjson,Python bindings for the simdjson project.,,serialization,https://github.com/TkTech/pysimdjson,https://github.com/TkTech/pysimdjson,MIT,2019-02-22 03:26:04.000,2021-12-06 02:09:56.000,2021-12-06 01:23:28,267.0,12.0,40,8.0,20.0,62.0,507,2021-12-06 02:07:55.000,4.0.3,33.0,12.0,13.0,26,True,pysimdjson,conda-forge/pysimdjson,,,113412.0,213.0,202.0,https://pypi.org/project/pysimdjson,2021-12-06 02:07:55.000,11.0,https://anaconda.org/conda-forge/pysimdjson,2021-11-05 14:07:28.388,17253.0,,,,,3.0,112334.0,,,,,,,,,,
226,python-rapidjson,python-rapidjson/python-rapidjson,Python wrapper around rapidjson.,,serialization,https://github.com/python-rapidjson/python-rapidjson,https://github.com/python-rapidjson/python-rapidjson,MIT,2015-09-09 04:02:42.000,2022-01-22 11:28:07.000,2022-01-22 11:27:35,649.0,6.0,36,8.0,61.0,88.0,436,2020-11-16 12:53:09.000,0.9.4,53.0,18.0,10.0,26,True,python-rapidjson,conda-forge/python-rapidjson,,,612822.0,2288.0,2057.0,https://pypi.org/project/python-rapidjson,2021-10-16 08:51:56.000,231.0,https://anaconda.org/conda-forge/python-rapidjson,2021-11-12 03:05:16.833,822082.0,,,,,3.0,599346.0,,,,,,,,,,
227,pyscreenshot,ponty/pyscreenshot,"Python screenshot library, replacement for the Pillow ImageGrab module on Linux.",,others,https://github.com/ponty/pyscreenshot,https://github.com/ponty/pyscreenshot,BSD-2-Clause,2011-02-01 13:02:51.000,2022-01-15 22:10:28.000,2022-01-01 17:18:49,578.0,6.0,79,15.0,25.0,61.0,420,2018-12-21 10:20:02.000,0.5.1,22.0,23.0,5.0,26,True,pyscreenshot,,,,100325.0,1652.0,1407.0,https://pypi.org/project/pyscreenshot,2021-04-18 19:30:22.000,245.0,,,,,,,,3.0,100325.0,,,,,,,,,,
228,tabulator-py,frictionlessdata/tabulator-py,Python library for reading and writing tabular data via streams.,,data-loading,https://github.com/frictionlessdata/tabulator-py,https://github.com/frictionlessdata/tabulator-py,MIT,2015-08-24 05:34:38.000,2021-06-01 12:40:01.000,2021-03-22 13:33:48,657.0,,44,21.0,162.0,178.0,218,2021-03-21 07:47:00.000,1.53.5,141.0,27.0,,26,True,tabulator,conda-forge/tabulator-py,,,348692.0,771.0,698.0,https://pypi.org/project/tabulator,2021-03-21 07:47:00.000,73.0,https://anaconda.org/conda-forge/tabulator-py,2018-07-24 12:57:07.018,45941.0,,,,,3.0,347872.0,,,,,,,,,,
229,Send2Trash,arsenetar/send2trash,Python library to natively send files to Trash (or Recycle bin) on all platforms.,,others,https://github.com/arsenetar/send2trash,https://github.com/arsenetar/send2trash,BSD-3-Clause,2013-07-19 22:13:14.000,2021-08-24 06:21:27.000,2021-08-24 06:21:12,149.0,,31,6.0,24.0,25.0,189,2021-08-09 23:11:59.000,1.8.0,14.0,13.0,18.0,26,True,send2trash,conda-forge/send2trash,,,13540226.0,2690.0,,https://pypi.org/project/send2trash,2021-08-21 03:44:45.000,2690.0,https://anaconda.org/conda-forge/send2trash,2021-08-09 12:16:59.375,4185166.0,,,,,3.0,13454815.0,,,,,,,,,,
