,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,pypi_monthly_downloads,trending,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
157,filelock,tox-dev/py-filelock,A platform-independent file lock for Python.,,file-path-utils,https://github.com/tox-dev/py-filelock,https://github.com/tox-dev/py-filelock,Unlicense,2014-02-23 00:29:27.000,2022-02-01 00:35:00.000,2022-02-01 00:34:59,156.0,17.0,64,8.0,62.0,55.0,386,2021-12-26 17:13:26.000,3.4.2,39.0,19.0,15.0,30,True,filelock,conda-forge/filelock,,,32252101.0,2182.0,,https://pypi.org/project/filelock,2021-12-26 17:13:26.000,2182.0,https://anaconda.org/conda-forge/filelock,2022-01-06 12:02:06.138,5404329.0,,,,,3.0,32172626.0,,,,,,,,,,
158,google-cloud-bigtable,googleapis/python-bigtable,Google Cloud Bigtable API client library.,,db-clients,https://github.com/googleapis/python-bigtable,https://github.com/googleapis/python-bigtable,Apache-2.0,2019-04-29 11:11:36.651,2022-02-03 00:54:53.000,2022-01-25 19:22:44,572.0,14.0,27,38.0,374.0,111.0,28,2021-09-27 16:13:36.000,2.4.0,42.0,59.0,15.0,30,False,google-cloud-bigtable,conda-forge/google-cloud-bigtable,,,11149263.0,2078.0,1856.0,https://pypi.org/project/google-cloud-bigtable,2021-09-27 16:13:36.000,222.0,https://anaconda.org/conda-forge/google-cloud-bigtable,2021-09-28 04:03:14.597,37133.0,,,,,3.0,11148171.0,,,,,,,,,,
159,algorithms,keon/algorithms,Minimal examples of data structures and algorithms in Python.,,algorithms,https://github.com/keon/algorithms,https://github.com/keon/algorithms,MIT,2016-11-17 22:32:08.000,2022-02-01 14:51:14.000,2022-01-09 07:19:33,930.0,7.0,4059,641.0,681.0,93.0,20320,2020-10-04 14:44:02.000,0.1.4,5.0,179.0,167.0,29,True,algorithms,conda-forge/algorithms,,,1450.0,70.0,56.0,https://pypi.org/project/algorithms,2020-10-04 14:44:02.000,14.0,https://anaconda.org/conda-forge/algorithms,2021-04-23 14:22:33.326,500.0,,,,,3.0,1400.0,,,,,,,,,,
160,csvkit,wireservice/csvkit,"A suite of utilities for converting to and working with CSV, the king of tabular file formats.",,data-loading,https://github.com/wireservice/csvkit,https://github.com/wireservice/csvkit,MIT,2011-04-01 03:00:30.000,2021-10-08 18:06:14.000,2021-10-08 18:06:12,1767.0,,558,135.0,318.0,772.0,4848,2021-07-13 21:14:14.000,1.0.6,34.0,100.0,67.0,29,True,csvkit,conda-forge/csvkit,,,55495.0,1356.0,990.0,https://pypi.org/project/csvkit,2021-07-13 21:14:14.000,366.0,https://anaconda.org/conda-forge/csvkit,2021-07-13 23:18:29.990,58616.0,,,,,2.0,54502.0,,,,,,,,,,
161,Eel,ChrisKnott/Eel,A little Python library for making simple Electron-like HTML/JS GUI apps.,,gui-dev,https://github.com/ChrisKnott/Eel,https://github.com/ChrisKnott/Eel,MIT,2017-12-27 21:37:12.000,2022-01-13 14:22:11.000,2021-10-19 20:35:42,257.0,,482,134.0,128.0,305.0,4796,2020-08-17 18:18:21.000,0.14.0,36.0,38.0,137.0,29,True,eel,,,,41851.0,3085.0,3025.0,https://pypi.org/project/eel,2020-08-17 18:18:21.000,60.0,,,,,,,,2.0,41851.0,,,,,,,,,,
162,PDFMiner,euske/pdfminer,Python PDF Parser (Not actively maintained). Check out pdfminer.six.,,data-loading,https://github.com/euske/pdfminer,https://github.com/euske/pdfminer,MIT,2010-12-12 12:50:22.000,2021-12-15 14:45:46.670,2020-01-18 07:00:32,540.0,,1078,221.0,80.0,41.0,4730,,,26.0,28.0,231.0,29,False,pdfminer,conda-forge/pdfminer,,,157628.0,3530.0,2740.0,https://pypi.org/project/pdfminer,2021-12-15 14:45:46.670,790.0,https://anaconda.org/conda-forge/pdfminer,2021-02-15 15:07:18.804,20480.0,,,,,2.0,157318.0,,,,,,,,,,
163,toga,beeware/toga,"A Python native, OS native GUI toolkit.",,gui-dev,https://github.com/beeware/toga,https://github.com/beeware/toga,BSD-3-Clause,2014-08-01 21:44:10.000,2022-01-31 13:08:43.000,2022-01-30 01:52:22,4581.0,151.0,505,92.0,863.0,384.0,2931,2017-08-14 18:29:09.000,0.2.15,51.0,201.0,138.0,29,True,toga,,@pybee/toga,,2189.0,32.0,,https://pypi.org/project/toga,2022-01-07 11:46:01.000,32.0,,,,https://www.npmjs.com/package/@pybee/toga,2017-04-23 05:17:57.458,,24.0,2.0,2165.0,,,,,,,,,,
164,asciimatics,peterbrittain/asciimatics,"A cross platform package to do curses-like operations, plus higher level APIs and widgets to create text UIs and ASCII..",,cli-helpers,https://github.com/peterbrittain/asciimatics,https://github.com/peterbrittain/asciimatics,Apache-2.0,2015-04-15 20:18:41.000,2022-01-16 20:24:20.000,2022-01-16 20:24:20,1061.0,23.0,216,61.0,74.0,249.0,2921,2021-04-05 16:37:38.000,1.13.0,22.0,38.0,20.0,29,True,asciimatics,conda-forge/asciimatics,,,10378.0,696.0,590.0,https://pypi.org/project/asciimatics,2021-04-05 16:32:43.000,106.0,https://anaconda.org/conda-forge/asciimatics,2021-11-15 19:07:13.401,85168.0,,,,,3.0,8527.0,,,,,,,,,,
165,tortoise-orm,tortoise/tortoise-orm,"Familiar asyncio ORM for python, built with relations in mind.",,db-clients,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10.000,2022-01-26 09:24:51.000,2022-01-12 04:42:56,1057.0,18.0,235,40.0,370.0,399.0,2651,2022-01-10 12:58:01.000,0.18.1,145.0,93.0,296.0,29,True,tortoise-orm,conda-forge/tortoise-orm,,9.0,56594.0,47.0,,https://pypi.org/project/tortoise-orm,2022-01-10 12:58:01.000,47.0,https://anaconda.org/conda-forge/tortoise-orm,2022-01-10 16:58:48.637,1759.0,,,,,3.0,56375.0,,,,,,,,,,
166,deepdiff,seperman/deepdiff,Deep Difference and search of any Python object/data.,,inspect,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,MIT,2014-09-26 03:21:47.000,2022-01-31 20:31:27.000,2021-12-17 19:31:44,857.0,12.0,160,24.0,118.0,142.0,1254,2021-12-17 19:33:00.000,5.7.0,62.0,59.0,35.0,29,True,deepdiff,conda-forge/deepdiff,,,1438.0,3376.0,2773.0,https://pypi.org/project/deepdiff,2021-12-17 19:33:00.000,603.0,https://anaconda.org/conda-forge/deepdiff,2021-12-17 22:25:12.630,74782.0,,,,,1.0,,,,,,,,,,,
