,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,conda_dependent_project_count,labels,updated_github_id,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
175,omegaconf,omry/omegaconf,Flexible Python configuration system. The last one you will ever need.,,configuration,https://github.com/omry/omegaconf,https://github.com/omry/omegaconf,BSD-3-Clause,2018-09-03 14:59:01.000,2022-03-09 16:21:28.000,2022-03-04 14:08:59,927.0,25.0,59,17.0,433.0,50.0,371.0,1052,2021-08-19 19:57:14.000,2.1.1,130.0,23.0,29,True,omegaconf,conda-forge/omegaconf,,,1892276.0,3393.0,3323.0,https://pypi.org/project/omegaconf,2021-08-19 19:57:14.000,70.0,1874367.0,https://anaconda.org/conda-forge/omegaconf,2022-03-06 21:56:13.846,465650.0,,,,,3.0,,,,,,,,,,,
176,redis-py-cluster,grokzen/redis-py-cluster,Python cluster client for the official redis cluster. Redis 3.0+.,,db-clients,https://github.com/Grokzen/redis-py-cluster,https://github.com/Grokzen/redis-py-cluster,MIT,2013-05-21 06:41:34.000,2021-11-11 04:42:52.000,2021-06-25 08:12:31,743.0,,300,53.0,207.0,28.0,250.0,1041,2021-05-30 09:23:19.000,2.1.3,19.0,72.0,29,True,redis-py-cluster,,,2942.0,2275815.0,1272.0,1067.0,https://pypi.org/project/redis-py-cluster,2021-05-30 09:21:45.000,205.0,2275782.0,,,,,,,,3.0,,,,,,,,,,,
177,fastcore,fastai/fastcore,Python supercharged for the fastai library.,,others,https://github.com/fastai/fastcore,https://github.com/fastai/fastcore,Apache-2.0,2019-12-02 20:16:53.000,2022-03-03 18:45:25.000,2022-03-03 18:45:24,960.0,32.0,203,14.0,143.0,12.0,244.0,705,2022-02-24 05:08:23.000,1.3.29,105.0,45.0,29,True,fastcore,conda-forge/fastcore,,,463345.0,152.0,,https://pypi.org/project/fastcore,2022-02-24 05:08:23.000,152.0,463138.0,https://anaconda.org/conda-forge/fastcore,2022-02-24 13:08:40.035,623.0,,,,,3.0,2.0,,,,,,,,,,
178,Intake,intake/intake,"Intake is a lightweight package for finding, investigating, loading and disseminating data.",,data-loading,https://github.com/intake/intake,https://github.com/intake/intake,BSD-2-Clause,2017-08-14 20:44:22.000,2022-03-07 17:59:16.000,2022-03-07 17:59:16,1796.0,39.0,116,42.0,359.0,85.0,218.0,699,2022-01-09 22:33:59.000,0.6.5,24.0,72.0,29,True,intake,conda-forge/intake,,,20170.0,433.0,340.0,https://pypi.org/project/intake,2022-01-09 22:33:59.000,93.0,16696.0,https://anaconda.org/conda-forge/intake,2022-01-10 03:38:28.358,138994.0,,,,,3.0,,,,,,,,,,,
179,inflect,jaraco/inflect,"Correctly generate plurals, ordinals, indefinite articles; convert numbers to words.",,text,https://github.com/jaraco/inflect,https://github.com/jaraco/inflect,MIT,2010-06-20 13:43:13.000,2022-03-02 15:00:20.000,2022-02-25 19:21:11,714.0,27.0,71,19.0,66.0,15.0,68.0,622,2022-02-01 03:14:17.000,5.4.0,34.0,39.0,29,True,inflect,conda-forge/inflect,,,1312934.0,875.0,,https://pypi.org/project/inflect,2022-02-01 03:14:04.000,875.0,1309579.0,https://anaconda.org/conda-forge/inflect,2022-02-01 07:34:47.456,197946.0,,,,,3.0,,,,,,,,,,,
180,natsort,SethMMorton/natsort,Simple yet flexible natural sorting in Python.,,utilities,https://github.com/SethMMorton/natsort,https://github.com/SethMMorton/natsort,MIT,2012-05-03 02:58:47.000,2022-01-31 13:45:01.165,2022-01-31 03:19:44,939.0,22.0,32,13.0,70.0,1.0,74.0,617,2022-01-31 03:20:42.000,8.1.0,55.0,19.0,29,True,natsort,conda-forge/natsort,,,3212191.0,11333.0,10386.0,https://pypi.org/project/natsort,2022-01-31 03:20:42.000,947.0,3202426.0,https://anaconda.org/conda-forge/natsort,2022-01-31 13:45:01.165,585941.0,,,,,3.0,,,,,,,,,,,
181,ConfigArgParse,bw2/ConfigArgParse,A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.,,cli-helpers,https://github.com/bw2/ConfigArgParse,https://github.com/bw2/ConfigArgParse,MIT,2014-06-25 00:27:02.000,2022-03-04 20:34:39.000,2021-10-06 13:53:24,314.0,,99,12.0,84.0,63.0,119.0,583,2021-10-03 23:08:01.000,1.5.3,26.0,48.0,29,True,configargparse,conda-forge/configargparse,,,1680034.0,8347.0,6944.0,https://pypi.org/project/configargparse,2021-10-03 00:17:22.000,1403.0,1676148.0,https://anaconda.org/conda-forge/configargparse,2021-10-04 14:51:00.922,260407.0,,,,,3.0,,,,,,,,,,,
182,validators,kvesteri/validators,Python Data Validation for Humans.,,data-validation,https://github.com/kvesteri/validators,https://github.com/kvesteri/validators,MIT,2013-10-17 08:16:32.000,2022-02-20 17:30:20.000,2021-11-11 07:45:31,226.0,,100,12.0,90.0,97.0,32.0,562,2020-12-18 10:27:27.000,0.18.2,36.0,38.0,29,True,validators,conda-forge/validators,,,2875097.0,34789.0,33368.0,https://pypi.org/project/validators,2020-12-18 10:27:27.000,1421.0,2872428.0,https://anaconda.org/conda-forge/validators,2020-12-18 12:58:27.348,74732.0,,,,,3.0,,,,,,,,,,,
183,scandir,benhoyt/scandir,"Better directory iterator and faster os.walk(), now in the Python 3.5 stdlib.",,file-path-utils,https://github.com/benhoyt/scandir,https://github.com/benhoyt/scandir,BSD-3-Clause,2013-05-13 08:14:57.000,2022-01-23 20:46:14.000,2022-01-23 20:18:18,454.0,2.0,62,25.0,45.0,11.0,90.0,495,2019-03-09 18:00:51.000,1.10.0,16.0,22.0,29,True,scandir,conda-forge/scandir,,,4016724.0,15255.0,13076.0,https://pypi.org/project/scandir,2019-03-09 17:58:19.000,2179.0,3999261.0,https://anaconda.org/conda-forge/scandir,2021-11-02 18:20:52.340,1187513.0,,,,,3.0,,,,,,,,,,,
184,rsa,sybrenstuvel/python-rsa,Python-RSA is a pure-Python RSA implementation.,,cryptography,https://github.com/sybrenstuvel/python-rsa,https://github.com/sybrenstuvel/python-rsa,Apache-2.0,2016-01-21 12:53:34.000,2022-02-28 18:27:21.000,2022-02-28 18:27:21,547.0,2.0,82,10.0,95.0,17.0,84.0,367,2021-02-24 10:55:03.000,4.7.2,35.0,36.0,29,True,rsa,conda-forge/rsa,,,102377227.0,6777.0,,https://pypi.org/project/rsa,2021-11-24 10:09:16.000,6777.0,102296283.0,https://anaconda.org/conda-forge/rsa,2021-11-24 19:14:43.537,5504231.0,,,,,3.0,-2.0,,,,,,,,,,
