,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,conda_dependent_project_count,trending,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url
271,ODMantic,art049/odmantic,Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,db-clients,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45.000,2021-10-12 04:15:47.000,2021-07-05 14:51:17.000,38.0,38.0,401.0,2021-05-12 00:01:27.000,0.3.5,10.0,10.0,47.0,20,True,327.0,,odmantic,,10064.0,,,https://pypi.org/project/odmantic,2021-05-11 23:57:07.000,,10064.0,,,,3.0,,,,,,,,
272,valideer,podio/valideer,Lightweight data validation and adaptation Python library.,,data-validation,https://github.com/podio/valideer,https://github.com/podio/valideer,MIT,2012-07-25 12:33:39.000,2020-03-08 21:45:00.000,2018-03-07 14:51:59.000,18.0,11.0,246.0,2015-12-20 08:56:50.000,0.4.2,8.0,7.0,7.0,20,False,89.0,conda-forge/valideer,valideer,,66928.0,76.0,46.0,https://pypi.org/project/valideer,2015-12-20 08:56:50.000,30.0,66671.0,https://anaconda.org/conda-forge/valideer,2018-07-06 17:55:22.261,16970.0,3.0,,,,,,,,
273,Queries,gmr/queries,PostgreSQL database access simplified.,,db-clients,https://github.com/gmr/queries,https://github.com/gmr/queries,BSD-3-Clause,2012-08-24 16:12:55.000,2020-11-04 14:26:15.000,2020-08-07 16:32:54.000,28.0,13.0,236.0,2020-03-09 17:40:07.000,2.1.0,29.0,11.0,5.0,20,False,334.0,,queries,,2778.0,148.0,98.0,https://pypi.org/project/queries,2020-03-09 17:40:07.000,50.0,2778.0,,,,3.0,,,,,,,,
274,docopt-ng,jazzband/docopt-ng,"Humane command line arguments parser. Now with maintenance, typehints, and complete test coverage.",,cli-helpers,https://github.com/jazzband/docopt-ng,https://github.com/jazzband/docopt-ng,MIT,2019-03-26 15:35:29.000,2021-10-13 20:22:00.000,2021-10-13 20:21:59.000,11.0,2.0,57.0,2019-03-26 17:03:46.000,0.7.2,4.0,42.0,16.0,20,False,525.0,,docopt-ng,,4278.0,46.0,44.0,https://pypi.org/project/docopt-ng,2019-03-26 17:03:46.000,2.0,4278.0,,,,3.0,,,,,,,,
275,macropy,lihaoyi/macropy,"Macros in Python: quasiquotes, case classes, LINQ and more!.",,others,https://github.com/lihaoyi/macropy,https://github.com/lihaoyi/macropy,MIT,2013-04-15 14:47:29.000,2021-07-12 12:01:58.000,2020-03-03 22:30:21.000,160.0,59.0,3116.0,,,4.0,19.0,17.0,19,False,885.0,,macropy3,,,493.0,443.0,https://pypi.org/project/macropy3,2018-05-11 23:17:05.000,50.0,,,,,3.0,,,,,,,,
276,PyPattyrn,tylerlaberge/PyPattyrn,A simple library for implementing common design patterns.,,algorithms,https://github.com/tylerlaberge/PyPattyrn,https://github.com/tylerlaberge/PyPattyrn,MIT,2016-07-17 22:09:31.000,2021-09-07 23:52:51.000,2020-02-09 19:26:00.000,112.0,40.0,1312.0,2016-09-11 02:13:18.000,1.2,3.0,4.0,,19,False,103.0,,pypattyrn,,3356.0,15.0,15.0,https://pypi.org/project/pypattyrn,2016-09-11 02:18:42.000,0.0,3356.0,,,,3.0,,,,,,,,
277,ratelimit,tomasbasham/ratelimit,API Rate Limit Decorator.,,utilities,https://github.com/tomasbasham/ratelimit,https://github.com/tomasbasham/ratelimit,MIT,2015-08-26 10:39:52.000,2021-06-24 18:23:10.000,2019-02-06 21:53:36.000,100.0,18.0,427.0,2018-12-17 18:55:49.000,2.2.1,11.0,8.0,25.0,19,False,36.0,,ratelimit,,,1293.0,1175.0,https://pypi.org/project/ratelimit,2018-12-17 18:55:49.000,118.0,,,,,3.0,,,-6.0,,,,,
278,gsheets-db-api,betodealmeida/gsheets-db-api,A Python DB-API and SQLAlchemy dialect to Google Spreasheets.,,db-clients,https://github.com/betodealmeida/gsheets-db-api,https://github.com/betodealmeida/gsheets-db-api,MIT,2018-09-10 22:07:02.000,2021-06-02 03:05:24.000,2021-02-17 20:59:41.000,13.0,5.0,157.0,2020-12-04 17:53:17.000,0.1.12,13.0,3.0,8.0,19,True,132.0,,gsheetsdb,,22421.0,103.0,100.0,https://pypi.org/project/gsheetsdb,2020-12-04 17:53:17.000,3.0,22421.0,,,,3.0,,,,,,,,
279,coolname,alexanderlukanin13/coolname,Random Name and Slug Generator.,,text,https://github.com/alexanderlukanin13/coolname,https://github.com/alexanderlukanin13/coolname,BSD-2-Clause,2015-11-06 18:07:11.000,2021-09-05 12:13:23.000,2021-04-02 11:44:23.000,5.0,5.0,78.0,2018-08-02 15:41:30.000,1.1.0,6.0,2.0,3.0,19,False,130.0,conda-forge/coolname,coolname,,54506.0,282.0,260.0,https://pypi.org/project/coolname,2018-08-02 15:41:30.000,22.0,53245.0,https://anaconda.org/conda-forge/coolname,2021-01-11 15:13:03.517,12611.0,3.0,,,,,,,,
280,aiomisc,aiokitchen/aiomisc,aiomisc - miscellaneous utils for asyncio.,,async,https://github.com/aiokitchen/aiomisc,https://github.com/aiokitchen/aiomisc,MIT,2018-04-13 14:33:37.000,2021-10-14 11:13:59.000,2021-09-20 14:25:44.000,15.0,5.0,232.0,2021-09-20 14:26:16.000,14.4.6,151.0,13.0,10.0,18,True,591.0,,aiomisc,,,109.0,105.0,https://pypi.org/project/aiomisc,2021-09-20 14:26:16.000,4.0,,,,,3.0,,,,,,,,
