,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,updated_github_id,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
30,colorama,tartley/colorama,Simple cross-platform colored terminal text in Python.,,cli-helpers,https://github.com/tartley/colorama,https://github.com/tartley/colorama,BSD-3-Clause,2014-04-17 20:18:25.000000,2021-10-20 02:06:29.000000,2021-10-07 19:50:29.000000,192.0,120.0,110.0,2608.0,2020-10-13 02:42:26.000000,0.4.4,42.0,44.0,34,True,310.0,conda-forge/colorama,colorama,,102021976.0,285277.0,253661.0,https://pypi.org/project/colorama,2020-10-13 02:42:26.000000,31616.0,101935148.0,https://anaconda.org/conda-forge/colorama,2020-10-16 16:43:32.974000,5730668.0,1.0,,,,,,,,,,
31,pycryptodomex,Legrandin/pycryptodome,A self-contained cryptographic library for Python.,,cryptography,https://github.com/Legrandin/pycryptodome,https://github.com/Legrandin/pycryptodome,BSD-3-Clause,2014-05-02 15:11:38.000000,2021-10-19 10:51:12.000000,2021-10-16 10:17:46.000000,313.0,60.0,376.0,1748.0,2021-10-08 11:01:12.000000,3.11.0,37.0,112.0,34,True,2582.0,conda-forge/pycryptodomex,pycryptodomex,,13084049.0,34586.0,33044.0,https://pypi.org/project/pycryptodomex,2021-10-08 11:01:12.000000,1542.0,13073725.0,https://anaconda.org/conda-forge/pycryptodomex,2021-10-09 16:45:43.121000,474906.0,1.0,,,,,,,,,,
32,python-dateutil,dateutil/dateutil,Useful extensions to the standard Python datetime features.,,date-time-utils,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,Apache-2.0,2014-11-19 18:56:16.000000,2021-10-12 09:58:53.000000,2021-10-12 09:58:53.000000,378.0,258.0,367.0,1676.0,2021-07-14 08:19:18.000000,2.8.2,24.0,126.0,34,True,1552.0,conda-forge/python-dateutil,python-dateutil,34633.0,289083.0,694564.0,577936.0,https://pypi.org/project/python-dateutil,2021-07-14 08:19:18.000000,116628.0,,https://anaconda.org/conda-forge/python-dateutil,2021-07-14 18:14:54.171000,18761988.0,2.0,,,,,,,,,,
33,wrapt,GrahamDumpleton/wrapt,"A Python module for decorators, wrappers and monkey patching.",,others,https://github.com/GrahamDumpleton/wrapt,https://github.com/GrahamDumpleton/wrapt,BSD-2-Clause,2013-05-29 10:22:45.000000,2021-10-17 01:01:12.000000,2021-10-17 00:37:29.000000,200.0,29.0,109.0,1556.0,2021-10-13 03:23:26.000000,1.13.2,43.0,21.0,34,True,609.0,conda-forge/wrapt,wrapt,,36168821.0,21338.0,,https://pypi.org/project/wrapt,2021-10-17 00:50:45.000000,21338.0,36095031.0,https://anaconda.org/conda-forge/wrapt,2021-10-13 13:39:24.938000,4575016.0,1.0,,,,,,,,,,
34,pyparsing,pyparsing/pyparsing,Python library for creating PEG parsers.,,others,https://github.com/pyparsing/pyparsing,https://github.com/pyparsing/pyparsing,MIT,2016-06-12 20:32:44.411000,2021-10-20 15:14:06.000000,2021-10-20 15:14:02.000000,185.0,26.0,170.0,1282.0,2020-04-05 22:23:00.000000,pyparsing_2.4.7,53.0,36.0,34,True,844.0,conda-forge/pyparsing,pyparsing,5965.0,69586913.0,444285.0,385263.0,https://pypi.org/project/pyparsing,2021-10-02 05:31:08.000000,59022.0,69342914.0,https://anaconda.org/conda-forge/pyparsing,2020-04-06 18:28:14.201000,15605638.0,1.0,,,,,,,,,,
35,botocore,boto/botocore,"The low-level, core functionality of boto 3.",,infrastructure,https://github.com/boto/botocore,https://github.com/boto/botocore,Apache-2.0,2012-11-13 13:25:36.000000,2021-10-20 23:55:17.841000,2021-10-20 18:07:41.000000,821.0,179.0,696.0,1042.0,2021-10-20 19:09:36.000000,1.22.0,1326.0,165.0,34,True,9549.0,conda-forge/botocore,botocore,,155784.0,116879.0,102761.0,https://pypi.org/project/botocore,2021-10-20 19:09:36.000000,14118.0,,https://anaconda.org/conda-forge/botocore,2021-10-20 23:55:17.841000,9814427.0,2.0,,,,,,,,,,
36,toolz,pytoolz/toolz,A functional standard library for Python.,,utilities,https://github.com/pytoolz/toolz,https://github.com/pytoolz/toolz,BSD-3-Clause,2013-09-13 02:18:43.000000,2021-08-20 17:21:45.000000,2021-08-06 03:44:53.000000,225.0,108.0,133.0,3689.0,2020-09-24 15:50:48.000000,0.11.1,24.0,69.0,33,True,1164.0,conda-forge/toolz,toolz,,8240687.0,53064.0,47544.0,https://pypi.org/project/toolz,2020-09-24 15:50:48.000000,5520.0,8158941.0,https://anaconda.org/conda-forge/toolz,2020-09-24 19:02:07.101000,5231800.0,1.0,,,,,,,,,,
37,jsonschema,Julian/jsonschema,An implementation of the JSON Schema specification for Python.,,data-validation,https://github.com/Julian/jsonschema,https://github.com/Julian/jsonschema,MIT,2011-12-30 03:37:43.000000,2021-10-20 17:53:07.763000,2021-10-20 14:20:36.000000,484.0,60.0,548.0,3405.0,2021-10-20 14:34:29.000000,4.1.2,47.0,92.0,33,True,,conda-forge/jsonschema,jsonschema,,38881507.0,207357.0,176297.0,https://pypi.org/project/jsonschema,2021-10-20 14:34:25.000000,31060.0,38759774.0,https://anaconda.org/conda-forge/jsonschema,2021-10-20 17:53:07.763000,8034420.0,1.0,,,,,,,,,,
38,more-itertools,more-itertools/more-itertools,"More routines for operating on iterables, beyond itertools.",,utilities,https://github.com/more-itertools/more-itertools,https://github.com/more-itertools/more-itertools,MIT,2012-04-26 05:15:14.000000,2021-10-20 01:35:48.000000,2021-10-18 23:10:00.000000,179.0,12.0,173.0,2162.0,2021-09-17 13:03:17.000000,8.10.0,36.0,81.0,33,True,1226.0,conda-forge/more-itertools,more-itertools,2408.0,141576.0,128035.0,113127.0,https://pypi.org/project/more-itertools,2021-09-17 13:03:17.000000,14908.0,,https://anaconda.org/conda-forge/more-itertools,2021-09-17 15:41:02.937000,7642847.0,1.0,,,,,,,,,,
39,xlwings,xlwings/xlwings,xlwings is a BSD-licensed Python library that makes it easy to call Python from Excel and vice versa. It works with..,,data-loading,https://github.com/xlwings/xlwings,https://github.com/xlwings/xlwings,BSD-3-Clause,2014-03-17 13:03:20.000000,2021-10-21 14:15:50.000000,2021-10-18 14:01:05.000000,382.0,336.0,1045.0,2124.0,2021-08-26 13:51:24.000000,0.24.9,108.0,55.0,33,True,2222.0,conda-forge/xlwings,xlwings,26682.0,692595.0,20001.0,18897.0,https://pypi.org/project/xlwings,2020-09-01 07:30:53.000000,1104.0,684859.0,https://anaconda.org/conda-forge/xlwings,2021-08-27 07:37:55.706000,377785.0,1.0,,,,,,,,,,
