,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,updated_github_id,conda_dependent_project_count,labels,new_addition,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
219,python-rapidjson,python-rapidjson/python-rapidjson,Python wrapper around rapidjson.,,serialization,https://github.com/python-rapidjson/python-rapidjson,https://github.com/python-rapidjson/python-rapidjson,MIT,2015-09-09 04:02:42.000,2022-03-08 20:29:25.000,2022-02-19 08:49:05,653.0,10.0,39,8.0,62.0,10.0,89.0,448,2020-11-16 12:53:09.000,0.9.4,54.0,18.0,27,True,python-rapidjson,conda-forge/python-rapidjson,,,748689.0,2540.0,2301.0,https://pypi.org/project/python-rapidjson,2022-02-19 08:50:40.000,239.0,733988.0,https://anaconda.org/conda-forge/python-rapidjson,2022-02-19 11:06:19.408,926176.0,,,,,3.0,,,,,,,,,,,,
220,futures,agronholm/pythonfutures,Backport of the concurrent.futures package to Python 2.6 and 2.7.,,compatibility,https://github.com/agronholm/pythonfutures,https://github.com/agronholm/pythonfutures,Python-2.0,2015-03-13 23:36:07.000,2022-01-11 15:10:11.000,2022-01-11 15:10:11,127.0,,46,9.0,28.0,6.0,65.0,219,2019-07-15 09:33:00.000,3.3.0,24.0,19.0,27,True,futures,conda-forge/futures,,,13075317.0,38135.0,30133.0,https://pypi.org/project/futures,2021-10-09 11:11:46.000,8002.0,13057809.0,https://anaconda.org/conda-forge/futures,2020-03-18 16:57:48.065,1190545.0,,,,,3.0,,,,,,,,,,,,
221,sqlmodel,tiangolo/sqlmodel,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",,db-clients,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53.000,2022-04-18 11:56:35.000,2022-04-16 09:30:54,87.0,10.0,282,107.0,125.0,157.0,55.0,7217,2021-12-28 11:30:21.000,0.0.6,6.0,10.0,26,True,sqlmodel,conda-forge/sqlmodel,,,83050.0,24.0,,https://pypi.org/project/sqlmodel,2021-12-28 11:30:21.000,24.0,82923.0,https://anaconda.org/conda-forge/sqlmodel,2021-12-28 19:15:59.901,1018.0,,,,,3.0,2.0,,,['pydantic'],,,,,,,,
222,powerline-shell,b-ryan/powerline-shell,A beautiful and useful prompt for your shell.,,others,https://github.com/b-ryan/powerline-shell,https://github.com/b-ryan/powerline-shell,MIT,2012-09-09 16:12:53.000,2022-03-16 18:10:09.000,2022-03-16 18:10:09,574.0,2.0,734,150.0,287.0,125.0,169.0,5811,2018-09-16 00:34:48.000,0.7.0,26.0,86.0,26,True,powerline-shell,,,,1968.0,83.0,79.0,https://pypi.org/project/powerline-shell,2018-09-16 00:34:48.000,4.0,1968.0,,,,,,,,3.0,,,,,,,,,,,,
223,gino,python-gino/gino,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,,db-clients,https://github.com/python-gino/gino,https://github.com/python-gino/gino,BSD-3-Clause,2017-07-21 04:27:01.000,2022-02-12 20:37:35.000,2022-02-12 20:29:45,1128.0,9.0,137,50.0,472.0,52.0,260.0,2388,2020-06-08 23:55:55.000,1.0.1,50.0,46.0,26,True,gino,,,,25446.0,42.0,,https://pypi.org/project/gino,2022-02-12 20:37:35.000,42.0,25446.0,,,,,,,,3.0,,,,,,,,,,,,
224,pyston,pyston/pyston,A faster and highly-compatible implementation of the Python programming language.,,python-implementations,https://github.com/pyston/pyston,https://github.com/pyston/pyston,Apache-2.0,2021-03-01 22:38:24.000,2022-04-19 13:38:06.000,2022-04-14 18:15:06,107221.0,146.0,65,30.0,145.0,16.0,42.0,1996,2022-04-01 15:16:04.000,pyston_2.3.3,5.0,1032.0,26,True,,,,8816.0,801.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
225,python-box,cdgriffith/Box,Python dictionaries with advanced dot notation access.,,data-structures,https://github.com/cdgriffith/Box,https://github.com/cdgriffith/Box,MIT,2017-03-11 04:46:51.000,2022-04-02 11:03:05.852,2022-04-02 02:24:21,46.0,3.0,82,33.0,84.0,16.0,121.0,1969,2022-04-02 02:29:07.000,6.0.2,53.0,1.0,26,True,python-box,conda-forge/python-box,,30.0,1315896.0,268.0,,https://pypi.org/project/python-box,2022-04-02 02:29:07.000,268.0,1310953.0,https://anaconda.org/conda-forge/python-box,2022-04-02 11:03:05.852,237311.0,,,,,3.0,,,,,,,,,,,,
226,mongo-connector,yougov/mongo-connector,MongoDB data stream pipeline tools by YouGov (adopted from MongoDB).,,db-clients,https://github.com/yougov/mongo-connector,https://github.com/yougov/mongo-connector,Apache-2.0,2012-08-09 23:39:36.000,2021-12-23 16:42:55.000,2018-12-05 18:23:06,1112.0,,464,101.0,184.0,243.0,505.0,1844,2018-12-05 19:18:21.000,3.1.1,51.0,62.0,26,False,mongo-connector,,,,3382.0,158.0,122.0,https://pypi.org/project/mongo-connector,2018-12-05 19:18:21.000,36.0,3382.0,,,,,,,,3.0,,,,,,,,,,,,
227,retrying,rholder/retrying,"Retrying is an Apache 2.0 licensed general-purpose retrying library, written in Python, to simplify the task of adding..",,utilities,https://github.com/rholder/retrying,https://github.com/rholder/retrying,Apache-2.0,2013-01-22 06:13:26.000,2021-08-15 10:32:43.000,2016-06-07 04:02:12,95.0,,147,30.0,48.0,46.0,13.0,1788,2014-12-15 01:15:08.000,1.3.3,11.0,15.0,26,False,retrying,conda-forge/retrying,,,7926613.0,2118.0,,https://pypi.org/project/retrying,2014-12-15 01:15:08.000,2118.0,7913064.0,https://anaconda.org/conda-forge/retrying,2018-07-16 11:28:10.934,907796.0,,,,,3.0,,,,,,,,,,,,
228,Phoenix,wxWidgets/Phoenix,"wxPythons Project Phoenix. A new implementation of wxPython, better, stronger, faster than he was before.",,gui-dev,https://github.com/wxWidgets/Phoenix,https://github.com/wxWidgets/Phoenix,wxWindows,2012-07-17 06:22:25.000,2022-04-19 02:21:59.927,2022-03-07 18:13:34,5310.0,13.0,431,102.0,821.0,470.0,837.0,1770,2018-03-23 21:06:34.000,wxPython-4.0.0,12.0,111.0,26,False,wx,conda-forge/wxpython,,1969.0,7050.0,74.0,,https://pypi.org/project/wx,2016-08-17 03:22:15.000,74.0,,https://anaconda.org/conda-forge/wxpython,2022-04-19 02:21:59.927,406619.0,,,,,3.0,,,,,,,,,,,,
