,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
167,pyscaffold,pyscaffold/pyscaffold,Python project template generator with batteries included.,,others,https://github.com/pyscaffold/pyscaffold,https://github.com/pyscaffold/pyscaffold,MIT,2014-04-02 07:01:57.000000,2021-09-14 10:08:05.000000,2021-09-14 08:28:38.000000,123.0,229.0,1200.0,2021-05-26 12:47:59.000000,4.0.2,163.0,42.0,6.0,27,True,1964.0,conda-forge/pyscaffold,pyscaffold,,143657.0,74.0,,https://pypi.org/project/pyscaffold,2021-09-14 10:08:05.000000,74.0,141733.0,https://anaconda.org/conda-forge/pyscaffold,2021-05-26 12:39:54.225000,125114.0,3.0,,,,,,,,,,
168,sshtunnel,pahaz/sshtunnel,SSH tunnels to remote server.,,infrastructure,https://github.com/pahaz/sshtunnel,https://github.com/pahaz/sshtunnel,MIT,2014-06-11 21:14:05.000000,2021-08-03 19:47:12.000000,2021-01-11 13:12:20.000000,139.0,134.0,874.0,2021-01-11 13:28:44.000000,0.4.0,28.0,23.0,26.0,27,True,381.0,conda-forge/sshtunnel,sshtunnel,,1213280.0,2887.0,2625.0,https://pypi.org/project/sshtunnel,2021-01-11 13:26:29.000000,262.0,1212032.0,https://anaconda.org/conda-forge/sshtunnel,2020-11-16 08:46:37.270000,74898.0,3.0,,,,,,,,,,
169,bcrypt,pyca/bcrypt,Modern(-ish) password hashing for your software and your servers.,,cryptography,https://github.com/pyca/bcrypt,https://github.com/pyca/bcrypt,Apache-2.0,2013-05-11 02:03:55.000000,2021-08-18 11:27:59.000000,2021-08-18 11:27:50.000000,102.0,85.0,788.0,2020-08-16 17:22:44.000000,3.2.0,16.0,29.0,2.0,27,True,,conda-forge/bcrypt,bcrypt,,17172176.0,14850.0,,https://pypi.org/project/bcrypt,2020-08-16 17:22:44.000000,14850.0,17140023.0,https://anaconda.org/conda-forge/bcrypt,2021-07-06 13:23:05.755000,1093221.0,3.0,,,,,,,,,,
170,cx-Oracle,oracle/python-cx_Oracle,Python interface to Oracle Database conforming to the Python DB API 2.0 specification.,,db-clients,https://github.com/oracle/python-cx_Oracle,https://github.com/oracle/python-cx_Oracle,BSD-3-Clause,2017-03-07 04:03:36.000000,2021-09-04 20:41:06.000000,2021-09-04 20:40:55.000000,291.0,528.0,758.0,2021-06-01 19:19:27.000000,8.2.1,34.0,17.0,35.0,27,True,,,cx-Oracle,,2505874.0,5157.0,5013.0,https://pypi.org/project/cx-Oracle,2021-06-01 19:19:27.000000,144.0,2505874.0,,,,3.0,3.0,,,,,,,,,
171,pylibmc,lericson/pylibmc,A Python wrapper around the libmemcached interface from TangentOrg.,,caching,https://github.com/lericson/pylibmc,https://github.com/lericson/pylibmc,BSD-3-Clause,2009-07-31 19:51:02.000000,2021-08-05 12:11:30.000000,2021-08-05 12:11:30.000000,122.0,163.0,445.0,2019-08-15 12:04:18.000000,1.6.1,42.0,48.0,23.0,27,True,596.0,conda-forge/pylibmc,pylibmc,,130692.0,8238.0,3556.0,https://pypi.org/project/pylibmc,2019-08-15 12:04:18.000000,4682.0,128022.0,https://anaconda.org/conda-forge/pylibmc,2021-06-30 23:58:11.535000,165584.0,2.0,,,,,,,,,,
172,param,holoviz/param,Param: Make your Python code clearer and more reliable by declaring Parameters.,,data-validation,https://github.com/holoviz/param,https://github.com/holoviz/param,BSD-3-Clause,2012-05-01 11:51:08.000000,2021-09-15 01:25:19.000000,2021-09-15 01:25:16.000000,47.0,176.0,233.0,2021-07-06 01:02:45.000000,1.11.1,49.0,30.0,108.0,27,True,652.0,conda-forge/param,param,,250302.0,2377.0,2241.0,https://pypi.org/project/param,2021-07-10 17:18:06.000000,136.0,243319.0,https://anaconda.org/conda-forge/param,2021-07-05 04:19:37.607000,370117.0,3.0,,,,,,,,,,
173,futures,agronholm/pythonfutures,Backport of the concurrent.futures package to Python 2.6 and 2.7.,,compatibility,https://github.com/agronholm/pythonfutures,https://github.com/agronholm/pythonfutures,Python-2.0,2015-03-13 23:36:07.000000,2020-03-18 16:57:48.065000,2020-01-09 23:00:40.000000,46.0,63.0,217.0,2019-07-15 09:33:00.000000,3.3.0,23.0,18.0,7.0,27,False,126.0,conda-forge/futures,futures,,22981964.0,42746.0,27864.0,https://pypi.org/project/futures,2019-07-15 09:33:00.000000,14882.0,22962774.0,https://anaconda.org/conda-forge/futures,2020-03-18 16:57:48.065000,1170613.0,3.0,,,,,,,,,,
174,ptyprocess,pexpect/ptyprocess,Run a subprocess in a pseudo terminal.,,process-utils,https://github.com/pexpect/ptyprocess,https://github.com/pexpect/ptyprocess,ISC,2014-10-02 16:52:41.000000,2021-07-31 13:08:39.000000,2021-07-31 13:08:39.000000,60.0,16.0,145.0,2020-12-28 15:17:57.000000,0.7.0,10.0,15.0,17.0,27,True,139.0,conda-forge/ptyprocess,ptyprocess,,20673720.0,25422.0,,https://pypi.org/project/ptyprocess,2020-12-28 15:15:28.000000,25422.0,20591967.0,https://anaconda.org/conda-forge/ptyprocess,2020-12-31 12:57:25.227000,5313949.0,3.0,,,,,,,,,,
175,contextlib2,jazzband/contextlib2,contextlib2 is a backport of the standard library's contextlib module to earlier Python versions.,,compatibility,https://github.com/jazzband/contextlib2,https://github.com/jazzband/contextlib2,psfrag,2016-02-23 08:51:49.209000,2021-08-13 10:00:19.000000,2021-08-13 10:00:17.000000,10.0,21.0,33.0,2021-06-27 06:37:57.000000,21.6.0,14.0,13.0,3.0,27,False,164.0,conda-forge/contextlib2,contextlib2,,10023450.0,44256.0,39296.0,https://pypi.org/project/contextlib2,2021-06-27 06:54:20.000000,4960.0,10010208.0,https://anaconda.org/conda-forge/contextlib2,2021-06-28 02:52:34.203000,887274.0,3.0,,,,,,,,,,
176,zipp,jaraco/zipp,Backport of pathlib-compatible object wrapper for zip files.,,file-path-utils,https://github.com/jaraco/zipp,https://github.com/jaraco/zipp,MIT,2018-11-15 21:24:48.000000,2021-07-03 03:56:15.586000,2021-07-02 23:45:27.000000,22.0,45.0,22.0,2021-07-02 23:51:54.000000,3.5.0,30.0,12.0,1.0,27,False,,conda-forge/zipp,zipp,,60881847.0,5822.0,,https://pypi.org/project/zipp,2021-07-02 23:51:45.000000,5822.0,60634300.0,https://anaconda.org/conda-forge/zipp,2021-07-03 03:56:15.586000,7673981.0,3.0,,,,,,,,,,
