,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
198,returns,dry-python/returns,"Make your functions return something meaningful, typed, and safe!.",,utilities,https://github.com/dry-python/returns,https://github.com/dry-python/returns,BSD-2-Clause,2019-01-26 13:08:38.000000,2021-09-16 14:47:17.000000,2021-09-16 14:47:16.000000,73.0,311.0,1881.0,2021-03-26 15:34:17.000000,0.16.0,18.0,31.0,50.0,25,True,1212.0,,returns,,20917.0,97.0,95.0,https://pypi.org/project/returns,2021-03-26 15:33:34.000000,2.0,20917.0,,,,3.0,,,,,,,,,,
199,HappyBase,python-happybase/happybase,A developer-friendly Python library to interact with Apache HBase.,,db-clients,https://github.com/python-happybase/happybase,https://github.com/python-happybase/happybase,MIT,2012-05-20 20:06:10.000000,2021-04-25 18:43:44.000000,2021-02-08 18:27:40.000000,152.0,181.0,572.0,2019-05-14 14:17:26.000000,1.2.0,12.0,19.0,30.0,25,True,284.0,conda-forge/happybase,happybase,,66602.0,956.0,534.0,https://pypi.org/project/happybase,2019-05-14 14:17:26.000000,422.0,65564.0,https://anaconda.org/conda-forge/happybase,2019-07-01 13:37:04.756000,65448.0,3.0,,,,,,,,,,
200,inflect,jaraco/inflect,"Correctly generate plurals, ordinals, indefinite articles; convert numbers to words.",,text,https://github.com/jaraco/inflect,https://github.com/jaraco/inflect,MIT,2010-06-20 13:43:13.000000,2021-09-06 22:07:17.000000,2021-03-23 00:21:53.000000,65.0,63.0,567.0,2021-03-03 01:35:47.000000,5.3.0,33.0,29.0,24.0,25,True,,conda-forge/inflect,inflect,,1221531.0,1388.0,,https://pypi.org/project/inflect,2021-03-03 01:35:47.000000,1388.0,1218192.0,https://anaconda.org/conda-forge/inflect,2021-07-06 08:17:47.975000,176971.0,3.0,,,,,,,,,,
201,validators,kvesteri/validators,Python Data Validation for Humans.,,data-validation,https://github.com/kvesteri/validators,https://github.com/kvesteri/validators,MIT,2013-10-17 08:16:32.000000,2021-05-11 16:38:28.000000,2021-03-01 07:13:05.000000,86.0,32.0,527.0,2020-12-18 10:27:27.000000,0.18.2,36.0,38.0,84.0,25,True,223.0,conda-forge/validators,validators,,1205.0,24727.0,22841.0,https://pypi.org/project/validators,2020-12-18 10:27:27.000000,1886.0,,https://anaconda.org/conda-forge/validators,2020-12-18 12:58:27.348000,26511.0,3.0,,,,,,,,,,
202,python-rapidjson,python-rapidjson/python-rapidjson,Python wrapper around rapidjson.,,serialization,https://github.com/python-rapidjson/python-rapidjson,https://github.com/python-rapidjson/python-rapidjson,MIT,2015-09-09 04:02:42.000000,2021-06-25 23:04:20.801000,2021-06-25 21:04:00.000000,38.0,88.0,428.0,2020-11-16 12:53:09.000000,0.9.4,52.0,18.0,10.0,25,True,632.0,conda-forge/python-rapidjson,python-rapidjson,,699575.0,1915.0,1623.0,https://pypi.org/project/python-rapidjson,2021-06-25 21:04:07.000000,292.0,688254.0,https://anaconda.org/conda-forge/python-rapidjson,2021-06-25 23:04:20.801000,634007.0,3.0,,,,,,,,,,
203,pyscreenshot,ponty/pyscreenshot,"Python screenshot library, replacement for the Pillow ImageGrab module on Linux.",,others,https://github.com/ponty/pyscreenshot,https://github.com/ponty/pyscreenshot,BSD-2-Clause,2011-02-01 13:02:51.000000,2021-04-18 19:30:22.000000,2021-04-18 09:41:46.000000,77.0,61.0,410.0,2018-12-21 10:20:02.000000,0.5.1,22.0,23.0,5.0,25,True,572.0,,pyscreenshot,,152965.0,1684.0,1260.0,https://pypi.org/project/pyscreenshot,2021-04-18 19:30:22.000000,424.0,152965.0,,,,3.0,,,,,,,,,,
204,rsa,sybrenstuvel/python-rsa,Python-RSA is a pure-Python RSA implementation.,,cryptography,https://github.com/sybrenstuvel/python-rsa,https://github.com/sybrenstuvel/python-rsa,Apache-2.0,2016-01-21 12:53:34.000000,2021-08-20 18:49:54.000000,2021-03-29 21:24:28.000000,68.0,84.0,338.0,2021-02-15 20:45:56.000000,4.7.1,32.0,33.0,17.0,25,True,,conda-forge/rsa,rsa,,68074.0,12666.0,,https://pypi.org/project/rsa,2021-02-15 20:45:56.000000,12666.0,,https://anaconda.org/conda-forge/rsa,2021-02-24 12:57:19.266000,4220632.0,3.0,,,,,,,,,,
205,ordered-set,LuminosoInsight/ordered-set,A mutable set that remembers the order of its entries. One of Python's missing data types.,,data-structures,https://github.com/rspeer/ordered-set,https://github.com/rspeer/ordered-set,MIT,2012-08-17 21:55:21.000000,2021-09-09 16:38:03.000000,2021-09-09 16:38:03.000000,34.0,27.0,131.0,2020-06-17 20:50:12.000000,4.0.2,16.0,18.0,10.0,25,True,146.0,conda-forge/ordered-set,ordered-set,,3292552.0,3153.0,2847.0,https://pypi.org/project/ordered-set,2020-06-17 20:50:12.000000,306.0,3291135.0,https://anaconda.org/conda-forge/ordered-set,2020-06-18 14:06:17.580000,92149.0,3.0,,,rspeer/ordered-set,,,,,,,
206,catalogue,explosion/catalogue,Super lightweight function registries for your library.,,others,https://github.com/explosion/catalogue,https://github.com/explosion/catalogue,MIT,2019-11-01 14:09:09.000000,2021-08-30 13:42:38.000000,2021-08-21 02:40:22.000000,16.0,2.0,97.0,2021-08-21 02:47:29.000000,2.0.6,20.0,8.0,3.0,25,False,95.0,conda-forge/catalogue,catalogue,,2397168.0,9841.0,9815.0,https://pypi.org/project/catalogue,2021-08-21 02:47:29.000000,26.0,2385130.0,https://anaconda.org/conda-forge/catalogue,2021-08-16 21:54:26.373000,264842.0,3.0,,,,,,,,,,
207,cpython,python/cpython,The Python programming language.,,python-implementations,https://github.com/python/cpython,https://github.com/python/cpython,MIT,2017-02-10 19:23:51.000000,2021-09-16 14:30:22.000000,2021-09-16 10:30:00.000000,20060.0,,40178.0,2020-07-22 03:00:52.000000,0.0.6,6.0,1796.0,1443.0,24,True,,,cpython,,5648.0,,,https://pypi.org/project/cpython,2020-07-22 03:00:52.000000,,5648.0,,,,1.0,,,,,,,,,,
208,gino,python-gino/gino,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,,db-clients,https://github.com/python-gino/gino,https://github.com/python-gino/gino,BSD-3-Clause,2017-07-21 04:27:01.000000,2021-07-04 12:31:21.000000,2021-07-04 12:31:21.000000,123.0,260.0,2232.0,2020-06-08 23:55:55.000000,1.0.1,49.0,45.0,42.0,24,True,1118.0,,gino,,28695.0,34.0,,https://pypi.org/project/gino,2020-11-15 21:22:01.000000,34.0,28695.0,,,,3.0,,,,,,,,,,
209,fabtools,fabtools/fabtools,Tools for writing awesome Fabric files.,,infrastructure,https://github.com/fabtools/fabtools,https://github.com/fabtools/fabtools,BSD-2-Clause,2011-09-05 01:44:24.000000,2019-12-13 07:52:20.000000,2019-09-16 09:19:00.000000,218.0,64.0,1243.0,2016-10-12 10:37:57.000000,0.20.0,30.0,88.0,104.0,24,False,939.0,,fabtools,,3592.0,648.0,272.0,https://pypi.org/project/fabtools,2016-10-12 10:37:57.000000,376.0,3592.0,,,,3.0,,,,,,,,,,
210,blessings,erikrose/blessings,"A thin, practical wrapper around terminal capabilities in Python.",,cli-helpers,https://github.com/erikrose/blessings,https://github.com/erikrose/blessings,MIT,2011-11-07 10:09:09.000000,2021-01-19 15:47:53.000000,2020-10-20 23:43:16.000000,93.0,54.0,1242.0,2018-01-03 17:03:36.000000,1.6.1,10.0,16.0,30.0,24,True,177.0,conda-forge/blessings,blessings,,2515.0,8268.0,5792.0,https://pypi.org/project/blessings,2018-06-21 14:00:07.000000,2476.0,,https://anaconda.org/conda-forge/blessings,2021-01-08 16:13:56.643000,130805.0,3.0,,,,,,,,,,
211,pluginbase,mitsuhiko/pluginbase,A simple but flexible plugin system for Python.,,others,https://github.com/mitsuhiko/pluginbase,https://github.com/mitsuhiko/pluginbase,BSD-3-Clause,2014-06-30 20:51:42.000000,2021-05-16 16:25:40.000000,2021-05-16 16:12:48.000000,143.0,12.0,975.0,2021-05-16 16:25:40.000000,1.0.1,9.0,9.0,,24,True,56.0,conda-forge/pluginbase,pluginbase,,421787.0,1208.0,936.0,https://pypi.org/project/pluginbase,2021-05-16 16:25:40.000000,272.0,417517.0,https://anaconda.org/conda-forge/pluginbase,2019-02-04 15:40:32.059000,187915.0,3.0,,,,,,,,,,
212,Singer,singer-io/getting-started,"Standard for moving data between databases, web APIs, files, queues, and just about anything else you can think of.",,data-loading,https://github.com/singer-io/getting-started,https://github.com/singer-io/getting-started,AGPL-3.0,2016-10-31 16:53:56.000000,2021-09-08 17:37:08.000000,2021-04-29 14:20:17.000000,113.0,18.0,855.0,2021-03-22 20:41:58.000000,5.12.1,105.0,26.0,20.0,24,True,188.0,,singer-python,,109159.0,300.0,,https://pypi.org/project/singer-python,2021-09-08 17:37:08.000000,300.0,109159.0,,,,3.0,,,,,,,,,,
213,fastcore,fastai/fastcore,Python supercharged for the fastai library.,,others,https://github.com/fastai/fastcore,https://github.com/fastai/fastcore,Apache-2.0,2019-12-02 20:16:53.000000,2021-09-02 02:36:29.000000,2021-09-02 02:36:29.000000,180.0,227.0,642.0,2021-08-09 03:09:35.000000,1.3.26,102.0,41.0,13.0,24,True,918.0,,fastcore,,466989.0,0.0,,https://pypi.org/project/fastcore,2021-08-09 03:09:43.000000,0.0,466989.0,,,,3.0,,,,,,,,,,
214,neo4j-driver,neo4j/neo4j-python-driver,Neo4j Bolt driver for Python.,,db-clients,https://github.com/neo4j/neo4j-python-driver,https://github.com/neo4j/neo4j-python-driver,Apache-2.0,2015-05-05 13:08:20.000000,2021-09-15 15:26:43.000000,2021-09-15 15:26:43.000000,139.0,179.0,641.0,2021-08-02 08:54:58.000000,4.3.4,89.0,34.0,5.0,24,True,,,neo4j-driver,,75796.0,382.0,,https://pypi.org/project/neo4j-driver,2021-08-02 08:48:06.000000,382.0,75796.0,,,,3.0,,,,,,,,,,
215,pyahocorasick,WojciechMula/pyahocorasick,Python module (C extension and plain python) implementing Aho-Corasick algorithm.,,text,https://github.com/WojciechMula/pyahocorasick,https://github.com/WojciechMula/pyahocorasick,BSD-3-Clause,2013-05-30 19:55:46.000000,2021-03-27 18:19:12.000000,2021-03-27 17:10:43.000000,92.0,71.0,638.0,2021-03-27 18:19:12.000000,1.4.2,24.0,21.0,36.0,24,True,412.0,conda-forge/pyahocorasick,pyahocorasick,,236724.0,847.0,743.0,https://pypi.org/project/pyahocorasick,2021-03-27 18:19:12.000000,104.0,233786.0,https://anaconda.org/conda-forge/pyahocorasick,2020-10-13 12:20:05.350000,132226.0,3.0,,,,,,,,,,
216,anytree,c0fec0de/anytree,Python tree data library.,,data-structures,https://github.com/c0fec0de/anytree,https://github.com/c0fec0de/anytree,Apache-2.0,2016-08-27 09:42:38.000000,2021-09-12 04:07:58.000000,2020-02-20 19:54:46.000000,89.0,116.0,596.0,2020-01-15 01:22:23.000000,2.8.0,26.0,17.0,33.0,24,False,393.0,conda-forge/anytree,anytree,,459863.0,174.0,,https://pypi.org/project/anytree,2020-01-15 01:22:23.000000,174.0,459455.0,https://anaconda.org/conda-forge/anytree,2020-04-19 21:51:50.756000,6937.0,3.0,,,,,,,,,,
217,natsort,SethMMorton/natsort,Simple yet flexible natural sorting in Python.,,utilities,https://github.com/SethMMorton/natsort,https://github.com/SethMMorton/natsort,MIT,2012-05-03 02:58:47.000000,2021-08-31 13:34:47.000000,2021-08-26 05:00:21.000000,32.0,67.0,560.0,2021-01-25 05:20:12.000000,7.1.1,50.0,17.0,2.0,24,True,877.0,conda-forge/natsort,natsort,,7622.0,9212.0,7996.0,https://pypi.org/project/natsort,2021-01-25 05:20:12.000000,1216.0,,https://anaconda.org/conda-forge/natsort,2021-01-25 13:13:56.288000,411604.0,3.0,,,,,,,,,,
218,munch,Infinidat/munch,A Munch is a Python dictionary that provides attribute-style access (a la JavaScript objects).,,data-structures,https://github.com/Infinidat/munch,https://github.com/Infinidat/munch,MIT,2012-03-08 21:20:50.000000,2021-01-22 10:01:55.000000,2021-01-22 10:01:54.000000,63.0,28.0,509.0,2019-10-30 09:56:06.000000,2.5.0,13.0,24.0,7.0,24,True,156.0,conda-forge/munch,munch,,19361.0,1134.0,,https://pypi.org/project/munch,2020-03-09 16:20:42.000000,1134.0,,https://anaconda.org/conda-forge/munch,2019-10-30 13:10:23.404000,1277854.0,3.0,,,,,,,,,,
219,Unipath,mikeorr/Unipath,An object-oriented approach to Python file/directory operations.,,file-path-utils,https://github.com/mikeorr/Unipath,https://github.com/mikeorr/Unipath,MIT,2013-01-28 04:38:28.000000,2019-12-15 21:01:45.000000,2015-02-14 18:30:08.000000,36.0,10.0,497.0,2009-03-29 15:28:56.000000,0.2.1,3.0,6.0,7.0,24,False,49.0,,unipath,,66823.0,9875.0,5853.0,https://pypi.org/project/unipath,2015-02-11 04:36:12.000000,4022.0,66823.0,,,,3.0,,,,,,,,,,
220,ratelimit,tomasbasham/ratelimit,API Rate Limit Decorator.,,utilities,https://github.com/tomasbasham/ratelimit,https://github.com/tomasbasham/ratelimit,MIT,2015-08-26 10:39:52.000000,2021-06-24 18:23:10.000000,2019-02-06 21:53:36.000000,100.0,18.0,415.0,2018-12-17 18:55:49.000000,2.2.1,11.0,8.0,25.0,24,False,36.0,,ratelimit,,862485.0,1254.0,1136.0,https://pypi.org/project/ratelimit,2018-12-17 18:55:49.000000,118.0,862485.0,,,,3.0,,,,,,,,,,
221,typing_inspect,ilevkivskyi/typing_inspect,Runtime inspection utilities for Python typing module.,,inspect,https://github.com/ilevkivskyi/typing_inspect,https://github.com/ilevkivskyi/typing_inspect,MIT,2017-04-29 15:49:25.000000,2021-09-05 23:03:20.000000,2021-09-05 11:40:29.000000,20.0,29.0,221.0,2021-06-07 16:12:08.000000,0.7.1,10.0,12.0,14.0,24,True,62.0,conda-forge/typing_inspect,typing_inspect,,16383346.0,80.0,,https://pypi.org/project/typing_inspect,2021-06-07 16:12:08.000000,80.0,16371880.0,https://anaconda.org/conda-forge/typing_inspect,2021-06-09 22:29:55.801000,332522.0,2.0,,,,,,,,,,
222,entrypoints,takluyver/entrypoints,Discover and load entry points from installed packages.,,inspect,https://github.com/takluyver/entrypoints,https://github.com/takluyver/entrypoints,MIT,2015-05-02 18:12:08.000000,2020-12-03 20:07:10.000000,2020-03-15 12:25:13.000000,18.0,20.0,67.0,2017-06-08 10:55:15.000000,0.2.3,6.0,9.0,4.0,24,False,59.0,conda-forge/entrypoints,entrypoints,,16497067.0,15152.0,,https://pypi.org/project/entrypoints,2019-01-07 18:10:52.000000,15152.0,16417616.0,https://anaconda.org/conda-forge/entrypoints,2020-11-11 19:15:28.026000,5164376.0,2.0,,,,,,,,,,
223,diagrams,mingrammer/diagrams,Diagram as Code for prototyping cloud system architectures.,,others,https://github.com/mingrammer/diagrams,https://github.com/mingrammer/diagrams,MIT,2020-02-02 15:23:24.000000,2021-09-03 14:27:17.000000,2021-08-21 03:54:24.000000,841.0,134.0,15151.0,2021-05-23 10:47:14.000000,0.20.0,37.0,97.0,212.0,23,True,428.0,conda-forge/diagrams,diagrams,,5657.0,0.0,,https://pypi.org/project/diagrams,2021-05-23 10:38:30.000000,0.0,,https://anaconda.org/conda-forge/diagrams,2021-07-05 23:56:11.831000,90512.0,3.0,,,,,,,,,,
224,micropython,micropython/micropython,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems.,,python-implementations,https://github.com/micropython/micropython,https://github.com/micropython/micropython,,2013-12-20 11:47:07.000000,2021-09-16 14:05:23.000000,2021-09-16 06:04:03.000000,4729.0,2770.0,12991.0,2021-09-02 01:12:36.000000,1.17,11.0,440.0,1318.0,23,False,12704.0,,,23501.0,479.0,,,,,,,,,,2.0,,,,,,,,,,
225,powerline-shell,b-ryan/powerline-shell,A beautiful and useful prompt for your shell.,,others,https://github.com/b-ryan/powerline-shell,https://github.com/b-ryan/powerline-shell,MIT,2012-09-09 16:12:53.000000,2021-05-17 16:44:58.000000,2018-09-16 00:24:03.000000,705.0,168.0,5680.0,2018-09-16 00:34:48.000000,0.7.0,26.0,85.0,99.0,23,False,572.0,,powerline-shell,,2413.0,74.0,70.0,https://pypi.org/project/powerline-shell,2018-09-16 00:34:48.000000,4.0,2413.0,,,,3.0,,,,,,,,,,
226,macropy,lihaoyi/macropy,"Macros in Python: quasiquotes, case classes, LINQ and more!.",,others,https://github.com/lihaoyi/macropy,https://github.com/lihaoyi/macropy,MIT,2013-04-15 14:47:29.000000,2021-07-12 12:01:58.000000,2020-03-03 22:30:21.000000,160.0,59.0,3107.0,,,4.0,19.0,17.0,23,False,885.0,,macropy3,,3634.0,488.0,438.0,https://pypi.org/project/macropy3,2018-05-11 23:17:05.000000,50.0,3634.0,,,,3.0,,,,,,,,,,
227,AWS Data Wrangler,awslabs/aws-data-wrangler,"Pandas on AWS - Easy integration with Athena, Glue, Redshift, Timestream, QuickSight, Chime, CloudWatchLogs, DynamoDB,..",,db-clients,https://github.com/awslabs/aws-data-wrangler,https://github.com/awslabs/aws-data-wrangler,Apache-2.0,2019-02-26 01:39:02.000000,2021-09-15 21:13:48.000000,2021-09-10 12:11:19.000000,340.0,456.0,2134.0,2021-09-01 16:49:37.000000,2.11.0,112.0,77.0,31.0,23,True,,,awswrangler,86471.0,2822918.0,0.0,,https://pypi.org/project/awswrangler,2021-09-01 11:21:19.000000,0.0,2819593.0,,,,3.0,,,,['pandas'],,,,,,
228,python-box,cdgriffith/Box,Python dictionaries with advanced dot notation access.,,data-structures,https://github.com/cdgriffith/Box,https://github.com/cdgriffith/Box,MIT,2017-03-11 04:46:51.000000,2021-08-22 18:15:07.539000,2021-08-22 15:06:26.000000,76.0,107.0,1727.0,2021-08-22 15:08:47.000000,5.4.1,46.0,1.0,22.0,23,True,43.0,conda-forge/python-box,python-box,30.0,4505.0,1838.0,1584.0,https://pypi.org/project/python-box,2021-08-22 15:08:47.000000,254.0,,https://anaconda.org/conda-forge/python-box,2021-08-22 18:15:07.539000,184743.0,3.0,,,,,,,,,,
229,pyston,pyston/pyston,A faster and highly-compatible implementation of the Python programming language.,,python-implementations,https://github.com/pyston/pyston,https://github.com/pyston/pyston,Apache-2.0,2021-03-01 22:38:24.000000,2021-09-16 14:43:43.000000,2021-09-16 14:43:35.000000,53.0,27.0,1674.0,2021-07-16 20:37:45.000000,2.3,2.0,1031.0,10.0,23,True,109217.0,,,4315.0,1078.0,,,,,,,,,,2.0,,,,,,,,,,
230,camelot,camelot-dev/camelot,A Python library to extract tabular data from PDFs.,,data-loading,https://github.com/camelot-dev/camelot,https://github.com/camelot-dev/camelot,MIT,2019-07-01 13:39:33.000000,2021-07-19 10:35:19.000000,2021-07-11 18:07:18.000000,243.0,82.0,1240.0,2011-12-30 16:40:09.000000,11.12.30,15.0,38.0,129.0,23,True,592.0,,camelot,,2608.0,10.0,,https://pypi.org/project/camelot,2013-04-11 21:58:50.000000,10.0,2608.0,,,,3.0,,,,,,,,,,
231,enaml,nucleic/enaml,Declarative User Interfaces for Python.,,gui-dev,https://github.com/nucleic/enaml,https://github.com/nucleic/enaml,BSD-3-Clause,2013-03-06 21:29:01.000000,2021-09-09 13:26:53.000000,2021-09-09 13:26:53.000000,106.0,170.0,1108.0,2021-04-19 18:46:09.000000,0.13.0,18.0,34.0,39.0,23,True,,conda-forge/enaml,enaml,45.0,3988.0,331.0,187.0,https://pypi.org/project/enaml,2021-04-19 18:08:01.000000,144.0,2025.0,https://anaconda.org/conda-forge/enaml,2021-04-19 22:20:38.760000,90327.0,3.0,,,,,,,,,,
232,path,jaraco/path,Object-oriented file system path manipulation.,,file-path-utils,https://github.com/jaraco/path,https://github.com/jaraco/path,MIT,2012-04-21 02:59:29.000000,2021-07-27 06:16:48.717000,2021-07-26 23:59:39.000000,128.0,125.0,966.0,2021-07-27 00:03:36.000000,16.2.0,13.0,44.0,2.0,23,True,,conda-forge/path,path,,397497.0,78.0,,https://pypi.org/project/path,2021-07-27 00:03:27.000000,78.0,391015.0,https://anaconda.org/conda-forge/path,2021-07-27 06:16:48.717000,136135.0,3.0,,,,,,,,,,
233,strictyaml,crdoconnor/strictyaml,Type-safe YAML parser and validator.,,data-validation,https://github.com/crdoconnor/strictyaml,https://github.com/crdoconnor/strictyaml,MIT,2016-06-17 10:56:18.000000,2021-06-19 21:13:55.383000,2021-06-19 18:48:54.000000,37.0,60.0,927.0,2021-06-19 18:35:04.000000,1.4.4,78.0,16.0,64.0,23,True,685.0,conda-forge/strictyaml,strictyaml,,38281.0,404.0,354.0,https://pypi.org/project/strictyaml,2021-06-19 18:35:04.000000,50.0,36110.0,https://anaconda.org/conda-forge/strictyaml,2021-06-19 21:13:55.383000,89046.0,3.0,,,,,,,,,,
234,immutables,MagicStack/immutables,A high-performance immutable mapping type for Python.,,data-structures,https://github.com/MagicStack/immutables,https://github.com/MagicStack/immutables,Apache-2.0,2018-03-30 21:24:52.000000,2021-08-10 14:17:21.437000,2021-08-07 22:28:55.000000,41.0,28.0,868.0,2021-08-07 19:59:00.000000,0.16,16.0,13.0,6.0,23,True,100.0,conda-forge/immutables,immutables,,17689.0,2624.0,2524.0,https://pypi.org/project/immutables,2021-08-07 19:59:04.000000,100.0,,https://anaconda.org/conda-forge/immutables,2021-08-10 14:17:21.437000,707579.0,3.0,,,,,,,,,,
235,parsedatetime,bear/parsedatetime,Parse human-readable date/time strings.,,date-time-utils,https://github.com/bear/parsedatetime,https://github.com/bear/parsedatetime,Apache-2.0,2012-09-12 06:44:45.000000,2021-06-23 18:33:43.000000,2021-06-23 18:25:16.000000,103.0,94.0,614.0,2020-05-31 23:52:03.000000,2.6,17.0,51.0,63.0,23,True,375.0,conda-forge/parsedatetime,parsedatetime,,1572.0,5784.0,3502.0,https://pypi.org/project/parsedatetime,2020-05-31 23:50:56.000000,2282.0,,https://anaconda.org/conda-forge/parsedatetime,2020-06-10 17:26:40.760000,94322.0,3.0,,,,,,,,,,
236,ubelt,Erotemic/ubelt,"A Python utility belt containing simple tools, a stdlib like feel, and extra batteries. Hashing, Caching, Timing,..",,utilities,https://github.com/Erotemic/ubelt,https://github.com/Erotemic/ubelt,Apache-2.0,2017-01-30 21:14:57.000000,2021-09-04 22:17:40.000000,2021-08-24 22:05:10.000000,43.0,6.0,579.0,2021-08-24 22:10:51.000000,0.10.1,55.0,1.0,1.0,23,True,863.0,,ubelt,,25718.0,834.0,812.0,https://pypi.org/project/ubelt,2021-08-24 22:08:17.000000,22.0,25718.0,,,,3.0,,,,,,,,,,
237,SDV,sdv-dev/SDV,"Synthetic Data Generation for tabular, relational and time series data.",,data-loading,https://github.com/sdv-dev/SDV,https://github.com/sdv-dev/SDV,MIT,2018-05-11 15:56:50.000000,2021-09-15 04:22:42.000000,2021-09-08 16:08:38.000000,90.0,238.0,499.0,2021-08-19 05:29:48.000000,0.12.0,56.0,38.0,126.0,23,True,902.0,,sdv,,11668.0,31.0,31.0,https://pypi.org/project/sdv,2021-08-19 05:26:29.000000,0.0,11668.0,,,,3.0,,,,,,,,,,
238,pysimdjson,TkTech/pysimdjson,Python bindings for the simdjson project.,,serialization,https://github.com/TkTech/pysimdjson,https://github.com/TkTech/pysimdjson,MIT,2019-02-22 03:26:04.000000,2021-06-21 14:56:08.000000,2021-06-21 14:54:09.000000,36.0,58.0,473.0,2021-06-21 14:56:08.000000,4.0.2,32.0,12.0,10.0,23,True,254.0,,pysimdjson,,70914.0,123.0,123.0,https://pypi.org/project/pysimdjson,2021-06-21 14:56:08.000000,0.0,70914.0,,,,3.0,,,,,,,,,,
239,anyio,agronholm/anyio,High level asynchronous concurrency and networking framework that works on top of either trio or asyncio.,,async,https://github.com/agronholm/anyio,https://github.com/agronholm/anyio,MIT,2018-08-19 21:07:18.000000,2021-09-08 23:36:29.387000,2021-09-08 21:02:17.000000,48.0,174.0,471.0,2021-09-08 21:07:52.000000,3.3.1,35.0,22.0,32.0,23,True,619.0,conda-forge/anyio,anyio,,22779.0,40.0,,https://pypi.org/project/anyio,2021-09-08 21:07:52.000000,40.0,,https://anaconda.org/conda-forge/anyio,2021-09-08 23:36:29.387000,546708.0,2.0,,,,,,,,,,
240,hickle,telegraphic/hickle,a HDF5-based python pickle replacement.,,serialization,https://github.com/telegraphic/hickle,https://github.com/telegraphic/hickle,MIT,2012-05-28 09:04:16.000000,2021-08-12 22:54:34.000000,2021-01-05 05:50:16.000000,62.0,86.0,388.0,2021-01-05 05:54:12.000000,4.0.4,36.0,21.0,9.0,23,True,445.0,conda-forge/hickle,hickle,,4680.0,447.0,309.0,https://pypi.org/project/hickle,2021-01-05 05:54:12.000000,138.0,4157.0,https://anaconda.org/conda-forge/hickle,2019-07-11 01:30:06.807000,16765.0,3.0,,,,,,,,,,
241,messytables,okfn/messytables,Tools for parsing messy tabular data. This is now superseded by https://github.com/frictionlessdata/tabulator-py.,,data-loading,https://github.com/okfn/messytables,https://github.com/okfn/messytables,MIT,2011-07-27 18:08:21.000000,2021-03-31 18:37:21.000000,2019-11-13 07:35:33.000000,101.0,55.0,376.0,2017-02-09 12:37:47.000000,0.15.2,26.0,44.0,34.0,23,False,601.0,,messytables,,8185.0,443.0,211.0,https://pypi.org/project/messytables,2017-02-09 12:37:47.000000,232.0,8185.0,,,,3.0,,,,,,,,,,
242,umongo,Scille/umongo,"sync/async MongoDB ODM, yes.",,db-clients,https://github.com/Scille/umongo,https://github.com/Scille/umongo,MIT,2016-03-09 16:34:42.000000,2021-09-14 07:50:37.000000,2021-01-11 17:10:11.000000,60.0,149.0,366.0,2021-01-11 16:52:10.000000,3.0.0,51.0,13.0,35.0,23,True,799.0,,umongo,,18252.0,789.0,769.0,https://pypi.org/project/umongo,2021-01-11 16:52:10.000000,20.0,18252.0,,,,3.0,,,,,,,,,,
243,python-benedict,fabiocaccamo/python-benedict,"dict subclass with keylist/keypath support, normalized I/O operations (base64, csv, ini, json, pickle, plist, query-..",,data-structures,https://github.com/fabiocaccamo/python-benedict,https://github.com/fabiocaccamo/python-benedict,MIT,2019-05-17 11:13:40.000000,2021-08-13 12:23:30.000000,2021-08-11 09:27:47.000000,19.0,52.0,269.0,2021-08-11 09:31:53.000000,0.24.2,41.0,2.0,7.0,23,True,387.0,conda-forge/python-benedict,python-benedict,,138085.0,326.0,326.0,https://pypi.org/project/python-benedict,2021-08-11 09:31:34.000000,0.0,136441.0,https://anaconda.org/conda-forge/python-benedict,2021-08-11 12:30:44.063000,16440.0,3.0,,,,,,,,,,
244,hydra,facebookresearch/hydra,Hydra is a framework for elegantly configuring complex applications.,,configuration,https://github.com/facebookresearch/hydra,https://github.com/facebookresearch/hydra,MIT,2019-06-12 19:33:15.000000,2021-09-15 21:49:18.000000,2021-09-15 18:33:10.000000,385.0,799.0,4826.0,2021-08-19 20:51:08.000000,1.1.1,17.0,80.0,76.0,22,True,,conda-forge/hydra-core,hydra,,19421.0,9.0,3.0,https://pypi.org/project/hydra,2016-08-03 13:21:51.000000,6.0,7018.0,https://anaconda.org/conda-forge/hydra-core,2021-08-20 04:26:32.575000,235660.0,3.0,,,,,,,,,,
