,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,labels
139,Databases,encode/databases,Async database support for Python.,,db-clients,https://github.com/encode/databases,https://github.com/encode/databases,BSD-3-Clause,2019-02-01 10:55:25.000,2020-12-10 06:34:13.000,2020-12-10 06:34:11.000,135,88.0,88.0,1933,2020-11-16 20:54:58.000,0.4.1,29.0,28,27,True,conda-forge/databases,databases,268.0,,36235.0,1422.0,1362.0,https://pypi.org/project/databases,2020-11-16 20:54:58.000,60.0,32837.0,https://anaconda.org/conda-forge/databases,2020-11-21 20:34:38.553,78173.0,3.0,,,
140,libcloud,apache/libcloud,Apache Libcloud is a Python library which hides differences between different cloud provider APIs and allows you to..,,db-clients,https://github.com/apache/libcloud,https://github.com/apache/libcloud,Apache-2.0,2009-12-11 09:00:14.000,2021-01-26 21:57:19.000,2021-01-25 22:10:59.000,880,30.0,67.0,1733,2021-01-02 19:20:03.000,3.3.1,63.0,418,27,True,,apache-libcloud,,,43139.0,3174.0,1632.0,https://pypi.org/project/apache-libcloud,2021-01-25 22:11:48.000,1542.0,43139.0,,,,3.0,,,
141,orjson,ijl/orjson,"Fast, correct Python JSON library supporting dataclasses, datetimes, and numpy.",,serialization,https://github.com/ijl/orjson,https://github.com/ijl/orjson,Apache-2.0,2018-11-21 23:43:14.000,2021-01-24 18:36:39.387,2021-01-19 15:20:18.000,66,13.0,123.0,1714,2021-01-19 15:42:05.000,3.4.7,62.0,9,27,True,conda-forge/orjson,orjson,387.0,,318501.0,1297.0,1269.0,https://pypi.org/project/orjson,2021-01-19 15:44:59.000,28.0,312817.0,https://anaconda.org/conda-forge/orjson,2021-01-24 18:36:39.387,51158.0,3.0,,,
142,pyfilesystem2,pyfilesystem/pyfilesystem2,Python's Filesystem abstraction layer.,,file-path-utils,https://github.com/PyFilesystem/pyfilesystem2,https://github.com/PyFilesystem/pyfilesystem2,MIT,2016-10-14 15:05:27.000,2021-01-28 14:12:37.000,2021-01-27 00:48:51.000,126,53.0,225.0,1206,2021-01-14 14:53:22.000,2.4.12,82.0,38,27,True,,fs,515.0,,101689.0,796.0,,https://pypi.org/project/fs,2021-01-14 14:52:40.000,796.0,101689.0,,,,3.0,,,
143,sshtunnel,pahaz/sshtunnel,SSH tunnels to remote server.,,infrastructure,https://github.com/pahaz/sshtunnel,https://github.com/pahaz/sshtunnel,MIT,2014-06-11 21:14:05.000,2021-01-11 13:28:44.000,2021-01-11 13:12:20.000,132,18.0,132.0,774,2021-01-11 13:28:44.000,0.4.0,28.0,23,27,True,conda-forge/sshtunnel,sshtunnel,381.0,,384443.0,2240.0,1978.0,https://pypi.org/project/sshtunnel,2021-01-11 13:26:29.000,262.0,383261.0,https://anaconda.org/conda-forge/sshtunnel,2020-11-16 08:46:37.270,61486.0,3.0,,,
144,keyring,jaraco/keyring,Store and access your passwords safely.,,cryptography,https://github.com/jaraco/keyring,https://github.com/jaraco/keyring,MIT,2015-02-24 14:10:21.000,2021-01-27 17:42:24.848,2021-01-26 20:13:23.000,95,17.0,361.0,630,2021-01-26 20:17:40.000,22.0.1,158.0,91,27,True,conda-forge/keyring,keyring,,,1941422.0,5932.0,,https://pypi.org/project/keyring,2021-01-26 20:17:35.000,5932.0,1926728.0,https://anaconda.org/conda-forge/keyring,2021-01-27 17:42:24.848,822900.0,3.0,,,
145,parsedatetime,bear/parsedatetime,Parse human-readable date/time strings.,,date-time-utils,https://github.com/bear/parsedatetime,https://github.com/bear/parsedatetime,Apache-2.0,2012-09-12 06:44:45.000,2020-11-12 09:22:02.000,2020-05-31 23:24:18.000,100,54.0,93.0,585,2020-05-31 23:52:03.000,2.6,16.0,49,27,True,conda-forge/parsedatetime,parsedatetime,369.0,,499089.0,4940.0,2744.0,https://pypi.org/project/parsedatetime,2019-11-19 05:21:54.000,2196.0,497598.0,https://anaconda.org/conda-forge/parsedatetime,2020-06-10 17:26:40.760,77540.0,3.0,,,
146,pysolr,django-haystack/pysolr,Pysolr Python Solr client.,,db-clients,https://github.com/django-haystack/pysolr,https://github.com/django-haystack/pysolr,BSD-3-Clause,2009-07-01 17:54:08.000,2021-01-23 15:55:23.000,2021-01-23 15:55:22.000,298,21.0,117.0,577,2020-04-17 20:27:24.000,3.9.0,34.0,61,27,True,conda-forge/pysolr,pysolr,465.0,,48626.0,4694.0,2196.0,https://pypi.org/project/pysolr,2020-04-17 20:16:24.000,2498.0,48331.0,https://anaconda.org/conda-forge/pysolr,2020-04-28 01:47:13.562,13873.0,3.0,,,
147,scandir,benhoyt/scandir,"Better directory iterator and faster os.walk(), now in the Python 3.5 stdlib.",,file-path-utils,https://github.com/benhoyt/scandir,https://github.com/benhoyt/scandir,BSD-3-Clause,2013-05-13 08:14:57.000,2021-01-12 06:08:03.159,2020-07-20 22:32:13.000,59,11.0,80.0,466,2019-03-09 18:00:51.000,1.10.0,16.0,20,27,True,conda-forge/scandir,scandir,443.0,,2128691.0,15714.0,11566.0,https://pypi.org/project/scandir,2019-03-09 17:58:19.000,4148.0,2109015.0,https://anaconda.org/conda-forge/scandir,2021-01-12 06:08:03.159,1062529.0,3.0,,,
148,beaker,bbangert/beaker,WSGI middleware for sessions and caching.,,caching,https://github.com/bbangert/beaker,https://github.com/bbangert/beaker,BSD-3-Clause,2011-10-16 17:48:39.000,2021-01-26 22:26:13.000,2020-10-08 07:45:29.000,127,58.0,49.0,464,2019-08-26 22:02:52.000,1.11.0,58.0,85,27,True,conda-forge/beaker,beaker,799.0,,93190.0,5238.0,2624.0,https://pypi.org/project/beaker,2019-08-26 22:02:01.000,2614.0,92180.0,https://anaconda.org/conda-forge/beaker,2019-08-27 07:08:58.966,46463.0,3.0,,,
149,ConfigArgParse,bw2/ConfigArgParse,A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.,,cli-helpers,https://github.com/bw2/ConfigArgParse,https://github.com/bw2/ConfigArgParse,MIT,2014-06-25 00:27:02.000,2020-12-18 12:02:53.000,2020-04-24 03:43:37.000,82,60.0,84.0,449,2020-04-24 03:44:03.000,1.2.3,19.0,34,27,True,conda-forge/configargparse,configargparse,221.0,,440862.0,6898.0,4552.0,https://pypi.org/project/configargparse,2020-04-24 03:43:41.000,2346.0,437799.0,https://anaconda.org/conda-forge/configargparse,2020-04-26 00:40:45.776,162352.0,3.0,,,
150,munch,Infinidat/munch,A Munch is a Python dictionary that provides attribute-style access (a la JavaScript objects).,,data-structures,https://github.com/Infinidat/munch,https://github.com/Infinidat/munch,MIT,2012-03-08 21:20:50.000,2021-01-22 10:01:55.000,2021-01-22 10:01:54.000,63,6.0,25.0,447,2019-10-30 09:56:06.000,2.5.0,13.0,24,27,True,conda-forge/munch,munch,156.0,,764716.0,1134.0,,https://pypi.org/project/munch,2020-03-09 16:20:42.000,1134.0,749677.0,https://anaconda.org/conda-forge/munch,2019-10-30 13:10:23.404,872267.0,3.0,,,
151,pylibmc,lericson/pylibmc,A Python wrapper around the libmemcached interface from TangentOrg.,,caching,https://github.com/lericson/pylibmc,https://github.com/lericson/pylibmc,BSD-3-Clause,2009-07-31 19:51:02.000,2021-01-22 14:31:36.000,2021-01-22 14:31:35.000,114,27.0,162.0,441,2018-11-09 18:05:47.000,1.6.1,42.0,48,27,True,conda-forge/pylibmc,pylibmc,585.0,,67328.0,7737.0,3243.0,https://pypi.org/project/pylibmc,2019-08-15 12:04:18.000,4494.0,64613.0,https://anaconda.org/conda-forge/pylibmc,2021-01-09 19:26:29.080,146618.0,3.0,,,
152,futures,agronholm/pythonfutures,Backport of the concurrent.futures package to Python 2.6 and 2.7.,,compatibility,https://github.com/agronholm/pythonfutures,https://github.com/agronholm/pythonfutures,Python-2.0,2015-03-13 23:36:07.000,2020-03-18 16:57:48.065,2020-01-09 23:00:40.000,46,7.0,62.0,214,2019-07-15 09:33:00.000,3.3.0,23.0,18,27,True,conda-forge/futures,futures,126.0,,12070004.0,40384.0,25502.0,https://pypi.org/project/futures,2019-07-15 09:33:00.000,14882.0,12048860.0,https://anaconda.org/conda-forge/futures,2020-03-18 16:57:48.065,1120676.0,3.0,,,
153,param,holoviz/param,Param: Make your Python code clearer and more reliable by declaring Parameters.,,data-validation,https://github.com/holoviz/param,https://github.com/holoviz/param,BSD-3-Clause,2012-05-01 11:51:08.000,2021-01-17 16:08:02.000,2021-01-17 16:08:00.000,40,114.0,140.0,194,2021-01-06 18:56:22.000,1.10.1,27.0,27,27,True,conda-forge/param,param,610.0,,82880.0,1378.0,1242.0,https://pypi.org/project/param,2021-01-06 18:56:22.000,136.0,77785.0,https://anaconda.org/conda-forge/param,2021-01-08 16:15:48.891,229307.0,3.0,,,
154,srsly,explosion/srsly,"Modern high-performance serialization utilities for Python (JSON, MessagePack, Pickle).",,serialization,https://github.com/explosion/srsly,https://github.com/explosion/srsly,MIT,2018-12-01 03:21:56.000,2021-01-13 13:17:29.484,2020-11-26 10:35:53.000,20,3.0,15.0,183,2020-11-10 14:55:35.000,2.3.2,28.0,10,27,True,conda-forge/srsly,srsly,241.0,,666369.0,8557.0,8149.0,https://pypi.org/project/srsly,2020-11-10 14:55:35.000,408.0,651148.0,https://anaconda.org/conda-forge/srsly,2021-01-13 13:17:29.484,350104.0,3.0,,,
155,asciimatics,peterbrittain/asciimatics,"A cross platform package to do curses-like operations, plus higher level APIs and widgets to create text UIs and ASCII..",,cli-helpers,https://github.com/peterbrittain/asciimatics,https://github.com/peterbrittain/asciimatics,Apache-2.0,2015-04-15 20:18:41.000,2021-01-17 17:24:07.000,2021-01-17 17:23:17.000,194,21.0,210.0,2551,2020-11-15 15:06:20.000,1.12.0,21.0,31,26,True,conda-forge/asciimatics,asciimatics,966.0,,6590.0,537.0,421.0,https://pypi.org/project/asciimatics,2020-11-15 15:06:20.000,116.0,5051.0,https://anaconda.org/conda-forge/asciimatics,2021-01-12 03:15:28.127,50798.0,3.0,,,
156,flexx,flexxui/flexx,Write desktop and web apps in pure Python.,,gui-dev,https://github.com/flexxui/flexx,https://github.com/flexxui/flexx,BSD-2-Clause,2014-09-03 08:38:00.000,2021-01-18 10:07:22.000,2021-01-18 10:07:20.000,235,73.0,329.0,2526,2020-09-07 13:31:44.000,0.8.1,14.0,37,26,True,conda-forge/flexx,flexx,1921.0,,1962.0,98.0,80.0,https://pypi.org/project/flexx,2020-09-07 13:31:44.000,18.0,611.0,https://anaconda.org/conda-forge/flexx,2020-09-07 14:44:59.757,72987.0,3.0,,,
