,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,labels
172,python-box,cdgriffith/Box,Python dictionaries with advanced dot notation access.,,data-structures,https://github.com/cdgriffith/Box,https://github.com/cdgriffith/Box,MIT,2017-03-11 04:46:51.000,2021-01-12 22:59:59.000,2020-10-29 02:53:11.000,64,16.0,96.0,1615,2020-10-29 02:53:52.000,5.2.0,42.0,1,25,True,conda-forge/python-box,python-box,40.0,28.0,356426.0,1416.0,1162.0,https://pypi.org/project/python-box,2020-08-20 19:07:40.000,254.0,354536.0,https://anaconda.org/conda-forge/python-box,2020-10-29 04:01:50.038,62376.0,3.0,,,
173,omegaconf,omry/omegaconf,Flexible Python configuration system. The last one you will ever need.,,configuration,https://github.com/omry/omegaconf,https://github.com/omry/omegaconf,BSD-3-Clause,2018-09-03 14:59:01.000,2021-01-27 19:16:08.000,2021-01-27 19:16:03.000,38,44.0,213.0,549,2021-01-19 22:12:27.000,2.0.6,117.0,16,25,True,conda-forge/omegaconf,omegaconf,675.0,,86368.0,521.0,513.0,https://pypi.org/project/omegaconf,2021-01-23 01:32:20.000,8.0,79456.0,https://anaconda.org/conda-forge/omegaconf,2021-01-20 03:01:55.100,82944.0,3.0,,,
174,catalogue,explosion/catalogue,Super lightweight function registries for your library.,,others,https://github.com/explosion/catalogue,https://github.com/explosion/catalogue,MIT,2019-11-01 14:09:09.000,2021-01-12 12:37:17.796,2020-08-27 13:29:53.000,8,2.0,,70,2020-08-27 14:38:56.000,2.0.1,15.0,5,25,False,conda-forge/catalogue,catalogue,76.0,,549900.0,5218.0,5192.0,https://pypi.org/project/catalogue,2020-08-27 14:38:56.000,26.0,539591.0,https://anaconda.org/conda-forge/catalogue,2021-01-12 12:37:17.796,144326.0,3.0,,,
175,entrypoints,takluyver/entrypoints,Discover and load entry points from installed packages.,,inspect,https://github.com/takluyver/entrypoints,https://github.com/takluyver/entrypoints,MIT,2015-05-02 18:12:08.000,2020-12-03 20:07:10.000,2020-03-15 12:25:13.000,18,4.0,20.0,60,2017-06-08 10:55:15.000,0.2.3,6.0,9,25,False,conda-forge/entrypoints,entrypoints,59.0,,8634505.0,15152.0,,https://pypi.org/project/entrypoints,2019-01-07 18:10:52.000,15152.0,8569800.0,https://anaconda.org/conda-forge/entrypoints,2020-11-11 19:15:28.026,3688212.0,2.0,,,
176,contextlib2,jazzband/contextlib2,contextlib2 is a backport of the standard library's contextlib module to earlier Python versions.,,compatibility,https://github.com/jazzband/contextlib2,https://github.com/jazzband/contextlib2,psfrag,2016-02-23 08:51:49.209,2020-11-30 11:51:18.000,2020-11-30 11:51:12.000,6,3.0,10.0,31,2019-09-21 13:41:31.000,0.6.0,13.0,10,25,False,conda-forge/contextlib2,contextlib2,123.0,,4524052.0,32946.0,27986.0,https://pypi.org/project/contextlib2,2019-10-10 12:47:48.000,4960.0,4510387.0,https://anaconda.org/conda-forge/contextlib2,2019-10-10 14:10:46.819,806280.0,3.0,,,
177,diagrams,mingrammer/diagrams,Diagram as Code for prototyping cloud system architectures.,,others,https://github.com/mingrammer/diagrams,https://github.com/mingrammer/diagrams,MIT,2020-02-02 15:23:24.000,2021-01-28 11:18:16.000,2021-01-28 11:18:15.000,672,161.0,102.0,12425,2020-12-03 15:13:53.000,0.18.0,34.0,85,24,True,conda-forge/diagrams,diagrams,391.0,,22998.0,0.0,,https://pypi.org/project/diagrams,2020-12-03 15:04:27.000,0.0,18242.0,https://anaconda.org/conda-forge/diagrams,2021-01-16 03:07:03.027,38050.0,3.0,,,
178,mongo-connector,yougov/mongo-connector,MongoDB data stream pipeline tools by YouGov (adopted from MongoDB).,,db-clients,https://github.com/yougov/mongo-connector,https://github.com/yougov/mongo-connector,Apache-2.0,2012-08-09 23:39:36.000,2020-08-03 08:07:40.000,2018-12-05 18:23:06.000,453,228.0,504.0,1766,2018-12-05 19:18:21.000,3.1.1,51.0,62,24,False,,mongo-connector,1112.0,,2212.0,119.0,90.0,https://pypi.org/project/mongo-connector,2018-12-05 19:18:21.000,29.0,2212.0,,,,3.0,,,
179,returns,dry-python/returns,"Make your functions return something meaningful, typed, and safe!.",,utilities,https://github.com/dry-python/returns,https://github.com/dry-python/returns,BSD-2-Clause,2019-01-26 13:08:38.000,2021-01-28 05:35:52.000,2021-01-28 05:35:50.000,61,38.0,305.0,1554,2020-10-21 17:15:36.000,0.15.0,17.0,28,24,True,,returns,958.0,,6009.0,57.0,55.0,https://pypi.org/project/returns,2020-10-21 17:15:36.000,2.0,6009.0,,,,3.0,,,
180,fabtools,fabtools/fabtools,Tools for writing awesome Fabric files.,,infrastructure,https://github.com/fabtools/fabtools,https://github.com/fabtools/fabtools,BSD-2-Clause,2011-09-05 01:44:24.000,2019-12-13 07:52:20.000,2019-09-16 09:19:00.000,218,104.0,64.0,1236,2016-10-12 10:37:57.000,0.20.0,30.0,88,24,False,,fabtools,939.0,,1718.0,632.0,270.0,https://pypi.org/project/fabtools,2016-10-12 10:37:57.000,362.0,1718.0,,,,3.0,,,
181,strictyaml,crdoconnor/strictyaml,Type-safe YAML parser and validator.,,data-validation,https://github.com/crdoconnor/strictyaml,https://github.com/crdoconnor/strictyaml,MIT,2016-06-17 10:56:18.000,2021-01-19 00:27:39.513,2021-01-18 22:28:17.000,35,49.0,59.0,808,2021-01-18 22:23:58.000,1.3.2,74.0,16,24,True,conda-forge/strictyaml,strictyaml,672.0,,16100.0,276.0,226.0,https://pypi.org/project/strictyaml,2021-01-18 22:23:58.000,50.0,14666.0,https://anaconda.org/conda-forge/strictyaml,2021-01-19 00:27:39.513,47346.0,3.0,,,
182,immutables,MagicStack/immutables,A high-performance immutable mapping type for Python.,,data-structures,https://github.com/MagicStack/immutables,https://github.com/MagicStack/immutables,Apache-2.0,2018-03-30 21:24:52.000,2021-01-17 19:17:51.000,2020-12-07 04:56:44.000,31,11.0,18.0,799,2020-05-18 04:39:57.000,0.14,14.0,7,24,True,conda-forge/immutables,immutables,82.0,,559849.0,1416.0,1316.0,https://pypi.org/project/immutables,2020-05-18 04:39:59.000,100.0,546918.0,https://anaconda.org/conda-forge/immutables,2021-01-11 12:42:01.910,413798.0,3.0,,,
183,cleo,sdispater/cleo,Cleo allows you to create beautiful and testable command-line interfaces.,,cli-helpers,https://github.com/sdispater/cleo,https://github.com/sdispater/cleo,MIT,2013-12-16 16:01:42.000,2021-01-27 23:39:13.000,2020-04-17 17:26:54.000,36,36.0,26.0,672,2020-04-17 17:25:05.000,0.8.1,24.0,6,24,True,conda-forge/cleo,cleo,270.0,,769231.0,152.0,,https://pypi.org/project/cleo,2020-04-17 17:25:02.000,152.0,768364.0,https://anaconda.org/conda-forge/cleo,2020-10-09 18:06:01.698,25164.0,3.0,,,
184,neo4j-driver,neo4j/neo4j-python-driver,Neo4j Bolt driver for Python.,,db-clients,https://github.com/neo4j/neo4j-python-driver,https://github.com/neo4j/neo4j-python-driver,Apache-2.0,2015-05-05 13:08:20.000,2021-01-22 13:27:48.000,2021-01-22 13:27:42.000,132,4.0,169.0,598,2020-12-21 13:59:28.000,4.2.1,81.0,27,24,True,,neo4j-driver,,,62642.0,382.0,,https://pypi.org/project/neo4j-driver,2020-12-21 13:56:38.000,382.0,62642.0,,,,3.0,,,
185,python-mss,BoboTiG/python-mss,An ultra fast cross-platform multiple screenshots module in pure Python using ctypes.,,others,https://github.com/BoboTiG/python-mss,https://github.com/BoboTiG/python-mss,MIT,2013-07-01 16:14:08.000,2020-10-31 20:08:28.845,2020-10-31 17:14:26.000,54,25.0,80.0,566,2020-10-31 17:19:13.000,6.1.0,32.0,14,24,True,conda-forge/python-mss,mss,639.0,,133556.0,300.0,,https://pypi.org/project/mss,2020-10-31 17:19:13.000,300.0,133156.0,https://anaconda.org/conda-forge/python-mss,2020-10-31 20:08:28.845,2802.0,3.0,,,
186,HappyBase,python-happybase/happybase,A developer-friendly Python library to interact with Apache HBase.,,db-clients,https://github.com/python-happybase/happybase,https://github.com/python-happybase/happybase,MIT,2012-05-20 20:06:10.000,2020-04-09 10:46:31.000,2020-04-09 10:46:29.000,151,27.0,179.0,556,2017-04-03 21:13:18.000,1.1.0,11.0,19,24,True,conda-forge/happybase,happybase,283.0,,35758.0,878.0,456.0,https://pypi.org/project/happybase,2017-04-03 21:13:18.000,422.0,34867.0,https://anaconda.org/conda-forge/happybase,2019-07-01 13:37:04.756,49008.0,3.0,,,
187,ordered-set,LuminosoInsight/ordered-set,A mutable set that remembers the order of its entries. One of Python's missing data types.,,data-structures,https://github.com/LuminosoInsight/ordered-set,https://github.com/LuminosoInsight/ordered-set,MIT,2012-08-17 21:55:21.000,2021-01-23 04:27:29.000,2020-06-17 20:48:30.000,31,6.0,24.0,108,2020-06-17 20:50:12.000,4.0.2,16.0,17,24,True,conda-forge/ordered-set,ordered-set,144.0,,1066257.0,2162.0,1856.0,https://pypi.org/project/ordered-set,2020-06-17 20:50:12.000,306.0,1065195.0,https://anaconda.org/conda-forge/ordered-set,2020-06-18 14:06:17.580,60546.0,3.0,1.0,,
188,zipp,jaraco/zipp,Backport of pathlib-compatible object wrapper for zip files.,,file-path-utils,https://github.com/jaraco/zipp,https://github.com/jaraco/zipp,MIT,2018-11-15 21:24:48.000,2020-12-17 02:03:10.000,2020-12-17 02:01:59.000,19,1.0,37.0,20,2020-10-25 18:40:46.000,3.4.0,28.0,8,24,False,conda-forge/zipp,zipp,,,17007328.0,5822.0,,https://pypi.org/project/zipp,2020-10-25 18:40:27.000,5822.0,16823481.0,https://anaconda.org/conda-forge/zipp,2020-10-25 23:33:10.683,4228500.0,3.0,,,
189,powerline-shell,b-ryan/powerline-shell,A beautiful and useful prompt for your shell.,,others,https://github.com/b-ryan/powerline-shell,https://github.com/b-ryan/powerline-shell,MIT,2012-09-09 16:12:53.000,2021-01-11 22:13:20.000,2018-09-16 00:24:03.000,704,99.0,168.0,5512,2018-09-16 00:34:48.000,0.7.0,26.0,85,23,False,,powerline-shell,572.0,,1091.0,61.0,57.0,https://pypi.org/project/powerline-shell,2018-09-16 00:34:48.000,4.0,1091.0,,,,3.0,,,
190,Typer,tiangolo/typer,"Typer, build great CLIs. Easy to code. Based on Python type hints.",,cli-helpers,https://github.com/tiangolo/typer,https://github.com/tiangolo/typer,MIT,2019-12-24 12:24:11.000,2021-01-27 23:16:56.000,2020-08-16 14:52:47.000,162,72.0,74.0,4403,2020-08-16 14:57:19.000,0.3.2,18.0,8,23,True,,typer,257.0,,145725.0,0.0,,https://pypi.org/project/typer,2020-08-16 14:57:19.000,0.0,145725.0,,,,3.0,,,
191,hydra,facebookresearch/hydra,Hydra is a framework for elegantly configuring complex applications.,,configuration,https://github.com/facebookresearch/hydra,https://github.com/facebookresearch/hydra,MIT,2019-06-12 19:33:15.000,2021-01-28 13:58:25.000,2021-01-28 03:51:25.000,291,91.0,551.0,3633,2021-01-07 23:55:33.000,1.0.5,11.0,60,23,True,conda-forge/hydra-core,hydra,1314.0,,5055.0,2.0,,https://pypi.org/project/hydra,2016-08-03 13:21:51.000,2.0,1387.0,https://anaconda.org/conda-forge/hydra-core,2021-01-08 06:20:02.794,40348.0,3.0,,,
192,macropy,lihaoyi/macropy,"Macros in Python: quasiquotes, case classes, LINQ and more!.",,others,https://github.com/lihaoyi/macropy,https://github.com/lihaoyi/macropy,MIT,2013-04-15 14:47:29.000,2020-12-24 02:10:58.000,2020-03-03 22:30:21.000,159,17.0,58.0,3052,,,4.0,19,23,True,,macropy3,885.0,,2333.0,390.0,386.0,https://pypi.org/project/macropy3,2018-05-11 23:17:05.000,4.0,2333.0,,,,3.0,,,
193,AWS Data Wrangler,awslabs/aws-data-wrangler,"Pandas on AWS - Easy integration with Athena, Glue, Redshift, Timestream, QuickSight, Chime, CloudWatchLogs, DynamoDB,..",,db-clients,https://github.com/awslabs/aws-data-wrangler,https://github.com/awslabs/aws-data-wrangler,Apache-2.0,2019-02-26 01:39:02.000,2021-01-27 23:11:12.000,2021-01-27 18:37:08.000,218,25.0,280.0,1396,2021-01-10 14:36:42.000,2.3.0,105.0,60,23,True,,awswrangler,,21633.0,481927.0,0.0,,https://pypi.org/project/awswrangler,2021-01-10 14:17:53.000,0.0,480726.0,,,,3.0,,,['pandas']
194,path,jaraco/path,Object-oriented file system path manipulation.,,file-path-utils,https://github.com/jaraco/path,https://github.com/jaraco/path,MIT,2012-04-21 02:59:29.000,2021-01-12 14:21:15.990,2021-01-11 06:53:50.000,126,3.0,120.0,938,2020-12-08 17:41:21.000,15.0.1,8.0,42,23,True,conda-forge/path,path,,,96566.0,78.0,,https://pypi.org/project/path,2020-12-08 17:41:17.000,78.0,91734.0,https://anaconda.org/conda-forge/path,2021-01-12 14:21:15.990,62822.0,3.0,,,
195,pluginbase,mitsuhiko/pluginbase,A simple but flexible plugin system for Python.,,others,https://github.com/mitsuhiko/pluginbase,https://github.com/mitsuhiko/pluginbase,BSD-3-Clause,2014-06-30 20:51:42.000,2019-05-25 08:57:06.000,2019-02-02 19:40:21.000,136,,11.0,929,2019-02-02 19:44:23.000,1.0.0,8.0,8,23,False,conda-forge/pluginbase,pluginbase,46.0,,160173.0,916.0,644.0,https://pypi.org/project/pluginbase,2019-02-02 19:40:54.000,272.0,156106.0,https://anaconda.org/conda-forge/pluginbase,2019-02-04 15:40:32.059,146441.0,3.0,,,
196,Unipath,mikeorr/Unipath,An object-oriented approach to Python file/directory operations.,,file-path-utils,https://github.com/mikeorr/Unipath,https://github.com/mikeorr/Unipath,MIT,2013-01-28 04:38:28.000,2019-12-15 21:01:45.000,2015-02-14 18:30:08.000,36,7.0,10.0,494,2009-03-29 15:28:56.000,0.2.1,3.0,6,23,False,,unipath,49.0,,24022.0,8487.0,4765.0,https://pypi.org/project/unipath,2015-02-11 04:36:12.000,3722.0,24022.0,,,,3.0,,,
197,ratelimit,tomasbasham/ratelimit,API Rate Limit Decorator.,,utilities,https://github.com/tomasbasham/ratelimit,https://github.com/tomasbasham/ratelimit,MIT,2015-08-26 10:39:52.000,2020-02-21 14:08:33.000,2019-02-06 21:53:36.000,80,23.0,17.0,346,2018-12-17 18:55:49.000,2.2.1,11.0,8,23,False,,ratelimit,36.0,,344171.0,900.0,782.0,https://pypi.org/project/ratelimit,2018-12-17 18:55:49.000,118.0,344171.0,,,,3.0,,,
198,storm,emre/storm,Manage your SSH like a boss.,,infrastructure,https://github.com/emre/storm,https://github.com/emre/storm,MIT,2013-05-20 18:30:39.000,2020-06-12 10:38:03.000,2018-08-07 19:46:34.000,158,22.0,82.0,3751,2018-08-24 22:08:05.000,0.7.0,8.0,30,22,False,,storm,339.0,,626.0,108.0,33.0,https://pypi.org/project/storm,2020-06-12 10:38:03.000,75.0,626.0,,,,3.0,,,
199,pyinfra,Fizzadar/pyinfra,"pyinfra automates infrastructure super fast at massive scale. It can be used for ad-hoc command execution, service..",,infrastructure,https://github.com/Fizzadar/pyinfra,https://github.com/Fizzadar/pyinfra,MIT,2014-10-19 19:37:45.000,2021-01-23 16:28:38.000,2021-01-22 10:32:47.000,103,36.0,343.0,1083,2021-01-22 10:33:36.000,1.3.4,143.0,42,22,True,,pyinfra,3022.0,,671.0,28.0,24.0,https://pypi.org/project/pyinfra,2021-01-18 21:44:31.000,4.0,671.0,,,,3.0,,,
200,enaml,nucleic/enaml,Declarative User Interfaces for Python.,,gui-dev,https://github.com/nucleic/enaml,https://github.com/nucleic/enaml,BSD-3-Clause,2013-03-06 21:29:01.000,2021-01-28 11:59:00.000,2021-01-28 11:58:59.000,101,41.0,160.0,997,2020-11-04 19:38:23.000,0.12.0,17.0,31,22,True,conda-forge/enaml,enaml,,4.0,2570.0,316.0,172.0,https://pypi.org/project/enaml,2020-11-04 19:38:23.000,144.0,933.0,https://anaconda.org/conda-forge/enaml,2020-11-11 17:11:59.923,62221.0,3.0,,,
201,parallel-ssh,ParallelSSH/parallel-ssh,Asynchronous parallel SSH client library.,,infrastructure,https://github.com/ParallelSSH/parallel-ssh,https://github.com/ParallelSSH/parallel-ssh,LGPL-2.1,2012-12-24 14:45:36.000,2021-01-28 09:42:44.000,2021-01-11 10:17:52.000,118,9.0,172.0,844,2021-01-09 22:55:51.000,2.5.3,87.0,14,22,False,,parallel-ssh,508.0,316.0,10647.0,120.0,92.0,https://pypi.org/project/parallel-ssh,2021-01-09 22:55:51.000,28.0,10643.0,,,,3.0,,,
202,ubelt,Erotemic/ubelt,"A Python utility belt containing simple tools, a stdlib like feel, and extra batteries. Hashing, Caching, Timing,..",,utilities,https://github.com/Erotemic/ubelt,https://github.com/Erotemic/ubelt,Apache-2.0,2017-01-30 21:14:57.000,2021-01-27 22:42:14.000,2021-01-15 22:13:20.000,41,2.0,5.0,556,2021-01-15 22:43:57.000,0.9.4,52.0,1,22,True,,ubelt,778.0,,6661.0,450.0,428.0,https://pypi.org/project/ubelt,2021-01-15 22:43:57.000,22.0,6661.0,,,,3.0,,,
203,awesome-slugify,voronind/awesome-slugify,Python flexible slugify function.,,text,https://github.com/voronind/awesome-slugify,https://github.com/voronind/awesome-slugify,GPL-3.0,2013-10-19 02:58:27.000,2020-04-17 14:24:23.000,2017-01-20 20:45:25.000,39,18.0,11.0,455,2015-06-05 06:31:13.000,1.6.5,26.0,11,22,False,conda-forge/awesome-slugify,awesome-slugify,96.0,,19815.0,4952.0,2712.0,https://pypi.org/project/awesome-slugify,2015-06-05 06:31:13.000,2240.0,19035.0,https://anaconda.org/conda-forge/awesome-slugify,2019-06-28 21:27:11.187,44483.0,3.0,,,
204,pyhdb,SAP/pyhdb,SAP HANA Connector in pure Python.,,db-clients,https://github.com/SAP/PyHDB,https://github.com/SAP/PyHDB,Apache-2.0,2014-12-12 04:02:40.000,2020-12-24 19:33:16.000,2018-05-24 13:45:41.000,132,50.0,51.0,288,2018-02-16 12:44:36.000,0.3.4,8.0,10,22,False,,pyhdb,155.0,59.0,55575.0,131.0,101.0,https://pypi.org/project/pyhdb,2018-02-16 12:37:13.000,30.0,55575.0,,,,3.0,,,
205,typing_inspect,ilevkivskyi/typing_inspect,Runtime inspection utilities for Python typing module.,,inspect,https://github.com/ilevkivskyi/typing_inspect,https://github.com/ilevkivskyi/typing_inspect,MIT,2017-04-29 15:49:25.000,2021-01-17 09:43:29.000,2021-01-17 09:43:28.000,14,18.0,22.0,185,2020-05-02 10:22:24.000,0.6.0,8.0,9,22,True,conda-forge/typing_inspect,typing_inspect,52.0,,2405456.0,80.0,,https://pypi.org/project/typing_inspect,2020-05-02 10:22:24.000,80.0,2402393.0,https://anaconda.org/conda-forge/typing_inspect,2020-05-06 11:35:21.424,64335.0,3.0,,,
206,price-parser,scrapinghub/price-parser,Extract price amount and currency symbol from a raw text string.,,text,https://github.com/scrapinghub/price-parser,https://github.com/scrapinghub/price-parser,BSD-3-Clause,2019-04-11 18:27:30.000,2020-11-25 09:48:30.000,2020-11-25 09:45:42.000,30,19.0,6.0,169,2020-11-25 09:35:49.000,0.3.4,12.0,12,22,True,,price-parser,96.0,,16784.0,51.0,51.0,https://pypi.org/project/price-parser,2020-11-25 09:35:49.000,,16784.0,,,,3.0,,,
207,bashplotlib,glamp/bashplotlib,plotting in the terminal.,,cli-helpers,https://github.com/glamp/bashplotlib,https://github.com/glamp/bashplotlib,MIT,2012-12-13 04:01:10.000,2019-12-01 11:31:41.000,2019-05-09 21:00:50.000,79,16.0,10.0,1503,2016-02-06 21:56:46.000,0.6.5,27.0,19,21,False,,bashplotlib,208.0,,2194.0,128.0,112.0,https://pypi.org/project/bashplotlib,2016-02-06 21:56:46.000,16.0,2194.0,,,,3.0,,,
208,CommonRegex,madisonmay/CommonRegex,A collection of common regular expressions bundled with an easy to use interface.,,utilities,https://github.com/madisonmay/CommonRegex,https://github.com/madisonmay/CommonRegex,MIT,2013-12-17 08:43:14.000,2020-12-20 05:00:55.000,2019-09-25 12:17:08.000,120,11.0,10.0,1422,2014-08-29 22:18:11.000,1.5.3,4.0,14,21,False,,commonregex,113.0,,3595.0,65.0,51.0,https://pypi.org/project/commonregex,2014-08-29 22:18:11.000,14.0,3595.0,,,,3.0,,,
209,pysimdjson,TkTech/pysimdjson,Python bindings for the simdjson project.,,serialization,https://github.com/TkTech/pysimdjson,https://github.com/TkTech/pysimdjson,MIT,2019-02-22 03:26:04.000,2020-12-04 07:56:42.000,2020-12-02 15:58:56.000,27,12.0,47.0,419,2020-11-13 02:54:01.000,3.1.1,29.0,8,21,True,,pysimdjson,203.0,,5871.0,37.0,37.0,https://pypi.org/project/pysimdjson,2020-11-13 02:54:01.000,0.0,5871.0,,,,3.0,,,
210,pampy,santinic/pampy,Pampy: The Pattern Matching for Python you always dreamed of.,,utilities,https://github.com/santinic/pampy,https://github.com/santinic/pampy,MIT,2018-11-08 12:51:17.000,2020-04-11 23:04:54.000,2019-07-13 11:30:29.000,116,18.0,14.0,3323,2018-12-24 14:09:35.000,0.2.1,10.0,9,20,False,,pampy,131.0,,2748.0,138.0,122.0,https://pypi.org/project/pampy,2018-12-24 14:08:38.000,16.0,2748.0,,,,3.0,,,
211,db.py,yhat/db.py,db.py is an easier way to interact with your databases.,,db-clients,https://github.com/yhat/db.py,https://github.com/yhat/db.py,BSD-2-Clause,2014-10-26 15:36:57.000,2019-12-13 18:00:10.000,2017-03-31 14:41:30.000,110,32.0,21.0,1206,2017-03-31 14:41:57.000,0.5.3,35.0,24,20,False,,db.py,233.0,,495.0,19.0,,https://pypi.org/project/db.py,2017-03-31 14:41:57.000,19.0,495.0,,,,3.0,,,
212,Queries,gmr/queries,PostgreSQL database access simplified.,,db-clients,https://github.com/gmr/queries,https://github.com/gmr/queries,BSD-3-Clause,2012-08-24 16:12:55.000,2020-11-04 14:26:15.000,2020-08-07 16:32:54.000,27,3.0,13.0,232,2020-03-09 17:40:07.000,2.1.0,29.0,11,20,True,,queries,334.0,,720.0,112.0,87.0,https://pypi.org/project/queries,2020-03-09 17:40:07.000,25.0,720.0,,,,3.0,,,
213,filedepot,amol-/depot,Toolkit for storing files and attachments in web applications.,,db-clients,https://github.com/amol-/depot,https://github.com/amol-/depot,MIT,2014-06-04 10:27:12.000,2020-07-27 18:27:16.000,2020-07-27 18:22:42.000,34,6.0,33.0,122,2020-07-27 18:26:46.000,0.8.0,23.0,18,20,True,,filedepot,257.0,,1799.0,320.0,232.0,https://pypi.org/project/filedepot,2020-07-27 18:27:16.000,88.0,1799.0,,,,3.0,,,
214,stopit,glenfant/stopit,"Raise asynchronous exceptions in other thread, control the timeout of blocks or callables with a context manager or a..",,async,https://github.com/glenfant/stopit,https://github.com/glenfant/stopit,MIT,2014-02-09 15:40:01.000,2020-03-03 16:20:26.000,2019-08-27 15:33:26.000,14,2.0,13.0,83,2018-02-09 00:32:14.000,1.1.2,4.0,6,20,False,conda-forge/stopit,stopit,32.0,,81509.0,688.0,576.0,https://pypi.org/project/stopit,2018-02-09 00:32:14.000,112.0,80104.0,https://anaconda.org/conda-forge/stopit,2018-02-10 00:46:14.882,50614.0,3.0,,,
215,PyPattyrn,tylerlaberge/PyPattyrn,A simple library for implementing common design patterns.,,algorithms,https://github.com/tylerlaberge/PyPattyrn,https://github.com/tylerlaberge/PyPattyrn,MIT,2016-07-17 22:09:31.000,2020-02-09 19:26:02.000,2020-02-09 19:26:00.000,104,,40.0,1145,2016-09-11 02:13:18.000,1.2,3.0,4,18,True,,pypattyrn,103.0,,1596.0,12.0,12.0,https://pypi.org/project/pypattyrn,2016-09-11 02:18:42.000,0.0,1596.0,,,,3.0,,,
216,PugSQL,mcfunley/pugsql,A HugSQL-inspired database library for Python.,,db-clients,https://github.com/mcfunley/pugsql,https://github.com/mcfunley/pugsql,Apache-2.0,2019-05-19 16:55:38.000,2020-12-15 20:56:53.000,2020-09-13 06:06:13.000,13,13.0,19.0,410,2020-09-03 22:44:19.000,0.2.2,23.0,10,18,True,,pugsql,254.0,,1670.0,1.0,,https://pypi.org/project/pugsql,2020-09-13 05:35:42.000,1.0,1670.0,,,,3.0,,,
217,valideer,podio/valideer,Lightweight data validation and adaptation Python library.,,data-validation,https://github.com/podio/valideer,https://github.com/podio/valideer,MIT,2012-07-25 12:33:39.000,2020-03-08 21:45:00.000,2018-03-07 14:51:59.000,17,3.0,11.0,246,2015-12-20 08:56:50.000,0.4.2,8.0,7,18,False,conda-forge/valideer,valideer,89.0,,6728.0,52.0,37.0,https://pypi.org/project/valideer,2015-12-20 08:56:50.000,15.0,6480.0,https://anaconda.org/conda-forge/valideer,2018-07-06 17:55:22.261,14158.0,3.0,,,
218,validr,guyskk/validr,"A simple, fast, extensible python library for data validation.",,data-validation,https://github.com/guyskk/validr,https://github.com/guyskk/validr,MIT,2015-09-05 05:47:04.000,2020-04-05 05:57:36.000,2020-04-05 05:56:24.000,11,2.0,20.0,202,2020-04-05 05:54:29.000,1.2.0,20.0,7,17,True,,validr,354.0,,3564.0,4.0,,https://pypi.org/project/validr,2020-04-05 05:54:29.000,4.0,3564.0,,,,3.0,,,
219,importlib-resources,python/importlib_resources,Read resources from Python packages.,,inspect,https://github.com/python/importlib_resources,https://github.com/python/importlib_resources,Apache-2.0,2020-10-21 21:02:58.000,2021-01-19 03:22:36.000,2021-01-19 03:18:42.000,5,6.0,191.0,3,2021-01-19 03:22:40.000,5.1.0,31.0,14,17,False,,importlib-resources,,,3863455.0,0.0,,https://pypi.org/project/importlib-resources,2021-01-19 03:22:36.000,0.0,3863455.0,,,,3.0,,,
220,grumpy,google/grumpy,Grumpy is a Python to Go source code transcompiler and runtime.,,python-implementations,https://github.com/google/grumpy,https://github.com/google/grumpy,Apache-2.0,2016-12-21 17:49:01.000,2020-03-27 17:26:46.000,2017-11-22 02:08:58.000,632,80.0,77.0,10250,,,,30,16,False,,,331.0,,,,,,,,,,,,2.0,,,
221,pyston,pyston/pyston,"A faster and highly-compatible implementation of the Python programming language. The code here is out of date, please..",,python-implementations,https://github.com/pyston/pyston,https://github.com/pyston/pyston,Apache-2.0,2014-04-01 07:17:20.000,2021-01-22 19:07:16.000,2020-10-28 21:00:53.000,310,36.0,264.0,4916,2021-01-22 19:07:16.000,2.1,9.0,42,16,True,,,2.0,4331.0,56.0,,,,,,,,,,2.0,,,
222,colout,nojhan/colout,Color text streams with a polished command line interface.,,cli-helpers,https://github.com/nojhan/colout,https://github.com/nojhan/colout,GPL-3.0,2012-03-31 10:39:00.000,2020-08-13 16:59:05.000,2020-08-02 07:43:02.000,55,11.0,56.0,1037,2020-06-21 20:04:58.000,0.12.1,6.0,29,15,True,,colout,247.0,,66.0,1.0,1.0,https://pypi.org/project/colout,2020-06-21 20:04:58.000,,66.0,,,,3.0,,,
223,stackless,stackless-dev/stackless,The Stackless Python programming language.,,python-implementations,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10.000,2020-01-22 20:30:14.000,2019-09-05 17:28:36.000,47,10.0,206.0,684,,,,541,15,False,,,100294.0,,,,,,,,,,,,3.0,,,
