,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,conda_dependent_project_count,trending,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
126,DearPyGui,hoffstadt/DearPyGui,Dear PyGui: A fast and powerful Graphical User Interface Toolkit for Python with minimal dependencies.,,gui-dev,https://github.com/hoffstadt/DearPyGui,https://github.com/hoffstadt/DearPyGui,MIT,2020-05-28 17:12:57.000000,2021-11-04 04:29:02.000000,2021-11-03 03:31:20.000000,287.0,97.0,682.0,6312.0,2021-10-16 13:38:09.000000,1.0.2,195.0,29.0,28,True,2492.0,,dearpygui,,10882.0,208.0,208.0,https://pypi.org/project/dearpygui,2021-10-16 13:38:09.000000,0.0,10882.0,,,,2.0,,,,,,,,,,
127,sh,amoffat/sh,Python process launching.,,process-utils,https://github.com/amoffat/sh,https://github.com/amoffat/sh,MIT,2012-01-15 05:52:06.000000,2021-10-13 06:41:15.000000,2021-08-29 16:15:25.000000,441.0,10.0,392.0,5900.0,2021-05-15 03:40:51.000000,1.14.2,35.0,81.0,28,True,1218.0,conda-forge/sh,sh,,1808.0,12330.0,7872.0,https://pypi.org/project/sh,2021-05-15 03:40:51.000000,4458.0,,https://anaconda.org/conda-forge/sh,2021-01-09 00:08:02.441000,112133.0,3.0,,,,,,,,,,
128,kubernetes,kubernetes-client/python,Official Python client library for kubernetes.,,infrastructure,https://github.com/kubernetes-client/python,https://github.com/kubernetes-client/python,Apache-2.0,2016-10-31 20:08:03.000000,2021-11-03 02:38:58.000000,2021-10-28 16:14:27.000000,2301.0,83.0,907.0,4202.0,2021-10-25 22:04:56.000000,19.15.0,63.0,94.0,28,True,1033.0,conda-forge/kubernetes,kubernetes,,5856.0,1356.0,,https://pypi.org/project/kubernetes,2021-10-27 17:51:31.000000,1356.0,,https://anaconda.org/conda-forge/kubernetes,2021-06-16 20:30:16.954000,257689.0,3.0,,,,,,,,,,
129,dataset,pudo/dataset,"Easy-to-use data handling for SQL data stores with support for implicit table creation, bulk loading, and transactions.",,db-clients,https://github.com/pudo/dataset,https://github.com/pudo/dataset,MIT,2013-04-01 14:57:55.000000,2021-10-30 10:07:10.000000,2021-10-30 10:07:06.000000,274.0,14.0,250.0,4088.0,2021-04-22 17:03:25.000000,1.5.0,51.0,76.0,28,True,686.0,,dataset,,87171.0,3164.0,2136.0,https://pypi.org/project/dataset,2021-04-22 17:03:25.000000,1028.0,87171.0,,,,3.0,,,,,,,,,,
130,textract,deanmalmgren/textract,extract text from any document. no muss. no fuss.,,data-loading,https://github.com/deanmalmgren/textract,https://github.com/deanmalmgren/textract,MIT,2014-07-03 20:36:59.000000,2021-11-01 14:05:17.000000,2021-08-21 17:07:52.000000,464.0,86.0,126.0,3132.0,2021-08-21 17:09:22.000000,1.6.4,16.0,39.0,28,True,579.0,conda-forge/textract,textract,,79009.0,192.0,,https://pypi.org/project/textract,2021-08-21 17:07:16.000000,192.0,78802.0,https://anaconda.org/conda-forge/textract,2021-08-22 03:37:29.204000,12848.0,2.0,,,,,,,,,,
131,phonenumbers,daviddrysdale/python-phonenumbers,Python port of Google's libphonenumber.,,text,https://github.com/daviddrysdale/python-phonenumbers,https://github.com/daviddrysdale/python-phonenumbers,Apache-2.0,2011-04-21 03:06:38.000000,2021-10-27 10:08:01.428000,2021-10-27 08:29:11.000000,363.0,4.0,126.0,2868.0,2021-10-27 08:50:09.000000,8.12.36,187.0,25.0,28,True,,conda-forge/phonenumbers,phonenumbers,,2279320.0,2280.0,,https://pypi.org/project/phonenumbers,2021-10-27 08:50:09.000000,2280.0,2271766.0,https://anaconda.org/conda-forge/phonenumbers,2021-10-27 10:08:01.428000,491057.0,2.0,,,,,,,,,,
132,clint,kennethreitz-archive/clint,Python Command-line Application Tools.,,cli-helpers,https://github.com/kennethreitz-archive/clint,https://github.com/kennethreitz-archive/clint,ISC,2010-10-12 02:40:00.000000,2021-07-31 05:54:17.000000,2017-09-02 04:38:47.000000,226.0,32.0,41.0,2480.0,2015-08-25 16:13:43.000000,0.5.1,17.0,64.0,28,False,372.0,conda-forge/clint,clint,99.0,121671.0,5584.0,3342.0,https://pypi.org/project/clint,2015-08-25 16:11:19.000000,2242.0,121068.0,https://anaconda.org/conda-forge/clint,2018-07-09 09:37:09.782000,39766.0,2.0,,,,,,,,,,
133,mysqlclient,PyMySQL/mysqlclient,MySQL database connector for Python (with Python 3 support).,,db-clients,https://github.com/PyMySQL/mysqlclient,https://github.com/PyMySQL/mysqlclient,GPL-2.0,2014-04-28 05:09:06.000000,2021-10-20 15:49:13.000000,2021-10-20 07:34:39.000000,347.0,14.0,261.0,1975.0,2021-01-01 13:12:02.000000,2.0.3,32.0,68.0,28,True,,conda-forge/mysqlclient,mysqlclient,5190.0,3333836.0,13536.0,,https://pypi.org/project/mysqlclient,2021-10-19 09:03:18.000000,13536.0,3330514.0,https://anaconda.org/conda-forge/mysqlclient,2021-01-04 18:11:27.841000,119859.0,3.0,,,,,,,,,,
134,python-dependency-injector,ets-labs/python-dependency-injector,Dependency injection framework for Python.,,utilities,https://github.com/ets-labs/python-dependency-injector,https://github.com/ets-labs/python-dependency-injector,BSD-3-Clause,2015-01-04 13:23:05.000000,2021-11-01 21:36:39.000000,2021-11-01 01:12:54.000000,112.0,44.0,315.0,1675.0,2021-11-01 02:31:45.000000,4.37.0,283.0,22.0,28,True,1946.0,,dependency-injector,,419932.0,673.0,663.0,https://pypi.org/project/dependency-injector,2021-11-01 02:31:45.000000,10.0,419932.0,,,,3.0,,,,,,,,,,
135,Ibis,ibis-project/ibis,"A pandas-like deferred expression system, with first-class SQL support.",,db-clients,https://github.com/ibis-project/ibis,https://github.com/ibis-project/ibis,Apache-2.0,2015-04-17 20:43:46.000000,2021-11-04 14:20:04.000000,2021-11-03 19:42:37.000000,291.0,601.0,1029.0,1615.0,2021-10-06 17:33:40.000000,2.0.0,25.0,84.0,28,True,1615.0,conda-forge/ibis-framework,ibis-framework,,168630.0,48.0,,https://pypi.org/project/ibis-framework,2021-10-06 17:33:40.000000,48.0,165512.0,https://anaconda.org/conda-forge/ibis-framework,2021-11-04 01:11:24.940000,208968.0,3.0,,,,,,,,,,
136,msgpack,msgpack/msgpack-python,MessagePack serializer implementation for Python msgpack.org[Python].,,serialization,https://github.com/msgpack/msgpack-python,https://github.com/msgpack/msgpack-python,Apache-2.0,2011-08-21 08:24:41.000000,2021-11-02 05:56:22.478000,2021-03-18 21:35:54.000000,192.0,7.0,231.0,1528.0,2020-12-18 08:40:31.000000,1.0.2,14.0,68.0,28,True,,conda-forge/msgpack-python,msgpack,874.0,85088.0,54752.0,52122.0,https://pypi.org/project/msgpack,2020-12-18 08:40:31.000000,2630.0,,https://anaconda.org/conda-forge/msgpack-python,2021-11-02 05:56:22.478000,5104180.0,3.0,,,,,,,,,,
137,emoji,carpedm20/emoji,emoji terminal output for Python.,,cli-helpers,https://github.com/carpedm20/emoji,https://github.com/carpedm20/emoji,BSD-3-Clause,2014-08-18 02:55:59.000000,2021-10-23 13:58:29.000000,2021-10-23 13:58:28.000000,234.0,12.0,95.0,1349.0,2021-10-13 12:24:46.000000,1.6.1,29.0,53.0,28,True,330.0,conda-forge/emoji,emoji,,499.0,30458.0,28502.0,https://pypi.org/project/emoji,2021-10-13 12:24:46.000000,1956.0,,https://anaconda.org/conda-forge/emoji,2021-10-13 15:55:36.412000,16467.0,2.0,,,,,,,,,,
138,redis-py-cluster,grokzen/redis-py-cluster,Python cluster client for the official redis cluster. Redis 3.0+.,,db-clients,https://github.com/Grokzen/redis-py-cluster,https://github.com/Grokzen/redis-py-cluster,MIT,2013-05-21 06:41:34.000000,2021-09-24 11:42:32.000000,2021-06-25 08:12:31.000000,294.0,28.0,243.0,1007.0,2021-05-30 09:23:19.000000,2.1.3,19.0,72.0,28,True,743.0,,redis-py-cluster,2817.0,1929678.0,1266.0,972.0,https://pypi.org/project/redis-py-cluster,2021-05-30 09:21:45.000000,294.0,1929645.0,,,,3.0,,,,,,,,,,
139,omegaconf,omry/omegaconf,Flexible Python configuration system. The last one you will ever need.,,configuration,https://github.com/omry/omegaconf,https://github.com/omry/omegaconf,BSD-3-Clause,2018-09-03 14:59:01.000000,2021-11-02 07:05:25.000000,2021-10-28 05:44:04.000000,55.0,44.0,357.0,916.0,2021-08-19 19:57:14.000000,2.1.1,130.0,22.0,28,True,895.0,conda-forge/omegaconf,omegaconf,,735004.0,2189.0,2181.0,https://pypi.org/project/omegaconf,2021-08-19 19:57:14.000000,8.0,716293.0,https://anaconda.org/conda-forge/omegaconf,2021-08-23 02:38:39.316000,411644.0,3.0,,,,,,,,,,
140,keyring,jaraco/keyring,Store and access your passwords safely.,,cryptography,https://github.com/jaraco/keyring,https://github.com/jaraco/keyring,MIT,2015-02-24 14:10:21.000000,2021-11-01 09:52:36.000000,2021-11-01 00:48:12.000000,107.0,32.0,384.0,747.0,2021-09-12 17:16:43.000000,23.2.1,167.0,98.0,28,True,,conda-forge/keyring,keyring,,10583868.0,5932.0,,https://pypi.org/project/keyring,2021-09-12 17:16:33.000000,5932.0,10564686.0,https://anaconda.org/conda-forge/keyring,2021-09-12 21:26:30.138000,1266021.0,3.0,,,,,,,,,,
141,pysolr,django-haystack/pysolr,Pysolr Python Solr client.,,db-clients,https://github.com/django-haystack/pysolr,https://github.com/django-haystack/pysolr,BSD-3-Clause,2009-07-01 17:54:08.000000,2021-11-02 15:19:32.000000,2021-11-02 15:19:31.000000,320.0,33.0,117.0,602.0,2020-04-17 20:27:24.000000,3.9.0,35.0,65.0,28,True,486.0,conda-forge/pysolr,pysolr,,123867.0,4923.0,2425.0,https://pypi.org/project/pysolr,2021-10-19 00:38:41.000000,2498.0,123572.0,https://anaconda.org/conda-forge/pysolr,2020-04-28 01:47:13.562000,16823.0,3.0,,,,,,,,,,
142,natsort,SethMMorton/natsort,Simple yet flexible natural sorting in Python.,,utilities,https://github.com/SethMMorton/natsort,https://github.com/SethMMorton/natsort,MIT,2012-05-03 02:58:47.000000,2021-11-03 17:00:07.372000,2021-11-03 14:30:30.000000,32.0,,71.0,575.0,2021-11-03 14:31:58.000000,8.0.0,52.0,18.0,28,True,913.0,conda-forge/natsort,natsort,,2116387.0,9754.0,8538.0,https://pypi.org/project/natsort,2021-11-03 14:31:58.000000,1216.0,2108131.0,https://anaconda.org/conda-forge/natsort,2021-11-03 17:00:07.372000,462381.0,3.0,,,,,,,,,,
143,rsa,sybrenstuvel/python-rsa,Python-RSA is a pure-Python RSA implementation.,,cryptography,https://github.com/sybrenstuvel/python-rsa,https://github.com/sybrenstuvel/python-rsa,Apache-2.0,2016-01-21 12:53:34.000000,2021-11-03 10:14:14.000000,2021-11-03 10:14:14.000000,69.0,17.0,84.0,345.0,2021-02-15 20:45:56.000000,4.7.1,33.0,33.0,28,True,,conda-forge/rsa,rsa,,91662627.0,12666.0,,https://pypi.org/project/rsa,2021-02-24 10:55:03.000000,12666.0,91590224.0,https://anaconda.org/conda-forge/rsa,2021-02-24 12:57:19.266000,4633852.0,3.0,,,,,,,,,,
144,configobj,DiffSK/configobj,Python 3+ compatible port of the configobj library.,,configuration,https://github.com/DiffSK/configobj,https://github.com/DiffSK/configobj,BSD-3-Clause,2014-01-14 02:30:17.000000,2021-02-26 23:52:05.000000,2020-10-14 22:37:57.000000,62.0,68.0,70.0,258.0,2016-08-26 14:28:03.000000,5.0.6,16.0,22.0,28,False,309.0,conda-forge/configobj,configobj,,1535251.0,22002.0,15828.0,https://pypi.org/project/configobj,2014-08-26 01:16:32.000000,6174.0,1527497.0,https://anaconda.org/conda-forge/configobj,2018-07-29 15:42:19.501000,310199.0,3.0,,,,,,,,,,
145,wcwidth,jquast/wcwidth,Python library that measures the width of unicode strings rendered to a terminal.,,cli-helpers,https://github.com/jquast/wcwidth,https://github.com/jquast/wcwidth,MIT,2014-04-05 09:57:11.000000,2021-09-28 20:21:46.000000,2021-09-28 20:21:42.000000,35.0,10.0,20.0,251.0,2020-06-23 16:10:28.000000,0.2.5,17.0,11.0,28,True,223.0,conda-forge/wcwidth,wcwidth,,110597.0,245503.0,220169.0,https://pypi.org/project/wcwidth,2020-06-23 16:10:28.000000,25334.0,,https://anaconda.org/conda-forge/wcwidth,2020-09-24 16:45:20.691000,7852412.0,2.0,,,,,,,,,,
146,pyasn1,etingof/pyasn1,Generic ASN.1 library for Python.,,serialization,https://github.com/etingof/pyasn1,https://github.com/etingof/pyasn1,BSD-2-Clause,2016-02-24 22:30:54.000000,2021-10-13 14:22:49.000000,2020-03-21 18:06:04.000000,83.0,43.0,63.0,191.0,2019-11-16 17:27:13.000000,0.4.8,34.0,16.0,28,False,970.0,conda-forge/pyasn1,pyasn1,,78731.0,183396.0,155102.0,https://pypi.org/project/pyasn1,2019-11-16 17:27:13.000000,28294.0,,https://anaconda.org/conda-forge/pyasn1,2019-11-17 02:42:05.143000,4960089.0,3.0,,,,,,,,,,
147,Send2Trash,arsenetar/send2trash,Python library to natively send files to Trash (or Recycle bin) on all platforms.,,others,https://github.com/arsenetar/send2trash,https://github.com/arsenetar/send2trash,BSD-3-Clause,2013-07-19 22:13:14.000000,2021-08-24 06:21:27.000000,2021-08-24 06:21:12.000000,31.0,18.0,25.0,183.0,2021-08-09 23:11:59.000000,1.8.0,14.0,13.0,28,True,149.0,conda-forge/send2trash,send2trash,,19285178.0,5040.0,,https://pypi.org/project/send2trash,2021-08-21 03:44:45.000000,5040.0,19202829.0,https://anaconda.org/conda-forge/send2trash,2021-08-09 12:16:59.375000,3788077.0,3.0,,,,,,,,,,
148,isodate,gweis/isodate,ISO 8601 date/time parser.,,date-time-utils,https://github.com/gweis/isodate,https://github.com/gweis/isodate,BSD-3-Clause,2012-10-29 23:32:06.000000,2021-10-05 13:05:17.000000,2018-08-02 23:45:26.000000,39.0,20.0,11.0,103.0,2017-10-13 09:25:14.000000,0.6.0,15.0,16.0,28,False,144.0,conda-forge/isodate,isodate,,36018841.0,19543.0,15889.0,https://pypi.org/project/isodate,2017-10-13 09:25:14.000000,3654.0,36000702.0,https://anaconda.org/conda-forge/isodate,2018-08-04 23:15:08.700000,1233471.0,3.0,,,,,,,,,,
149,algorithms,keon/algorithms,Minimal examples of data structures and algorithms in Python.,,algorithms,https://github.com/keon/algorithms,https://github.com/keon/algorithms,MIT,2016-11-17 22:32:08.000000,2021-10-28 07:47:10.000000,2021-09-03 00:01:28.000000,4059.0,167.0,93.0,19922.0,2020-10-04 14:44:02.000000,0.1.4,5.0,174.0,27,True,923.0,,algorithms,,1577.0,67.0,53.0,https://pypi.org/project/algorithms,2020-10-04 14:44:02.000000,14.0,1577.0,,,,3.0,,,,,,,,,,
150,fabric,fabric/fabric,"Simple, Pythonic remote execution and deployment.",,infrastructure,https://github.com/fabric/fabric,https://github.com/fabric/fabric,BSD-2-Clause,2009-05-01 01:14:24.000000,2021-10-15 23:28:57.000000,2021-10-15 23:27:06.000000,1847.0,426.0,1270.0,13101.0,2021-01-19 01:10:03.000000,2.6.0,120.0,133.0,27,True,1489.0,conda-forge/fabric,fabric,,682.0,292.0,,https://pypi.org/project/fabric,2021-01-19 01:10:03.000000,292.0,,https://anaconda.org/conda-forge/fabric,2021-03-09 07:34:25.129000,43022.0,3.0,,,,,,,,,,
151,snorkel,snorkel-team/snorkel,A system for quickly generating training data with weak supervision.,,data-loading,https://github.com/snorkel-team/snorkel,https://github.com/snorkel-team/snorkel,Apache-2.0,2016-02-26 05:52:45.000000,2021-10-22 07:37:49.000000,2021-10-13 22:40:49.000000,779.0,27.0,933.0,4898.0,2021-03-09 21:51:40.000000,0.9.7,19.0,71.0,27,True,2664.0,conda-forge/snorkel,snorkel,699.0,62371.0,129.0,121.0,https://pypi.org/project/snorkel,2021-03-09 21:39:08.000000,8.0,61538.0,https://anaconda.org/conda-forge/snorkel,2021-04-30 15:16:48.270000,23006.0,2.0,,,,,,,,,,
152,PDFMiner,euske/pdfminer,Python PDF Parser (Not actively maintained). Check out pdfminer.six.,,data-loading,https://github.com/euske/pdfminer,https://github.com/euske/pdfminer,MIT,2010-12-12 12:50:22.000000,2021-02-16 14:43:27.000000,2020-01-18 07:00:32.000000,1043.0,226.0,40.0,4680.0,,,24.0,28.0,27,False,540.0,conda-forge/pdfminer,pdfminer,,146572.0,4074.0,2608.0,https://pypi.org/project/pdfminer,2019-11-25 12:02:21.000000,1466.0,146261.0,https://anaconda.org/conda-forge/pdfminer,2021-02-15 15:07:18.804000,19598.0,2.0,,,,,,,,,,
153,Eel,ChrisKnott/Eel,A little Python library for making simple Electron-like HTML/JS GUI apps.,,gui-dev,https://github.com/ChrisKnott/Eel,https://github.com/ChrisKnott/Eel,MIT,2017-12-27 21:37:12.000000,2021-10-21 17:15:10.000000,2021-10-19 20:35:42.000000,463.0,137.0,302.0,4644.0,2020-08-17 18:18:21.000000,0.14.0,36.0,38.0,27,True,257.0,,eel,,45643.0,2778.0,2708.0,https://pypi.org/project/eel,2020-08-17 18:18:21.000000,70.0,45643.0,,,,2.0,,,,,,,,,,
154,Databases,encode/databases,Async database support for Python.,,db-clients,https://github.com/encode/databases,https://github.com/encode/databases,BSD-3-Clause,2019-02-01 10:55:25.000000,2021-11-03 08:54:03.000000,2021-10-26 07:40:38.000000,170.0,94.0,152.0,2517.0,2021-10-10 10:43:43.000000,0.5.3,34.0,38.0,27,True,291.0,conda-forge/databases,databases,,3629.0,3072.0,3012.0,https://pypi.org/project/databases,2021-10-10 10:43:43.000000,60.0,,https://anaconda.org/conda-forge/databases,2021-09-15 07:53:50.982000,119768.0,3.0,,,,,,,,,,
155,pandas-datareader,pydata/pandas-datareader,Extract data from a wide range of Internet sources into a pandas DataFrame.,,data-loading,https://github.com/pydata/pandas-datareader,https://github.com/pydata/pandas-datareader,BSD-3-Clause,2015-01-15 00:34:19.000000,2021-09-25 20:50:11.000000,2021-08-07 12:53:30.000000,540.0,89.0,391.0,2144.0,2021-07-13 12:38:57.000000,0.10.0,22.0,83.0,27,True,,conda-forge/pandas-datareader,pandas-datareader,,293240.0,1406.0,,https://pypi.org/project/pandas-datareader,2021-07-13 12:38:57.000000,1406.0,290514.0,https://anaconda.org/conda-forge/pandas-datareader,2021-07-14 09:19:08.289000,149946.0,2.0,,,,,,,,,,
156,addict,mewwts/addict,The Python Dict that's better than heroin.,,data-structures,https://github.com/mewwts/addict,https://github.com/mewwts/addict,MIT,2014-12-10 06:55:25.000000,2021-05-01 03:29:59.000000,2021-01-05 07:16:38.000000,126.0,10.0,63.0,2122.0,2020-11-21 16:21:29.000000,2.4.0,31.0,31.0,27,True,229.0,conda-forge/addict,addict,16.0,781811.0,2348.0,1978.0,https://pypi.org/project/addict,2020-11-21 16:21:29.000000,370.0,778331.0,https://anaconda.org/conda-forge/addict,2021-03-31 23:37:39.692000,222740.0,2.0,,,,,,,,,,
157,libcloud,apache/libcloud,Apache Libcloud is a Python library which hides differences between different cloud provider APIs and allows you to..,,db-clients,https://github.com/apache/libcloud,https://github.com/apache/libcloud,Apache-2.0,2009-12-11 09:00:14.000000,2021-11-04 11:19:33.000000,2021-11-03 17:31:19.000000,894.0,62.0,86.0,1798.0,2021-01-25 22:11:48.000000,3.3.1,63.0,428.0,27,True,,,apache-libcloud,,90212.0,3563.0,2021.0,https://pypi.org/project/apache-libcloud,2021-01-25 22:11:48.000000,1542.0,90212.0,,,,3.0,,,,,,,,,,
158,dill,uqfoundation/dill,serialize all of python.,,serialization,https://github.com/uqfoundation/dill,https://github.com/uqfoundation/dill,BSD-3-Clause,2013-06-28 16:42:27.000000,2021-10-29 20:32:35.000000,2021-10-29 20:32:50.000000,127.0,139.0,221.0,1511.0,2021-06-13 17:15:27.000000,dill-0.3.4,22.0,31.0,27,True,854.0,conda-forge/dill,dill,246123.0,23297.0,4968.0,,https://pypi.org/project/dill,2021-06-13 17:11:45.000000,4968.0,,https://anaconda.org/conda-forge/dill,2021-06-13 18:50:57.277000,1349428.0,3.0,,,,,,,,,,
159,pyscaffold,pyscaffold/pyscaffold,Python project template generator with batteries included.,,others,https://github.com/pyscaffold/pyscaffold,https://github.com/pyscaffold/pyscaffold,MIT,2014-04-02 07:01:57.000000,2021-11-03 12:31:45.000000,2021-11-03 12:29:12.000000,130.0,9.0,234.0,1252.0,2021-10-18 12:14:39.000000,4.1.1,168.0,43.0,27,True,2020.0,conda-forge/pyscaffold,pyscaffold,,152284.0,74.0,,https://pypi.org/project/pyscaffold,2021-10-18 12:14:39.000000,74.0,150377.0,https://anaconda.org/conda-forge/pyscaffold,2021-10-18 17:56:13.513000,127807.0,3.0,,,,,,,,,,
160,cachetools,tkem/cachetools,Extensible memoizing collections and decorators.,,caching,https://github.com/tkem/cachetools,https://github.com/tkem/cachetools,MIT,2014-03-22 10:15:14.000000,2021-11-03 12:30:53.000000,2021-10-11 17:57:41.000000,118.0,17.0,181.0,1109.0,2021-09-30 10:26:20.000000,4.2.4,39.0,7.0,27,True,225.0,conda-forge/cachetools,cachetools,,57515.0,4436.0,,https://pypi.org/project/cachetools,2021-09-30 10:26:20.000000,4436.0,,https://anaconda.org/conda-forge/cachetools,2021-09-30 14:11:39.848000,3508464.0,1.0,,,,,,,,,,
161,typing,python/typing,Python static typing home. Contains the source for typing_extensions and the documentation. Also hosts a user help..,,compatibility,https://github.com/python/typing,https://github.com/python/typing,Python-2.0,2014-09-29 16:54:42.000000,2021-11-03 00:56:31.000000,2021-11-02 20:57:31.000000,162.0,122.0,529.0,1050.0,2019-06-19 22:31:20.000000,3.7.4,16.0,69.0,27,True,581.0,conda-forge/typing,typing,,11272.0,8434.0,,https://pypi.org/project/typing,2021-05-01 18:03:55.000000,8434.0,,https://anaconda.org/conda-forge/typing,2021-05-01 20:36:02.905000,766509.0,2.0,,,,,,,,,,
162,sshtunnel,pahaz/sshtunnel,SSH tunnels to remote server.,,infrastructure,https://github.com/pahaz/sshtunnel,https://github.com/pahaz/sshtunnel,MIT,2014-06-11 21:14:05.000000,2021-10-20 13:48:58.000000,2021-01-11 13:12:20.000000,143.0,26.0,134.0,895.0,2021-01-11 13:28:44.000000,0.4.0,28.0,23.0,27,True,381.0,conda-forge/sshtunnel,sshtunnel,,1253703.0,3039.0,2777.0,https://pypi.org/project/sshtunnel,2021-01-11 13:26:29.000000,262.0,1252471.0,https://anaconda.org/conda-forge/sshtunnel,2020-11-16 08:46:37.270000,76444.0,3.0,,,,,,,,,,
163,cx-Oracle,oracle/python-cx_Oracle,Python interface to Oracle Database conforming to the Python DB API 2.0 specification.,,db-clients,https://github.com/oracle/python-cx_Oracle,https://github.com/oracle/python-cx_Oracle,BSD-3-Clause,2017-03-07 04:03:36.000000,2021-09-04 20:41:06.000000,2021-09-04 20:40:55.000000,297.0,38.0,532.0,772.0,2021-06-01 19:19:27.000000,8.2.1,34.0,17.0,27,True,,,cx-Oracle,,2601938.0,5393.0,5249.0,https://pypi.org/project/cx-Oracle,2021-06-01 19:19:27.000000,144.0,2601938.0,,,,3.0,,,3.0,,,,,,,
164,cached-property,pydanny/cached-property,A decorator for caching properties in classes.,,caching,https://github.com/pydanny/cached-property,https://github.com/pydanny/cached-property,BSD-3-Clause,2014-05-17 22:42:24.000000,2021-11-01 10:10:02.000000,2020-10-21 17:48:31.000000,65.0,35.0,24.0,615.0,2020-09-21 21:24:10.000000,1.5.2,17.0,23.0,27,False,219.0,conda-forge/cached-property,cached-property,,23855.0,22471.0,19777.0,https://pypi.org/project/cached-property,2020-09-21 18:39:25.000000,2694.0,,https://anaconda.org/conda-forge/cached-property,2021-03-08 13:20:13.927000,1335884.0,1.0,,,,,,,,,,
165,janus,aio-libs/janus,Thread-safe asyncio-aware queue for Python.,,data-structures,https://github.com/aio-libs/janus,https://github.com/aio-libs/janus,Apache-2.0,2015-06-08 15:45:28.000000,2021-11-04 04:23:19.000000,2021-11-04 04:23:18.000000,31.0,3.0,31.0,550.0,2021-10-24 11:15:47.000000,0.6.2,16.0,22.0,27,True,496.0,conda-forge/janus,janus,,178171.0,2784.0,2692.0,https://pypi.org/project/janus,2021-10-24 11:15:47.000000,92.0,177910.0,https://anaconda.org/conda-forge/janus,2021-10-27 16:34:21.625000,7587.0,2.0,,,,,,,,,,
166,filelock,benediktschmitt/py-filelock,A platform-independent file lock for Python.,,file-path-utils,https://github.com/tox-dev/py-filelock,https://github.com/tox-dev/py-filelock,Unlicense,2014-02-23 00:29:27.000000,2021-11-01 16:52:46.000000,2021-11-01 16:52:44.000000,60.0,15.0,49.0,348.0,2021-10-29 10:02:46.000000,3.3.2,36.0,18.0,27,True,,conda-forge/filelock,filelock,,29640886.0,3516.0,,https://pypi.org/project/filelock,2021-10-29 10:02:46.000000,3516.0,29569928.0,https://anaconda.org/conda-forge/filelock,2021-10-30 02:00:02.377000,4612287.0,3.0,tox-dev/py-filelock,,,,,,,,,
167,param,holoviz/param,Param: Make your Python code clearer and more reliable by declaring Parameters.,,data-validation,https://github.com/holoviz/param,https://github.com/holoviz/param,BSD-3-Clause,2012-05-01 11:51:08.000000,2021-10-29 09:09:11.000000,2021-10-29 09:09:11.000000,47.0,107.0,188.0,248.0,2021-10-21 21:42:56.000000,1.12.0,59.0,30.0,27,True,688.0,conda-forge/param,param,,294185.0,2621.0,2485.0,https://pypi.org/project/param,2021-10-21 12:14:22.000000,136.0,286869.0,https://anaconda.org/conda-forge/param,2021-10-21 16:37:46.866000,402407.0,3.0,,,,,,,,,,
168,contextlib2,jazzband/contextlib2,contextlib2 is a backport of the standard library's contextlib module to earlier Python versions.,,compatibility,https://github.com/jazzband/contextlib2,https://github.com/jazzband/contextlib2,psfrag,2016-02-23 08:51:49.209000,2021-10-22 15:46:45.000000,2021-10-22 15:46:45.000000,10.0,3.0,21.0,33.0,2021-06-27 06:37:57.000000,21.6.0,14.0,14.0,27,False,166.0,conda-forge/contextlib2,contextlib2,,10838543.0,46132.0,41172.0,https://pypi.org/project/contextlib2,2021-06-27 06:54:20.000000,4960.0,10825473.0,https://anaconda.org/conda-forge/contextlib2,2021-06-28 02:52:34.203000,901869.0,2.0,,,,,,,,,,
169,zipp,jaraco/zipp,Backport of pathlib-compatible object wrapper for zip files.,,file-path-utils,https://github.com/jaraco/zipp,https://github.com/jaraco/zipp,MIT,2018-11-15 21:24:48.000000,2021-10-08 01:50:27.000000,2021-10-08 01:50:23.000000,23.0,,47.0,22.0,2021-09-29 15:34:11.000000,3.6.0,32.0,13.0,27,False,,conda-forge/zipp,zipp,,68990129.0,5822.0,,https://pypi.org/project/zipp,2021-09-29 15:34:00.000000,5822.0,68728129.0,https://anaconda.org/conda-forge/zipp,2021-10-03 23:04:02.914000,8646009.0,3.0,,,,,,,,,,
170,Gooey,chriskiehl/Gooey,Turn (almost) any Python command line program into a full GUI application with one line.,,gui-dev,https://github.com/chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,MIT,2014-01-01 21:06:05.000000,2021-10-24 15:02:42.000000,2021-06-12 18:50:46.000000,773.0,88.0,410.0,14995.0,2021-06-12 18:51:56.000000,1.0.8.1,55.0,99.0,26,True,732.0,conda-forge/gooey,gooey,144.0,5341.0,508.0,444.0,https://pypi.org/project/gooey,2021-06-12 18:58:09.000000,64.0,4006.0,https://anaconda.org/conda-forge/gooey,2021-06-13 12:18:58.431000,39924.0,3.0,,,,,,,,,,
