,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,conda_dependent_project_count,trending,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
94,Dynaconf,rochacbruno/dynaconf,Configuration Management for Python.,,configuration,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22.000000,2021-10-27 13:34:39.000000,2021-10-26 09:03:22.000000,189.0,82.0,235.0,2005.0,2021-09-09 20:04:05.000000,3.1.7,76.0,75.0,30,True,571.0,conda-forge/dynaconf,dynaconf,,500416.0,1934.0,1842.0,https://pypi.org/project/dynaconf,2021-09-09 20:03:56.000000,92.0,500159.0,https://anaconda.org/conda-forge/dynaconf,2021-09-13 09:10:11.640000,3351.0,2.0,,,,,,,,,,
95,python-decouple,henriquebastos/python-decouple,Strict separation of config from code.,,configuration,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08.000000,2021-09-30 20:49:23.000000,2021-09-30 20:45:28.000000,144.0,8.0,65.0,1928.0,2021-09-30 20:51:47.000000,3.5,9.0,27.0,30,True,166.0,conda-forge/python-decouple,python-decouple,2.0,698373.0,56144.0,50120.0,https://pypi.org/project/python-decouple,2021-09-30 20:45:49.000000,6024.0,697750.0,https://anaconda.org/conda-forge/python-decouple,2021-01-05 16:16:35.790000,31181.0,2.0,,,,,,,,,,
96,PynamoDB,pynamodb/PynamoDB,A pythonic interface to Amazon's DynamoDB.,,db-clients,https://github.com/pynamodb/PynamoDB,https://github.com/pynamodb/PynamoDB,MIT,2014-01-20 02:18:35.000000,2021-11-03 15:38:26.000000,2021-10-27 14:56:44.000000,368.0,225.0,275.0,1758.0,2021-06-29 15:30:38.000000,5.1.0,75.0,90.0,30,True,754.0,conda-forge/pynamodb,pynamodb,,844147.0,1066.0,830.0,https://pypi.org/project/pynamodb,2021-06-29 15:31:33.000000,236.0,839338.0,https://anaconda.org/conda-forge/pynamodb,2021-06-29 17:57:04.759000,129864.0,2.0,,,,,,,,,,
97,influxdb,influxdata/influxdb-python,Python client for InfluxDB.,,db-clients,https://github.com/influxdata/influxdb-python,https://github.com/influxdata/influxdb-python,MIT,2013-11-05 19:27:16.000000,2021-10-09 02:15:02.000000,2021-09-09 00:50:11.000000,494.0,137.0,375.0,1545.0,2020-11-11 21:23:41.000000,5.3.1,54.0,137.0,30,True,969.0,conda-forge/influxdb,influxdb,,1580530.0,6962.0,4852.0,https://pypi.org/project/influxdb,2020-11-11 21:23:41.000000,2110.0,1579353.0,https://anaconda.org/conda-forge/influxdb,2020-11-12 02:29:15.949000,22378.0,2.0,,,,,,,,,,
98,humanize,jmoiron/humanize,python humanize functions.,,text,https://github.com/jmoiron/humanize,https://github.com/jmoiron/humanize,MIT,2011-10-07 23:44:01.000000,2021-11-03 10:52:30.000000,2021-11-03 10:52:30.000000,155.0,25.0,57.0,1478.0,2021-10-06 10:17:40.000000,3.12.0,32.0,60.0,30,True,463.0,conda-forge/humanize,humanize,,2358020.0,2904.0,,https://pypi.org/project/humanize,2021-10-06 10:16:45.000000,2904.0,2355039.0,https://anaconda.org/conda-forge/humanize,2021-10-06 14:00:01.710000,193768.0,2.0,,,,,,,,,,
99,PyPika,kayak/pypika,PyPika is a python SQL query builder that exposes the full richness of the SQL language using a syntax that reflects..,,db-clients,https://github.com/kayak/pypika,https://github.com/kayak/pypika,Apache-2.0,2016-07-06 14:08:50.000000,2021-11-01 10:18:59.000000,2021-09-03 12:01:30.000000,191.0,95.0,242.0,1449.0,2021-07-21 12:13:54.000000,0.48.8,212.0,89.0,30,True,1016.0,,pypika,,738485.0,922.0,884.0,https://pypi.org/project/pypika,2021-07-21 12:13:54.000000,38.0,738485.0,,,,2.0,,,,,,,,,,
100,python-slugify,un33k/python-slugify,Returns unicode slugs.,,text,https://github.com/un33k/python-slugify,https://github.com/un33k/python-slugify,MIT,2012-10-15 01:44:50.000000,2021-05-25 18:11:56.000000,2021-05-12 17:25:01.000000,85.0,2.0,49.0,1121.0,2021-05-05 23:39:30.000000,5.0.2,37.0,30.0,30,True,214.0,conda-forge/python-slugify,python-slugify,,4536548.0,25746.0,21422.0,https://pypi.org/project/python-slugify,2021-05-05 23:39:30.000000,4324.0,4527422.0,https://anaconda.org/conda-forge/python-slugify,2021-05-06 02:25:34.618000,565867.0,2.0,,,,,,,,,,
101,py4j,bartdag/py4j,Py4J enables Python programs to dynamically access arbitrary Java objects.,,others,https://github.com/bartdag/py4j,https://github.com/bartdag/py4j,BSD-3-Clause,2010-11-02 20:58:18.000000,2021-10-27 10:43:33.000000,2021-10-24 12:06:16.000000,157.0,131.0,245.0,889.0,2020-01-25 14:40:31.000000,0.10.9,26.0,31.0,30,True,751.0,conda-forge/py4j,py4j,,16809346.0,8765.0,7683.0,https://pypi.org/project/py4j,2020-09-07 15:43:56.000000,1082.0,16791404.0,https://anaconda.org/conda-forge/py4j,2021-10-18 08:52:08.866000,1130399.0,2.0,,,,,,,,,,
102,pluggy,pytest-dev/pluggy,A minimalist production ready plugin system.,,others,https://github.com/pytest-dev/pluggy,https://github.com/pytest-dev/pluggy,MIT,2015-04-28 15:32:26.000000,2021-11-02 06:17:54.658000,2021-10-29 12:25:23.000000,100.0,42.0,101.0,690.0,2021-08-25 16:25:59.000000,1.0.0,18.0,39.0,30,True,,conda-forge/pluggy,pluggy,,31338400.0,18818.0,,https://pypi.org/project/pluggy,2021-08-25 16:25:59.000000,18818.0,31195219.0,https://anaconda.org/conda-forge/pluggy,2021-11-02 06:17:54.658000,7874998.0,2.0,,,,,,,,,,
103,paramiko,paramiko/paramiko,The leading native Python SSHv2 protocol library.,,infrastructure,https://github.com/paramiko/paramiko,https://github.com/paramiko/paramiko,LGPL-2.1,2009-02-02 03:41:08.000000,2021-10-30 19:10:58.000000,2021-10-15 23:30:22.000000,1736.0,891.0,599.0,7292.0,2021-10-09 21:45:55.000000,2.8.0,122.0,160.0,29,True,,conda-forge/paramiko,paramiko,,21491.0,71614.0,48814.0,https://pypi.org/project/paramiko,2021-10-09 21:45:55.000000,22800.0,,https://anaconda.org/conda-forge/paramiko,2021-10-13 12:54:20.800000,1332442.0,3.0,,,,,,,,,,
104,marshmallow,marshmallow-code/marshmallow,A lightweight library for converting complex objects to and from simple Python datatypes.,,serialization,https://github.com/marshmallow-code/marshmallow,https://github.com/marshmallow-code/marshmallow,MIT,2013-11-10 21:32:24.000000,2021-11-03 12:44:02.000000,2021-10-29 13:34:07.000000,582.0,123.0,967.0,5791.0,2021-10-17 18:36:51.000000,3.14.0,162.0,192.0,29,True,,conda-forge/marshmallow,marshmallow,,13545.0,53074.0,34892.0,https://pypi.org/project/marshmallow,2021-10-17 18:36:51.000000,18182.0,,https://anaconda.org/conda-forge/marshmallow,2021-10-19 03:12:48.477000,839846.0,2.0,,,,,,,,,,
105,csvkit,wireservice/csvkit,"A suite of utilities for converting to and working with CSV, the king of tabular file formats.",,data-loading,https://github.com/wireservice/csvkit,https://github.com/wireservice/csvkit,MIT,2011-04-01 03:00:30.000000,2021-10-08 18:06:14.000000,2021-10-08 18:06:12.000000,558.0,64.0,774.0,4759.0,2021-07-13 21:14:14.000000,1.0.6,34.0,100.0,29,True,1767.0,conda-forge/csvkit,csvkit,,46672.0,1652.0,950.0,https://pypi.org/project/csvkit,2021-07-13 21:14:14.000000,702.0,45667.0,https://anaconda.org/conda-forge/csvkit,2021-07-13 23:18:29.990000,56322.0,2.0,,,,,,,,,,
