,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
153,tenacity,jd/tenacity,Retrying library for Python.,,utilities,https://github.com/jd/tenacity,https://github.com/jd/tenacity,Apache-2.0,2016-08-11 12:44:02.000,2022-01-30 10:17:02.000,2022-01-26 09:22:57,441.0,4.0,191,44.0,155.0,126.0,3595,2021-07-12 09:36:20.000,8.0.1,46.0,68.0,60.0,30,True,tenacity,conda-forge/tenacity,,,20980908.0,737.0,,https://pypi.org/project/tenacity,2021-07-12 09:36:20.000,737.0,20951360.0,https://anaconda.org/conda-forge/tenacity,2021-07-12 11:46:30.889,1684270.0,,,,,2.0,,,,,,,,,,
154,funcy,Suor/funcy,A fancy and practical functional tools.,,utilities,https://github.com/Suor/funcy,https://github.com/Suor/funcy,BSD-3-Clause,2012-10-13 00:44:57.000,2021-12-21 14:09:40.657,2021-12-20 05:32:41,954.0,3.0,120,74.0,47.0,62.0,2743,2018-06-30 04:16:20.000,1.10.3,49.0,29.0,5.0,30,True,funcy,conda-forge/funcy,,,897456.0,4910.0,4331.0,https://pypi.org/project/funcy,2021-12-20 05:36:31.000,579.0,894630.0,https://anaconda.org/conda-forge/funcy,2021-12-21 14:09:40.657,172439.0,,,,,2.0,,,,,,,,,,
155,tortoise-orm,tortoise/tortoise-orm,"Familiar asyncio ORM for python, built with relations in mind.",,db-clients,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10.000,2022-02-16 07:17:37.000,2022-01-12 04:42:56,1057.0,15.0,239,39.0,370.0,402.0,2674,2022-01-10 12:58:01.000,0.18.1,145.0,93.0,296.0,30,True,tortoise-orm,conda-forge/tortoise-orm,,9.0,60212.0,47.0,,https://pypi.org/project/tortoise-orm,2022-01-10 12:58:01.000,47.0,59989.0,https://anaconda.org/conda-forge/tortoise-orm,2022-01-10 16:58:48.637,1788.0,,,,,3.0,,,,,,,,,,
156,schematics,schematics/schematics,Python Data Structures for Humans.,,data-validation,https://github.com/schematics/schematics,https://github.com/schematics/schematics,BSD-3-Clause,2010-12-27 02:25:29.000,2021-08-23 19:39:00.000,2021-08-17 21:08:10,1420.0,,296,62.0,302.0,236.0,2469,2021-08-17 21:16:54.000,2.1.1,24.0,119.0,107.0,30,True,schematics,conda-forge/schematics,,,175949.0,1449.0,1070.0,https://pypi.org/project/schematics,2021-08-17 21:16:54.000,379.0,175204.0,https://anaconda.org/conda-forge/schematics,2019-07-17 17:13:38.920,23108.0,,,,,2.0,,,,,,,,,,
157,python-sortedcontainers,grantjenks/python-sortedcontainers,"Python Sorted Container Types: Sorted List, Sorted Dict, and Sorted Set.",,data-structures,https://github.com/grantjenks/python-sortedcontainers,https://github.com/grantjenks/python-sortedcontainers,Apache-2.0,2014-02-24 17:44:20.000,2021-12-24 06:08:52.000,2021-10-13 05:29:22,613.0,,157,34.0,42.0,126.0,2430,2021-05-16 22:03:41.000,2.4.0,40.0,20.0,20.0,30,True,sortedcontainers,conda-forge/sortedcontainers,,,13462554.0,1971.0,,https://pypi.org/project/sortedcontainers,2021-05-16 22:03:41.000,1971.0,13383585.0,https://anaconda.org/conda-forge/sortedcontainers,2021-05-17 02:06:34.364,5290953.0,,,,,2.0,,,,,,,,,,
158,smart-open,RaRe-Technologies/smart_open,"Utils for streaming large files (S3, HDFS, gzip, bz2...).",,data-loading,https://github.com/RaRe-Technologies/smart_open,https://github.com/RaRe-Technologies/smart_open,MIT,2015-01-02 13:05:52.000,2022-02-07 11:40:07.000,2021-12-02 04:55:04,962.0,1.0,299,48.0,332.0,272.0,2365,2021-08-28 11:06:50.000,5.2.1,51.0,89.0,66.0,30,True,smart-open,conda-forge/smart_open,,,9791927.0,438.0,,https://pypi.org/project/smart-open,2021-08-28 11:06:50.000,438.0,9779842.0,https://anaconda.org/conda-forge/smart_open,2021-08-29 12:02:06.856,773463.0,,,,,2.0,,,,,,,,,,
159,returns,dry-python/returns,"Make your functions return something meaningful, typed, and safe!.",,utilities,https://github.com/dry-python/returns,https://github.com/dry-python/returns,BSD-2-Clause,2019-01-26 13:08:38.000,2022-02-14 17:12:42.000,2022-02-14 17:12:41,1403.0,131.0,88,35.0,910.0,324.0,2120,2021-12-31 16:50:08.000,0.18.0,20.0,39.0,54.0,30,True,returns,conda-forge/returns,,,28251.0,159.0,135.0,https://pypi.org/project/returns,2021-12-31 16:50:46.000,24.0,28171.0,https://anaconda.org/conda-forge/returns,2021-12-31 20:30:19.270,723.0,,,,,2.0,,,,,,,,,,
160,dill,uqfoundation/dill,serialize all of python.,,serialization,https://github.com/uqfoundation/dill,https://github.com/uqfoundation/dill,BSD-3-Clause,2013-06-28 16:42:27.000,2022-01-29 20:16:01.000,2022-01-29 20:15:54,861.0,7.0,133,22.0,84.0,230.0,1585,2021-06-13 17:15:27.000,dill-0.3.4,22.0,32.0,150.0,30,True,dill,conda-forge/dill,,252842.0,12251114.0,3304.0,,https://pypi.org/project/dill,2021-06-13 17:11:45.000,3304.0,12225605.0,https://anaconda.org/conda-forge/dill,2021-11-12 17:58:55.990,1562752.0,,,,,3.0,,,,,,,,,,
161,pyinfra,Fizzadar/pyinfra,"pyinfra automates infrastructure super fast at massive scale. It can be used for ad-hoc command execution, service..",,infrastructure,https://github.com/Fizzadar/pyinfra,https://github.com/Fizzadar/pyinfra,MIT,2014-10-19 19:37:45.000,2022-02-17 08:44:37.000,2022-02-17 08:43:40,3407.0,18.0,263,30.0,219.0,433.0,1443,2022-01-08 18:25:57.000,1.6.1,184.0,62.0,99.0,30,True,pyinfra,,,,12776.0,50.0,41.0,https://pypi.org/project/pyinfra,2021-08-31 13:50:58.000,9.0,12776.0,,,,,,,,3.0,,,,,,,,,,
162,python-slugify,un33k/python-slugify,Returns unicode slugs.,,text,https://github.com/un33k/python-slugify,https://github.com/un33k/python-slugify,MIT,2012-10-15 01:44:50.000,2022-02-17 04:01:43.395,2022-02-16 22:46:24,216.0,2.0,90,32.0,57.0,50.0,1174,2022-02-16 22:48:08.000,6.0.1,39.0,29.0,2.0,30,True,python-slugify,conda-forge/python-slugify,,,4754152.0,2639.0,,https://pypi.org/project/python-slugify,2022-02-16 22:48:08.000,2639.0,4743766.0,https://anaconda.org/conda-forge/python-slugify,2022-02-17 04:01:43.395,675099.0,,,,,2.0,,,,,,,,,,
