,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,labels
216,Queries,gmr/queries,PostgreSQL database access simplified.,,db-clients,https://github.com/gmr/queries,https://github.com/gmr/queries,BSD-3-Clause,2012-08-24 16:12:55.000,2020-11-04 14:26:15.000,2020-08-07 16:32:54.000,27,3.0,13.0,231,2020-03-09 17:40:07.000,2.1.0,29.0,11,19,True,,queries,334.0,,684.0,137.0,87.0,https://pypi.org/project/queries,2020-03-09 17:40:07.000,50.0,684.0,,,,3.0,,,
217,stopit,glenfant/stopit,"Raise asynchronous exceptions in other thread, control the timeout of blocks or callables with a context manager or a..",,async,https://github.com/glenfant/stopit,https://github.com/glenfant/stopit,MIT,2014-02-09 15:40:01.000,2020-03-03 16:20:26.000,2019-08-27 15:33:26.000,14,2.0,13.0,83,2018-02-09 00:32:14.000,1.1.2,4.0,6,19,False,conda-forge/stopit,stopit,32.0,,59106.0,751.0,597.0,https://pypi.org/project/stopit,2018-02-09 00:32:14.000,154.0,57464.0,https://anaconda.org/conda-forge/stopit,2018-02-10 00:46:14.882,60765.0,3.0,,,
218,PyPattyrn,tylerlaberge/PyPattyrn,A simple library for implementing common design patterns.,,algorithms,https://github.com/tylerlaberge/PyPattyrn,https://github.com/tylerlaberge/PyPattyrn,MIT,2016-07-17 22:09:31.000,2020-02-09 19:26:02.000,2020-02-09 19:26:00.000,104,,40.0,1168,2016-09-11 02:13:18.000,1.2,3.0,4,18,True,,pypattyrn,103.0,,1288.0,12.0,12.0,https://pypi.org/project/pypattyrn,2016-09-11 02:18:42.000,0.0,1288.0,,,,3.0,,,
219,PugSQL,mcfunley/pugsql,A HugSQL-inspired database library for Python.,,db-clients,https://github.com/mcfunley/pugsql,https://github.com/mcfunley/pugsql,Apache-2.0,2019-05-19 16:55:38.000,2020-12-15 20:56:53.000,2020-09-13 06:06:13.000,13,14.0,19.0,418,2020-09-13 05:35:42.000,0.2.2,24.0,10,18,True,,pugsql,254.0,,1342.0,1.0,,https://pypi.org/project/pugsql,2020-09-13 06:06:09.000,1.0,1342.0,,,,3.0,,,
220,valideer,podio/valideer,Lightweight data validation and adaptation Python library.,,data-validation,https://github.com/podio/valideer,https://github.com/podio/valideer,MIT,2012-07-25 12:33:39.000,2020-03-08 21:45:00.000,2018-03-07 14:51:59.000,17,3.0,11.0,245,2015-12-20 08:56:50.000,0.4.2,8.0,7,18,False,conda-forge/valideer,valideer,89.0,,5719.0,68.0,38.0,https://pypi.org/project/valideer,2015-12-20 08:56:50.000,30.0,5469.0,https://anaconda.org/conda-forge/valideer,2018-07-06 17:55:22.261,14531.0,3.0,,,
221,validr,guyskk/validr,"A simple, fast, extensible python library for data validation.",,data-validation,https://github.com/guyskk/validr,https://github.com/guyskk/validr,MIT,2015-09-05 05:47:04.000,2021-02-13 13:07:05.000,2021-02-13 13:06:48.000,11,1.0,20.0,204,2020-04-05 05:54:29.000,1.2.0,22.0,7,18,True,,validr,363.0,,3978.0,4.0,,https://pypi.org/project/validr,2021-02-03 13:35:07.000,4.0,3978.0,,,,3.0,,,
222,ODMantic,art049/odmantic,Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,db-clients,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45.000,2021-02-25 04:24:45.000,2021-02-13 14:35:46.000,12,34.0,27.0,214,2021-02-13 14:35:13.000,0.3.3,8.0,9,17,True,,odmantic,271.0,,814.0,,,https://pypi.org/project/odmantic,2021-02-13 14:35:13.000,,814.0,,,,3.0,,,
223,importlib-resources,python/importlib_resources,Read resources from Python packages.,,inspect,https://github.com/python/importlib_resources,https://github.com/python/importlib_resources,Apache-2.0,2020-10-21 21:02:58.000,2021-01-19 03:22:36.000,2021-01-19 03:18:42.000,5,6.0,192.0,7,2021-01-19 03:22:40.000,5.1.0,31.0,14,17,False,,importlib-resources,,,3435274.0,0.0,,https://pypi.org/project/importlib-resources,2021-01-19 03:22:36.000,0.0,3435274.0,,,,3.0,,,
224,grumpy,google/grumpy,Grumpy is a Python to Go source code transcompiler and runtime.,,python-implementations,https://github.com/google/grumpy,https://github.com/google/grumpy,Apache-2.0,2016-12-21 17:49:01.000,2020-03-27 17:26:46.000,2017-11-22 02:08:58.000,632,80.0,77.0,10265,,,,30,16,False,,,331.0,,,,,,,,,,,,2.0,,,
225,pyston,pyston/pyston,"A faster and highly-compatible implementation of the Python programming language. The code here is out of date, please..",,python-implementations,https://github.com/pyston/pyston,https://github.com/pyston/pyston,Apache-2.0,2014-04-01 07:17:20.000,2021-01-22 19:07:16.000,2020-10-28 21:00:53.000,310,36.0,265.0,4961,2021-01-22 19:07:16.000,2.1,9.0,42,16,True,,,2.0,4628.0,60.0,,,,,,,,,,2.0,,,
226,lazydata,rstojnic/lazydata,Lazydata: Scalable data dependencies for Python projects.,,db-clients,https://github.com/rstojnic/lazydata,https://github.com/rstojnic/lazydata,Apache-2.0,2018-08-21 12:44:27.000,2019-02-13 18:15:09.000,2018-10-12 11:40:26.000,24,7.0,6.0,625,2018-09-18 21:25:30.000,1.0.19,19.0,6,16,False,,lazydata,216.0,,15.0,10.0,8.0,https://pypi.org/project/lazydata,2018-09-18 21:25:30.000,2.0,15.0,,,,3.0,,,
227,colout,nojhan/colout,Color text streams with a polished command line interface.,,cli-helpers,https://github.com/nojhan/colout,https://github.com/nojhan/colout,GPL-3.0,2012-03-31 10:39:00.000,2020-08-13 16:59:05.000,2020-08-02 07:43:02.000,55,11.0,56.0,1038,2020-06-21 20:04:58.000,0.12.1,6.0,29,15,True,,colout,247.0,,43.0,1.0,1.0,https://pypi.org/project/colout,2020-06-21 20:04:58.000,,43.0,,,,3.0,,,
228,stackless,stackless-dev/stackless,The Stackless Python programming language.,,python-implementations,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10.000,2020-01-22 20:30:14.000,2019-09-05 17:28:36.000,46,10.0,206.0,689,,,,541,15,False,,,100294.0,,,,,,,,,,,,3.0,,,
229,wssh,aluzzardi/wssh,SSH to WebSockets Bridge.,,infrastructure,https://github.com/aluzzardi/wssh,https://github.com/aluzzardi/wssh,MIT,2012-07-24 05:26:41.000,2019-02-12 13:08:18.000,2016-10-11 00:37:04.000,260,22.0,5.0,1290,,,,9,14,False,,,34.0,,,7.0,7.0,,,,,,,,3.0,,,
230,SuperSQLite,plasticityai/supersqlite,A supercharged SQLite library for Python.,,db-clients,https://github.com/plasticityai/supersqlite,https://github.com/plasticityai/supersqlite,MIT,2018-11-09 08:20:26.000,2020-05-09 09:06:06.000,2019-08-27 13:16:09.000,19,4.0,1.0,658,2018-11-22 02:36:13.000,0.0.78,57.0,2,14,False,,supersqlite,221.0,,140.0,3.0,3.0,https://pypi.org/project/supersqlite,2018-11-22 02:36:46.000,0.0,140.0,,,,3.0,,-1.0,
231,typical,seandstewart/typical,"Typical: Fast, simple, & correct data-validation using Python 3 typing.",,data-validation,https://github.com/seandstewart/typical,https://github.com/seandstewart/typical,MIT,2019-03-15 01:24:36.000,2021-02-25 02:43:44.000,2021-02-25 02:43:40.000,5,13.0,62.0,110,2021-02-10 13:45:37.000,2.1.1,85.0,4,14,True,,typical,,,574.0,2.0,,https://pypi.org/project/typical,2021-02-10 13:45:37.000,2.0,574.0,,,,3.0,,,
232,cl-python,metawilm/cl-python,An implementation of Python in Common Lisp.,,python-implementations,https://github.com/metawilm/cl-python,https://github.com/metawilm/cl-python,,2009-05-14 18:00:17.000,2020-04-15 08:28:06.000,2020-04-15 08:28:04.000,31,3.0,13.0,314,,,,12,11,False,,,1489.0,,,,,,,,,,,,3.0,,,
