,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,labels
22,chardet,chardet/chardet,Python character encoding detector.,,text,https://github.com/chardet/chardet,https://github.com/chardet/chardet,LGPL-2.1,2012-07-26 20:30:54.000,2021-01-20 14:58:22.000,2020-12-16 17:20:22.000,193,56.0,58.0,1447,2020-12-10 19:35:32.000,4.0.0,12.0,37,35,True,conda-forge/chardet,chardet,334.0,,56201789.0,523030.0,450316.0,https://pypi.org/project/chardet,2020-12-10 19:35:32.000,72714.0,56014844.0,https://anaconda.org/conda-forge/chardet,2021-01-08 08:22:32.887,8973405.0,1.0,,,
23,Pygments,pygments/pygments,Pygments is a generic syntax highlighter written in Python.,,others,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2016-04-12 07:50:11.354,2021-02-23 22:23:33.000,2021-02-23 19:10:16.000,718,339.0,1117.0,520,2021-02-14 14:14:09.000,2.8.0,48.0,601,35,True,conda-forge/pygments,pygments,5503.0,,11872905.0,267472.0,199706.0,https://pypi.org/project/pygments,2021-02-14 14:13:44.000,67766.0,11775105.0,https://anaconda.org/conda-forge/pygments,2021-02-15 18:03:59.663,5672427.0,1.0,,,
24,ansible,ansible/ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and..,,infrastructure,https://github.com/ansible/ansible,https://github.com/ansible/ansible,GPL-3.0,2012-03-06 14:58:02.000,2021-02-25 14:16:40.000,2021-02-24 23:52:24.000,20280,1878.0,27539.0,47016,2021-02-18 15:53:27.000,3.0.0,236.0,6351,34,True,conda-forge/ansible,ansible,,,2981112.0,23492.0,15838.0,https://pypi.org/project/ansible,2021-02-18 15:53:27.000,7654.0,2974929.0,https://anaconda.org/conda-forge/ansible,2021-02-18 18:54:16.693,259712.0,2.0,,,
25,kivy,kivy/kivy,"Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOS.",,gui-dev,https://github.com/kivy/kivy,https://github.com/kivy/kivy,MIT,2010-11-03 20:27:32.000,2021-02-24 22:03:11.000,2021-02-24 22:03:11.000,2581,827.0,3465.0,12730,2020-12-10 00:57:59.000,2.0.0,35.0,534,34,True,conda-forge/kivy,kivy,12409.0,22346.0,29117.0,4868.0,3994.0,https://pypi.org/project/kivy,2020-12-09 21:40:18.000,874.0,23850.0,https://anaconda.org/conda-forge/kivy,2020-12-21 18:44:17.351,154180.0,1.0,,,
26,peewee,coleifer/peewee,"a small, expressive orm -- supports postgresql, mysql and sqlite.",,db-clients,https://github.com/coleifer/peewee,https://github.com/coleifer/peewee,MIT,2010-10-11 20:14:11.000,2021-02-23 15:57:46.000,2021-02-23 15:57:31.000,1264,1.0,1945.0,8188,2021-02-07 22:52:56.000,3.14.1,166.0,144,34,True,conda-forge/peewee,peewee,4292.0,,169776.0,18627.0,12163.0,https://pypi.org/project/peewee,2021-02-07 22:52:35.000,6464.0,164642.0,https://anaconda.org/conda-forge/peewee,2021-02-08 03:19:18.582,282375.0,2.0,,,
27,paramiko,paramiko/paramiko,The leading native Python SSHv2 protocol library.,,infrastructure,https://github.com/paramiko/paramiko,https://github.com/paramiko/paramiko,LGPL-2.1,2009-02-02 03:41:08.000,2021-02-12 23:19:57.000,2021-02-12 20:08:03.000,1631,823.0,580.0,6801,2020-08-30 19:56:22.000,2.7.2,121.0,157,34,True,conda-forge/paramiko,paramiko,3501.0,,7077663.0,61288.0,38488.0,https://pypi.org/project/paramiko,2020-08-30 19:56:22.000,22800.0,7063217.0,https://anaconda.org/conda-forge/paramiko,2020-09-01 19:24:01.679,765679.0,2.0,,,
28,arrow,arrow-py/arrow,Better dates & times for Python.,,date-time-utils,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27.000,2021-02-25 10:58:42.000,2021-02-25 10:58:42.000,543,47.0,353.0,6478,2020-10-06 20:47:04.000,0.17.0,53.0,233,34,True,conda-forge/arrow,arrow,1257.0,,1443176.0,25393.0,17971.0,https://pypi.org/project/arrow,2020-10-06 20:45:02.000,7422.0,1434773.0,https://anaconda.org/conda-forge/arrow,2021-01-12 20:46:01.093,479004.0,2.0,,,
29,kafka-python,dpkp/kafka-python,Python client for Apache Kafka.,,db-clients,https://github.com/dpkp/kafka-python,https://github.com/dpkp/kafka-python,Apache-2.0,2012-09-24 13:00:26.000,2021-02-22 05:44:43.000,2021-02-22 05:44:42.000,1129,168.0,1148.0,4239,2020-09-30 07:33:37.000,2.0.1,36.0,205,34,True,conda-forge/kafka-python,kafka-python,2154.0,1668.0,1525972.0,8043.0,6023.0,https://pypi.org/project/kafka-python,2020-09-30 07:24:01.000,2020.0,1520708.0,https://anaconda.org/conda-forge/kafka-python,2020-09-30 13:01:38.284,235965.0,2.0,,,
30,python-bigquery,googleapis/python-bigquery,Google BigQuery API client library.,,db-clients,https://github.com/googleapis/python-bigquery,https://github.com/googleapis/python-bigquery,Apache-2.0,2019-12-10 00:09:04.000,2021-02-24 15:26:50.000,2021-02-24 15:26:00.000,1344,48.0,189.0,3482,2021-02-18 17:24:36.000,2.9.0,78.0,90,34,True,,google-cloud-bigquery,1115.0,,4872161.0,8018.0,6768.0,https://pypi.org/project/google-cloud-bigquery,2021-02-18 17:24:36.000,1250.0,4872161.0,,,,2.0,,,
31,MongoEngine,MongoEngine/mongoengine,A Python Object-Document-Mapper for working with MongoDB.,,db-clients,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20.000,2021-02-25 05:57:33.000,2021-02-24 10:55:46.000,1119,338.0,1180.0,3406,2020-12-16 22:13:11.000,0.22.1,64.0,360,34,True,conda-forge/mongoengine,mongoengine,3815.0,,356528.0,19151.0,12439.0,https://pypi.org/project/mongoengine,2020-12-16 22:13:11.000,6712.0,354529.0,https://anaconda.org/conda-forge/mongoengine,2020-12-17 17:41:13.762,107975.0,2.0,,,
32,colorama,tartley/colorama,Simple cross-platform colored terminal text in Python.,,cli-helpers,https://github.com/tartley/colorama,https://github.com/tartley/colorama,BSD-3-Clause,2014-04-17 20:18:25.000,2021-02-13 23:19:49.000,2021-02-11 09:11:45.000,177,114.0,101.0,2382,2020-10-13 02:42:26.000,0.4.4,42.0,40,34,True,conda-forge/colorama,colorama,288.0,,22567423.0,198070.0,166454.0,https://pypi.org/project/colorama,2020-10-13 02:42:26.000,31616.0,22516045.0,https://anaconda.org/conda-forge/colorama,2020-10-16 16:43:32.974,2979979.0,2.0,,,
33,pexpect,pexpect/pexpect,A Python module for controlling interactive programs in a pseudo-terminal.,,process-utils,https://github.com/pexpect/pexpect,https://github.com/pexpect/pexpect,ISC,2013-09-17 17:36:44.000,2021-01-13 10:33:10.000,2020-05-16 18:24:44.000,423,164.0,256.0,1977,2020-01-21 16:37:03.000,4.8.0,17.0,91,34,True,conda-forge/pexpect,pexpect,1549.0,3934.0,8502111.0,151983.0,121281.0,https://pypi.org/project/pexpect,2020-01-21 16:37:03.000,30702.0,8430040.0,https://anaconda.org/conda-forge/pexpect,2020-10-12 20:49:05.189,4177582.0,1.0,,,
34,more-itertools,more-itertools/more-itertools,"More routines for operating on iterables, beyond itertools.",,utilities,https://github.com/more-itertools/more-itertools,https://github.com/more-itertools/more-itertools,MIT,2012-04-26 05:15:14.000,2021-02-09 12:06:58.000,2021-02-09 12:06:58.000,156,8.0,143.0,1800,2021-02-08 01:54:28.000,8.7.0,33.0,67,34,True,conda-forge/more-itertools,more-itertools,1085.0,2024.0,5344038.0,112155.0,97247.0,https://pypi.org/project/more-itertools,2021-02-08 01:53:03.000,14908.0,5238126.0,https://anaconda.org/conda-forge/more-itertools,2021-02-08 03:58:59.523,4870109.0,1.0,,,
35,pycryptodomex,Legrandin/pycryptodome,A self-contained cryptographic library for Python.,,cryptography,https://github.com/Legrandin/pycryptodome,https://github.com/Legrandin/pycryptodome,BSD-3-Clause,2014-05-02 15:11:38.000,2021-02-21 12:40:48.000,2021-02-20 21:43:19.000,275,50.0,348.0,1496,2021-02-09 14:08:03.000,3.10.1,35.0,104,34,True,conda-forge/pycryptodomex,pycryptodomex,2538.0,,3305352.0,24453.0,22911.0,https://pypi.org/project/pycryptodomex,2021-02-09 14:08:03.000,1542.0,3296804.0,https://anaconda.org/conda-forge/pycryptodomex,2021-02-10 15:35:54.116,324851.0,1.0,,1.0,
36,future,PythonCharmers/python-future,"Easy, clean, reliable Python 2/3 compatibility.",,compatibility,https://github.com/PythonCharmers/python-future,https://github.com/PythonCharmers/python-future,MIT,2013-07-14 13:57:47.000,2021-01-20 19:36:37.000,2020-11-27 05:54:10.000,257,186.0,194.0,1120,2020-06-13 02:43:44.000,0.18.2,50.0,104,34,True,conda-forge/future,future,1831.0,,13013778.0,156123.0,127755.0,https://pypi.org/project/future,2019-10-31 00:58:13.000,28368.0,12956173.0,https://anaconda.org/conda-forge/future,2021-01-08 23:20:36.090,3168323.0,1.0,,,
37,six,benjaminp/six,Python 2 and 3 compatibility library.,,compatibility,https://github.com/benjaminp/six,https://github.com/benjaminp/six,MIT,2016-05-10 07:24:51.054,2021-01-28 14:48:17.000,2021-01-28 14:48:16.000,189,104.0,171.0,743,2020-05-21 15:25:54.000,1.15.0,27.0,62,34,True,conda-forge/six,six,517.0,,55833411.0,1035921.0,791901.0,https://pypi.org/project/six,2020-05-21 15:25:54.000,244020.0,55589007.0,https://anaconda.org/conda-forge/six,2020-05-21 17:15:14.356,13931062.0,1.0,,,
38,traitlets,ipython/traitlets,A lightweight Traits like module.,,configuration,https://github.com/ipython/traitlets,https://github.com/ipython/traitlets,BSD-3-Clause,2013-12-06 20:45:45.000,2021-02-08 16:53:02.000,2020-10-15 10:38:47.000,152,70.0,135.0,403,2020-10-15 10:39:45.000,5.0.5,24.0,97,34,True,conda-forge/traitlets,traitlets,1645.0,,7039124.0,167902.0,139878.0,https://pypi.org/project/traitlets,2020-10-15 10:39:45.000,28024.0,6937614.0,https://anaconda.org/conda-forge/traitlets,2020-10-15 14:20:57.286,5887601.0,1.0,,,
39,python-fire,google/python-fire,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,,cli-helpers,https://github.com/google/python-fire,https://github.com/google/python-fire,Apache-2.0,2017-02-21 21:35:07.000,2021-02-16 14:10:40.000,2021-01-25 18:21:42.000,1119,88.0,136.0,18703,2021-01-22 18:12:10.000,0.4.0,9.0,45,33,True,conda-forge/fire,fire,257.0,,491433.0,7778.0,6610.0,https://pypi.org/project/fire,2021-01-22 18:11:49.000,1168.0,489224.0,https://anaconda.org/conda-forge/fire,2021-01-22 19:55:20.738,97232.0,2.0,,,
40,flatbuffers,google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library.,,serialization,https://github.com/google/flatbuffers,https://github.com/google/flatbuffers,Apache-2.0,2014-05-19 18:33:01.000,2021-02-24 23:34:15.000,2021-02-24 18:00:18.000,2448,169.0,1449.0,15839,2020-03-12 22:47:55.000,1.12.0,17.0,470,33,True,conda-forge/flatbuffers,flatbuffers,2190.0,27377.0,1433724.0,947.0,775.0,https://pypi.org/project/flatbuffers,2020-03-12 23:34:51.000,172.0,1429459.0,https://anaconda.org/conda-forge/flatbuffers,2020-11-23 13:28:55.262,223611.0,1.0,,,
41,cookiecutter,cookiecutter/cookiecutter,"A command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects,..",,others,https://github.com/cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,BSD-3-Clause,2013-07-14 18:31:22.000,2021-02-23 06:14:29.000,2020-12-26 04:18:09.000,1415,204.0,463.0,13916,2020-04-21 03:35:23.000,1.7.2,28.0,247,33,True,conda-forge/cookiecutter,cookiecutter,2671.0,,401113.0,9821.0,7511.0,https://pypi.org/project/cookiecutter,2020-04-21 03:34:31.000,2310.0,398683.0,https://anaconda.org/conda-forge/cookiecutter,2020-04-26 16:44:26.880,138549.0,1.0,,,
42,uvloop,MagicStack/uvloop,Ultra fast asyncio event loop.,,async,https://github.com/MagicStack/uvloop,https://github.com/MagicStack/uvloop,MIT,2015-11-08 04:14:54.000,2021-02-19 07:14:22.118,2021-02-19 00:24:10.000,448,34.0,208.0,7580,2021-02-19 04:13:20.000,0.15.2,74.0,41,33,True,conda-forge/uvloop,uvloop,882.0,314.0,10789253.0,22022.0,19572.0,https://pypi.org/project/uvloop,2021-02-19 04:13:20.000,2450.0,10782942.0,https://anaconda.org/conda-forge/uvloop,2021-02-19 07:14:22.118,252246.0,1.0,,,
43,watchdog,gorakhargosh/watchdog,Python library and shell utilities to monitor filesystem events.,,file-path-utils,https://github.com/gorakhargosh/watchdog,https://github.com/gorakhargosh/watchdog,Apache-2.0,2010-10-23 12:00:17.000,2021-02-22 16:33:55.429,2021-02-22 13:29:43.000,554,130.0,367.0,4600,2021-02-22 13:51:48.000,2.0.2,26.0,106,33,True,conda-forge/watchdog,watchdog,1282.0,,1358132.0,44031.0,30179.0,https://pypi.org/project/watchdog,2021-02-22 13:51:48.000,13852.0,1350969.0,https://anaconda.org/conda-forge/watchdog,2021-02-22 16:33:55.429,386829.0,1.0,,,
44,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000,2021-02-25 12:26:27.000,2021-02-22 02:02:58.000,830,33.0,1603.0,3929,2021-02-16 22:18:07.000,3.4.6,91.0,229,33,True,conda-forge/cryptography,cryptography,,,20735608.0,182909.0,149021.0,https://pypi.org/project/cryptography,2021-02-16 22:18:07.000,33888.0,20494404.0,https://anaconda.org/conda-forge/cryptography,2021-02-11 00:03:03.094,10612978.0,2.0,,,
45,toolz,pytoolz/toolz,A functional standard library for Python.,,utilities,https://github.com/pytoolz/toolz,https://github.com/pytoolz/toolz,BSD-3-Clause,2013-09-13 02:18:43.000,2021-01-21 21:16:50.000,2020-09-24 15:39:55.000,210,95.0,130.0,3460,2020-09-24 15:50:48.000,0.11.1,24.0,69,33,True,conda-forge/toolz,toolz,1155.0,,3101432.0,40743.0,35223.0,https://pypi.org/project/toolz,2020-09-24 15:50:48.000,5520.0,3035961.0,https://anaconda.org/conda-forge/toolz,2020-09-24 19:02:07.101,3666422.0,1.0,,,
46,ultrajson,ultrajson/ultrajson,Ultra fast JSON decoder and encoder written in C with Python bindings.,,serialization,https://github.com/ultrajson/ultrajson,https://github.com/ultrajson/ultrajson,BSD-3-Clause,2011-02-27 20:00:51.000,2021-02-24 19:39:48.000,2021-02-24 19:39:47.000,305,40.0,254.0,3143,2021-01-21 15:25:16.000,4.0.2,24.0,71,33,True,,ujson,609.0,,5099163.0,27214.0,20658.0,https://pypi.org/project/ujson,2021-01-21 15:25:16.000,6556.0,5099163.0,,,,1.0,,,
47,XlsxWriter,jmcnamara/XlsxWriter,A Python module for creating Excel XLSX files.,,file-formats,https://github.com/jmcnamara/XlsxWriter,https://github.com/jmcnamara/XlsxWriter,BSD-3-Clause,2013-01-04 01:07:06.000,2021-02-02 17:00:05.000,2021-01-07 20:40:50.000,510,15.0,681.0,2476,2020-10-13 08:17:32.000,1.3.7,137.0,43,33,True,conda-forge/xlsxwriter,xlsxwriter,1148.0,,2796158.0,38516.0,32332.0,https://pypi.org/project/xlsxwriter,2020-10-13 08:17:32.000,6184.0,2773501.0,https://anaconda.org/conda-forge/xlsxwriter,2020-10-13 10:12:02.147,1019608.0,3.0,,,
48,azure-storage-blob,Azure/azure-sdk-for-python,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting..,,db-clients,https://github.com/Azure/azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,MIT,2012-04-24 16:46:12.000,2021-02-25 13:01:36.000,2021-02-25 13:01:36.000,1214,864.0,3586.0,1828,2021-02-25 04:22:13.000,azure-mgmt-media_3.1.0,100.0,309,33,True,conda-forge/azure-storage-blob,azure-storage-blob,8034.0,,9514061.0,1920.0,1540.0,https://pypi.org/project/azure-storage-blob,2021-02-11 22:16:15.000,380.0,9508857.0,https://anaconda.org/conda-forge/azure-storage-blob,2021-01-21 11:16:13.753,161351.0,2.0,,,
49,simplejson,simplejson/simplejson,"simplejson is a simple, fast, extensible JSON encoder/decoder for Python.",,serialization,https://github.com/simplejson/simplejson,https://github.com/simplejson/simplejson,MIT,2011-02-06 05:47:45.000,2021-01-09 03:09:29.622,2020-12-29 14:51:58.000,302,15.0,159.0,1361,2020-07-16 18:33:53.000,3.17.2,95.0,36,33,True,conda-forge/simplejson,simplejson,592.0,5173.0,6480273.0,96911.0,57919.0,https://pypi.org/project/simplejson,2020-07-16 18:33:53.000,38992.0,6457540.0,https://anaconda.org/conda-forge/simplejson,2021-01-09 03:09:29.622,973840.0,1.0,,,
50,rich,willmcgugan/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,,cli-helpers,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000,2021-02-25 00:01:03.866,2021-02-24 21:56:13.000,683,11.0,381.0,23541,2021-02-24 21:59:00.000,9.12.0,114.0,77,32,True,conda-forge/rich,rich,1719.0,,628863.0,2569.0,2569.0,https://pypi.org/project/rich,2021-02-20 12:01:08.000,0.0,615078.0,https://anaconda.org/conda-forge/rich,2021-02-25 00:01:03.866,96496.0,2.0,,,
51,sh,amoffat/sh,Python process launching.,,process-utils,https://github.com/amoffat/sh,https://github.com/amoffat/sh,MIT,2012-01-15 05:52:06.000,2021-02-10 20:27:48.000,2020-10-24 17:34:47.000,431,15.0,364.0,5620,2020-10-24 17:36:13.000,1.14.1,34.0,80,32,True,conda-forge/sh,sh,1214.0,,612469.0,11092.0,6634.0,https://pypi.org/project/sh,2020-10-24 17:36:13.000,4458.0,610759.0,https://anaconda.org/conda-forge/sh,2021-01-09 00:08:02.441,90666.0,2.0,,,
52,pydantic,samuelcolvin/pydantic,Data parsing and validation using Python type hints.,,data-validation,https://github.com/samuelcolvin/pydantic,https://github.com/samuelcolvin/pydantic,MIT,2017-05-03 21:23:58.000,2021-02-24 20:47:57.000,2021-02-24 11:50:23.000,487,243.0,1099.0,5483,2020-11-30 23:42:24.000,1.7.3,77.0,197,32,True,conda-forge/pydantic,pydantic,989.0,,1922372.0,13669.0,13281.0,https://pypi.org/project/pydantic,2020-11-30 23:58:44.000,388.0,1904690.0,https://anaconda.org/conda-forge/pydantic,2021-02-02 15:31:48.560,442071.0,1.0,,,
53,kubernetes,kubernetes-client/python,Official Python client library for kubernetes.,,infrastructure,https://github.com/kubernetes-client/python,https://github.com/kubernetes-client/python,Apache-2.0,2016-10-31 20:08:03.000,2021-02-06 19:15:11.000,2021-02-06 19:15:11.000,1982,97.0,777.0,3467,2020-11-13 06:02:46.000,12.0.1,55.0,82,32,True,conda-forge/kubernetes,kubernetes,842.0,,1723767.0,10742.0,9386.0,https://pypi.org/project/kubernetes,2020-11-13 23:53:08.000,1356.0,1717958.0,https://anaconda.org/conda-forge/kubernetes,2020-08-13 20:29:20.438,203347.0,3.0,,,
54,attrs,python-attrs/attrs,Python Classes Without Boilerplate.,,utilities,https://github.com/python-attrs/attrs,https://github.com/python-attrs/attrs,MIT,2015-01-27 15:01:01.000,2021-02-25 13:20:14.000,2021-02-25 07:46:28.000,241,100.0,358.0,3392,2020-11-05 10:11:24.000,20.3.0,20.0,98,32,True,conda-forge/attrs,attrs,,,22446127.0,232321.0,204337.0,https://pypi.org/project/attrs,2020-11-05 10:04:47.000,27984.0,22294184.0,https://anaconda.org/conda-forge/attrs,2020-11-11 08:40:48.051,7141326.0,2.0,,-2.0,
55,pycparser,eliben/pycparser,Complete C99 parser in pure Python.,,others,https://github.com/eliben/pycparser,https://github.com/eliben/pycparser,BSD-3-Clause,2013-06-09 22:01:56.000,2021-02-02 04:56:01.000,2020-12-09 13:51:24.000,455,10.0,248.0,2160,,,20.0,70,32,True,conda-forge/pycparser,pycparser,493.0,,21973726.0,206959.0,174677.0,https://pypi.org/project/pycparser,2020-03-04 14:16:37.000,32282.0,21817562.0,https://anaconda.org/conda-forge/pycparser,2020-06-27 16:30:32.956,8432862.0,2.0,,,
56,dateparser,scrapinghub/dateparser,python parser for human readable dates.,,date-time-utils,https://github.com/scrapinghub/dateparser,https://github.com/scrapinghub/dateparser,BSD-3-Clause,2014-11-24 17:30:12.000,2021-02-23 12:41:06.000,2021-02-19 08:35:28.000,346,211.0,297.0,1713,2020-10-29 18:45:43.000,1.0.0,20.0,101,32,True,conda-forge/dateparser,dateparser,1269.0,,633032.0,6886.0,5472.0,https://pypi.org/project/dateparser,2020-10-29 18:34:21.000,1414.0,632243.0,https://anaconda.org/conda-forge/dateparser,2020-10-29 19:45:25.551,38678.0,2.0,,,
57,pyrsistent,tobgu/pyrsistent,Persistent/Immutable/Functional data structures for Python.,,data-structures,https://github.com/tobgu/pyrsistent,https://github.com/tobgu/pyrsistent,MIT,2013-06-20 14:11:13.000,2021-02-14 15:10:44.000,2020-11-30 05:34:37.000,105,31.0,109.0,1488,2020-09-13 07:05:39.000,0.17.3,68.0,49,32,True,conda-forge/pyrsistent,pyrsistent,606.0,,12249356.0,75692.0,72248.0,https://pypi.org/project/pyrsistent,2020-09-13 07:05:39.000,3444.0,12107782.0,https://anaconda.org/conda-forge/pyrsistent,2021-01-08 23:16:23.250,3964089.0,1.0,,,
58,jmespath,jmespath/jmespath.py,JMESPath is a query language for JSON.,,file-formats,https://github.com/jmespath/jmespath.py,https://github.com/jmespath/jmespath.py,MIT,2013-02-19 22:16:36.000,2020-11-10 08:14:46.000,2020-05-12 22:01:13.000,131,42.0,62.0,1248,2020-05-12 22:03:45.000,0.10.0,24.0,22,32,True,conda-forge/jmespath,jmespath,526.0,,30873705.0,84713.0,72323.0,https://pypi.org/project/jmespath,2020-05-12 22:03:45.000,12390.0,30805639.0,https://anaconda.org/conda-forge/jmespath,2020-05-13 11:39:21.174,3743654.0,3.0,,,
59,greenlet,python-greenlet/greenlet,Lightweight in-process concurrent programming.,,async,https://github.com/python-greenlet/greenlet,https://github.com/python-greenlet/greenlet,MIT,2011-12-17 21:12:01.000,2021-01-18 22:50:24.000,2021-01-18 22:50:23.000,195,12.0,117.0,1217,2021-01-13 13:38:39.000,1.0.0,27.0,55,32,True,conda-forge/greenlet,greenlet,555.0,,2252454.0,71686.0,51906.0,https://pypi.org/project/greenlet,2021-01-13 13:38:39.000,19780.0,2243030.0,https://anaconda.org/conda-forge/greenlet,2021-01-11 01:50:52.242,424111.0,3.0,,,
60,emoji,carpedm20/emoji,emoji terminal output for Python.,,cli-helpers,https://github.com/carpedm20/emoji,https://github.com/carpedm20/emoji,BSD-3-Clause,2014-08-18 02:55:59.000,2021-02-08 11:40:43.000,2021-01-31 10:32:18.000,204,13.0,79.0,1193,2021-01-27 15:21:11.000,1.2.0,23.0,46,32,True,conda-forge/emoji,emoji,230.0,,1518020.0,17608.0,15652.0,https://pypi.org/project/emoji,2021-01-27 15:21:11.000,1956.0,1517585.0,https://anaconda.org/conda-forge/emoji,2021-01-23 17:10:27.080,10453.0,2.0,,,
61,fabric,fabric/fabric,"Simple, Pythonic remote execution and deployment.",,infrastructure,https://github.com/fabric/fabric,https://github.com/fabric/fabric,BSD-2-Clause,2009-05-01 01:14:24.000,2021-02-23 00:27:27.000,2020-01-10 21:20:58.000,1820,431.0,1249.0,12741,2021-01-19 01:10:03.000,2.6.0,120.0,128,31,False,conda-forge/fabric,fabric,1455.0,,397577.0,292.0,,https://pypi.org/project/fabric,2021-01-19 01:10:03.000,292.0,396919.0,https://anaconda.org/conda-forge/fabric,2021-01-19 05:41:35.350,35552.0,3.0,,,
62,schedule,dbader/schedule,Python job scheduling for humans.,,infrastructure,https://github.com/dbader/schedule,https://github.com/dbader/schedule,MIT,2013-05-19 12:51:20.000,2021-02-25 06:13:48.000,2021-02-24 22:55:07.000,750,143.0,197.0,8319,2021-01-30 22:55:14.000,1.0.0,23.0,43,31,True,conda-forge/schedule,schedule,366.0,,339216.0,12282.0,10086.0,https://pypi.org/project/schedule,2021-01-30 22:55:14.000,2196.0,338887.0,https://anaconda.org/conda-forge/schedule,2021-01-31 07:31:50.141,4617.0,3.0,,,
63,supervisor,Supervisor/supervisor,Supervisor process control system for UNIX.,,process-utils,https://github.com/Supervisor/supervisor,https://github.com/Supervisor/supervisor,Repoze Public License,2010-12-08 00:48:48.000,2021-02-23 23:36:40.000,2021-02-23 23:26:37.000,1111,135.0,872.0,6682,2020-08-20 17:25:21.000,4.2.1,35.0,152,31,True,conda-forge/supervisor,supervisor,2296.0,,426884.0,9444.0,5660.0,https://pypi.org/project/supervisor,2020-08-20 17:25:21.000,3784.0,424426.0,https://anaconda.org/conda-forge/supervisor,2020-10-26 14:57:34.255,140155.0,3.0,,,
64,marshmallow,marshmallow-code/marshmallow,A lightweight library for converting complex objects to and from simple Python datatypes.,,serialization,https://github.com/marshmallow-code/marshmallow,https://github.com/marshmallow-code/marshmallow,MIT,2013-11-10 21:32:24.000,2021-02-22 07:50:03.000,2021-02-22 07:50:02.000,550,130.0,888.0,5339,2020-12-19 18:55:26.000,3.10.0,155.0,186,31,True,conda-forge/marshmallow,marshmallow,,,2897661.0,43078.0,24896.0,https://pypi.org/project/marshmallow,2020-12-19 18:55:26.000,18182.0,2888892.0,https://anaconda.org/conda-forge/marshmallow,2020-12-20 11:59:35.310,464789.0,2.0,,,
65,google-cloud-bigtable,googleapis/python-bigtable,Google Cloud Bigtable API client library.,,db-clients,https://github.com/googleapis/python-bigtable,https://github.com/googleapis/python-bigtable,Apache-2.0,2019-04-29 11:11:36.651,2021-02-25 14:18:46.000,2021-02-24 20:23:46.000,1344,9.0,45.0,3482,2021-02-24 20:33:08.000,2.0.0-de1,33.0,52,31,True,conda-forge/google-cloud-bigtable,google-cloud-bigtable,422.0,,470050.0,1720.0,1322.0,https://pypi.org/project/google-cloud-bigtable,2021-02-09 22:23:29.000,398.0,468990.0,https://anaconda.org/conda-forge/google-cloud-bigtable,2020-06-10 17:19:58.861,23332.0,2.0,,,
66,Elasticsearch DSL,elastic/elasticsearch-dsl-py,High level Python client for Elasticsearch.,,db-clients,https://github.com/elastic/elasticsearch-dsl-py,https://github.com/elastic/elasticsearch-dsl-py,Apache-2.0,2014-03-05 16:19:39.000,2021-02-08 21:34:53.000,2020-12-08 20:53:06.000,667,62.0,1098.0,3155,2020-09-17 13:45:33.000,7.3.0,32.0,121,31,True,,elasticsearch-dsl,1007.0,51.0,600711.0,5845.0,4289.0,https://pypi.org/project/elasticsearch-dsl,2020-09-17 13:41:36.000,1556.0,600701.0,,,,2.0,,,
67,jsonschema,Julian/jsonschema,An(other) implementation of JSON Schema for Python.,,data-validation,https://github.com/Julian/jsonschema,https://github.com/Julian/jsonschema,MIT,2011-12-30 03:37:43.000,2021-02-22 23:55:38.000,2021-02-22 23:55:24.000,440,73.0,494.0,3114,2019-11-18 12:57:08.000,3.2.0,35.0,82,31,True,conda-forge/jsonschema,jsonschema,,,11918843.0,166189.0,135129.0,https://pypi.org/project/jsonschema,2019-11-18 12:57:08.000,31060.0,11823804.0,https://anaconda.org/conda-forge/jsonschema,2020-10-13 01:21:01.124,5512283.0,1.0,,,
