,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels
100,PynamoDB,pynamodb/PynamoDB,A pythonic interface to Amazon's DynamoDB.,,db-clients,https://github.com/pynamodb/PynamoDB,https://github.com/pynamodb/PynamoDB,MIT,2014-01-20 02:18:35.000,2021-03-26 17:59:14.000,2021-03-26 17:59:13.000,353,211.0,259.0,1532,2021-02-18 22:45:27.000,5.0.3,74.0,88,29,True,conda-forge/pynamodb,pynamodb,741.0,,216930.0,922.0,686.0,https://pypi.org/project/pynamodb,2021-02-18 22:46:34.000,236.0,213019.0,https://anaconda.org/conda-forge/pynamodb,2021-02-19 00:04:46.178,78227.0,3.0,,,,
101,Dynaconf,rochacbruno/dynaconf,Configuration Management for Python.,,configuration,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22.000,2021-03-30 08:49:57.000,2021-03-15 16:07:22.000,155,45.0,215.0,1493,2021-03-08 18:36:39.000,3.1.4,73.0,62,29,True,conda-forge/dynaconf,dynaconf,531.0,,83649.0,1140.0,1048.0,https://pypi.org/project/dynaconf,2021-03-08 18:36:14.000,92.0,83563.0,https://anaconda.org/conda-forge/dynaconf,2021-03-08 20:56:49.094,518.0,2.0,,,,
102,humanize,jmoiron/humanize,python humanize functions.,,text,https://github.com/jmoiron/humanize,https://github.com/jmoiron/humanize,MIT,2011-10-07 23:44:01.000,2021-03-20 21:47:18.603,2021-03-20 19:57:57.000,138,24.0,43.0,1348,2021-03-20 21:08:44.000,3.3.0,21.0,43,29,True,conda-forge/humanize,humanize,379.0,,687428.0,2904.0,,https://pypi.org/project/humanize,2021-03-20 20:49:09.000,2904.0,684888.0,https://anaconda.org/conda-forge/humanize,2021-03-20 21:47:18.603,147339.0,2.0,,,,
103,dill,uqfoundation/dill,serialize all of python.,,serialization,https://github.com/uqfoundation/dill,https://github.com/uqfoundation/dill,BSD-3-Clause,2013-06-28 16:42:27.000,2021-03-14 18:40:28.000,2021-03-14 18:40:16.000,117,134.0,202.0,1347,2020-11-02 00:16:47.000,dill-0.3.3,21.0,27,29,True,conda-forge/dill,dill,827.0,232310.0,2798513.0,4968.0,,https://pypi.org/project/dill,2020-11-02 00:12:59.000,4968.0,2777203.0,https://anaconda.org/conda-forge/dill,2020-11-02 10:29:29.900,1086304.0,3.0,,,,
104,pygsheets,nithinmurali/pygsheets,Google Sheets Python API v4.,,db-clients,https://github.com/nithinmurali/pygsheets,https://github.com/nithinmurali/pygsheets,MIT,2016-06-06 17:20:44.000,2021-02-13 14:06:58.000,2021-02-13 14:06:48.000,173,30.0,299.0,1117,2021-02-05 22:34:35.000,2.0.5,17.0,70,29,True,,pygsheets,1006.0,,919419.0,723.0,619.0,https://pypi.org/project/pygsheets,2021-02-05 22:34:35.000,104.0,919419.0,,,,3.0,,,,
105,argcomplete,kislyuk/argcomplete,"Python and tab completion, better together.",,cli-helpers,https://github.com/kislyuk/argcomplete,https://github.com/kislyuk/argcomplete,Apache-2.0,2012-11-19 15:37:34.000,2021-02-09 18:52:33.000,2021-02-09 18:52:32.000,99,36.0,145.0,947,2020-11-24 04:10:47.000,1.12.2,99.0,53,29,True,conda-forge/argcomplete,argcomplete,596.0,131.0,1427561.0,11969.0,9145.0,https://pypi.org/project/argcomplete,2020-11-24 04:10:47.000,2824.0,1423979.0,https://anaconda.org/conda-forge/argcomplete,2020-11-24 07:29:57.001,179007.0,3.0,,,,
106,cachetools,tkem/cachetools,Extensible memoizing collections and decorators.,,caching,https://github.com/tkem/cachetools,https://github.com/tkem/cachetools,MIT,2014-03-22 10:15:14.000,2021-03-08 21:28:06.000,2021-03-08 21:27:57.000,102,12.0,166.0,926,2021-01-24 22:40:11.000,4.2.1,36.0,5,29,True,conda-forge/cachetools,cachetools,202.0,,11809706.0,4436.0,,https://pypi.org/project/cachetools,2021-01-24 22:40:11.000,4436.0,11767877.0,https://anaconda.org/conda-forge/cachetools,2021-01-25 06:25:33.809,2258779.0,1.0,,,,
107,jsonpickle,jsonpickle/jsonpickle,Python library for serializing any arbitrary object graph into JSON. It can take almost any Python object and turn the..,,serialization,https://github.com/jsonpickle/jsonpickle,https://github.com/jsonpickle/jsonpickle,BSD-3-Clause,2009-12-10 03:59:23.000,2021-02-18 22:40:13.000,2021-02-18 22:39:39.000,139,58.0,182.0,901,2021-02-08 04:13:40.000,2.0.0,29.0,61,29,True,conda-forge/jsonpickle,jsonpickle,1163.0,,2911384.0,3348.0,,https://pypi.org/project/jsonpickle,2021-02-08 04:13:40.000,3348.0,2895749.0,https://anaconda.org/conda-forge/jsonpickle,2020-04-22 18:31:13.089,687971.0,3.0,,,,
108,typing,python/typing,Work related to PEP 484: typing.py and typing_extensions.py (both released via PyPI) and issue tracker for type system..,,compatibility,https://github.com/python/typing,https://github.com/python/typing,Python-2.0,2014-09-29 16:54:42.000,2021-03-02 01:37:53.000,2021-03-02 01:37:53.000,142,121.0,437.0,884,2019-06-19 22:31:20.000,3.7.4,15.0,61,29,True,conda-forge/typing,typing,533.0,,2992179.0,37490.0,29056.0,https://pypi.org/project/typing,2020-07-13 23:19:42.000,8434.0,2981069.0,https://anaconda.org/conda-forge/typing,2020-12-18 12:29:40.192,677742.0,2.0,,,,
109,holidays,dr-prodigy/python-holidays,Generate and work with holidays in Python.,,date-time-utils,https://github.com/dr-prodigy/python-holidays,https://github.com/dr-prodigy/python-holidays,MIT,2014-08-24 15:17:18.000,2021-04-01 04:32:10.000,2021-02-04 00:32:43.000,235,22.0,175.0,540,2021-02-03 21:39:21.000,0.10.5,31.0,132,29,True,conda-forge/holidays,holidays,725.0,147.0,779774.0,3303.0,2745.0,https://pypi.org/project/holidays,2021-02-04 00:35:10.000,558.0,760284.0,https://anaconda.org/conda-forge/holidays,2021-02-05 18:10:04.336,526216.0,3.0,,,,
