,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,conda_dependent_project_count,trending,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
10,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000000,2021-12-22 21:36:19.000000,2021-12-21 19:08:34.000000,1480,285.0,2252.0,6911,2021-12-21 20:01:50.000000,1.20.26,967.0,126.0,38,True,5030.0,conda-forge/boto3,boto3,,181627874.0,170844.0,147754.0,https://pypi.org/project/boto3,2021-12-21 20:01:50.000000,23090.0,181497888.0,https://anaconda.org/conda-forge/boto3,2021-12-22 00:04:10.113000,7929160.0,1.0,,,,,,,,,,,
11,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207000,2021-12-23 12:23:17.877000,2021-12-23 02:19:30.000000,762,208.0,6203.0,4653,2021-12-23 02:19:04.000000,rel_1_4_29,241.0,515.0,38,True,14554.0,conda-forge/sqlalchemy,SQLAlchemy,34420.0,43430383.0,419054.0,335348.0,https://pypi.org/project/SQLAlchemy,2021-12-23 02:18:54.000000,83706.0,43329013.0,https://anaconda.org/conda-forge/sqlalchemy,2021-12-23 12:23:17.877000,5905697.0,1.0,,,,,,,,,,,
12,botocore,boto/botocore,"The low-level, core functionality of boto 3.",,infrastructure,https://github.com/boto/botocore,https://github.com/boto/botocore,Apache-2.0,2012-11-13 13:25:36.000000,2021-12-22 14:11:07.000000,2021-12-21 19:08:17.000000,838,186.0,711.0,1074,2021-12-21 20:01:31.000000,1.23.26,1365.0,166.0,38,True,9754.0,conda-forge/botocore,botocore,,204319721.0,124044.0,109926.0,https://pypi.org/project/botocore,2021-12-21 20:01:31.000000,14118.0,204152624.0,https://anaconda.org/conda-forge/botocore,2021-12-21 22:12:50.806000,10861334.0,1.0,,,,,,,,,,,
13,Faker,joke2k/faker,Faker is a Python package that generates fake data for you.,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-12-13 19:58:58.000000,2021-12-07 15:58:43.000000,1537,165.0,402.0,13414,2021-12-07 15:59:18.000000,10.0.0,191.0,432.0,37,True,2821.0,conda-forge/faker,Faker,,5244132.0,49897.0,45185.0,https://pypi.org/project/Faker,2021-12-07 15:59:07.000000,4712.0,5234880.0,https://anaconda.org/conda-forge/faker,2021-12-07 17:49:18.201000,527418.0,1.0,,,,,,,,,,,
14,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000000,2021-12-17 20:11:34.000000,2021-11-11 00:49:47.000000,1177,72.0,1209.0,11767,2021-10-10 18:08:47.000000,8.0.3,44.0,312.0,37,True,,conda-forge/click,click,,81221083.0,787295.0,677833.0,https://pypi.org/project/click,2021-10-10 18:07:30.000000,109462.0,81047602.0,https://anaconda.org/conda-forge/click,2021-11-02 05:24:47.889000,11276266.0,1.0,,,,,,,,,,,
15,docker,docker/docker-py,A Python library for the Docker Engine API.,,infrastructure,https://github.com/docker/docker-py,https://github.com/docker/docker-py,Apache-2.0,2013-05-23 16:15:07.000000,2021-12-22 14:56:12.000000,2021-10-14 17:25:22.000000,1479,445.0,1089.0,5520,2021-10-07 22:56:32.000000,5.0.3,76.0,396.0,37,True,3217.0,conda-forge/docker-py,docker,,30806182.0,31913.0,27545.0,https://pypi.org/project/docker,2021-10-07 22:54:50.000000,4368.0,30777781.0,https://anaconda.org/conda-forge/docker-py,2021-12-07 17:23:18.883000,1846112.0,2.0,,,,,,,,,,,
16,python-dateutil,dateutil/dateutil,Useful extensions to the standard Python datetime features.,,date-time-utils,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,Apache-2.0,2014-11-19 18:56:16.000000,2021-12-15 13:43:20.170000,2021-10-12 09:58:53.000000,389,276.0,369.0,1707,2021-07-14 08:19:18.000000,2.8.2,31.0,126.0,37,True,1552.0,conda-forge/python-dateutil,python-dateutil,34669.0,145143748.0,731740.0,615112.0,https://pypi.org/project/python-dateutil,2021-12-15 13:43:20.170000,116628.0,144838250.0,https://anaconda.org/conda-forge/python-dateutil,2021-07-14 18:14:54.171000,20439736.0,1.0,,,,,,,,,,,
17,docker-compose,docker/compose,Define and run multi-container applications with Docker.,,infrastructure,https://github.com/docker/compose,https://github.com/docker/compose,Apache-2.0,2013-12-09 11:40:58.000000,2021-12-18 11:16:22.000000,2021-12-17 14:19:03.000000,4072,663.0,5341.0,24483,2021-12-03 15:47:01.000000,2.2.2,144.0,426.0,36,True,6069.0,conda-forge/docker-compose,docker-compose,158658751.0,4612310.0,10247.0,8045.0,https://pypi.org/project/docker-compose,2021-05-10 11:22:10.000000,2202.0,1872355.0,https://anaconda.org/conda-forge/docker-compose,2021-05-10 13:39:50.707000,178420.0,2.0,,,,,,,,,,,
18,Pygments,pygments/pygments,Pygments is a generic syntax highlighter written in Python.,,others,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2016-04-12 07:50:11.354000,2021-12-23 02:48:30.000000,2021-12-12 12:37:02.000000,718,352.0,1212.0,802,2021-08-15 10:57:14.000000,2.10.0,51.0,676.0,36,True,5793.0,conda-forge/pygments,pygments,,31203256.0,344377.0,276611.0,https://pypi.org/project/pygments,2021-08-15 10:53:28.000000,67766.0,31064245.0,https://anaconda.org/conda-forge/pygments,2021-08-16 13:08:39.439000,9452760.0,1.0,,,,,,,,,,,
19,ansible,ansible/ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and..,,infrastructure,https://github.com/ansible/ansible,https://github.com/ansible/ansible,GPL-3.0,2012-03-06 14:58:02.000000,2021-12-23 07:03:13.000000,2021-12-22 19:55:09.000000,21377,1586.0,28888.0,51094,2021-12-21 18:33:28.000000,5.1.0,287.0,6493.0,35,True,,conda-forge/ansible,ansible,,4959962.0,27008.0,19354.0,https://pypi.org/project/ansible,2021-12-21 18:33:28.000000,7654.0,4950858.0,https://anaconda.org/conda-forge/ansible,2021-12-21 20:34:44.947000,473437.0,2.0,,,,,,,,,,,
20,peewee,coleifer/peewee,"a small, expressive orm -- supports postgresql, mysql and sqlite.",,db-clients,https://github.com/coleifer/peewee,https://github.com/coleifer/peewee,MIT,2010-10-11 20:14:11.000000,2021-12-10 09:58:34.000000,2021-12-09 18:38:46.000000,1312,1.0,2070.0,8819,2021-10-28 14:29:58.000000,3.14.8,173.0,146.0,35,True,4382.0,conda-forge/peewee,peewee,,569645.0,21226.0,14762.0,https://pypi.org/project/peewee,2021-10-28 14:29:19.000000,6464.0,563934.0,https://anaconda.org/conda-forge/peewee,2021-11-06 13:07:31.951000,371261.0,1.0,,,,,,,,,,,
21,pydantic,samuelcolvin/pydantic,Data parsing and validation using Python type hints.,,data-validation,https://github.com/samuelcolvin/pydantic,https://github.com/samuelcolvin/pydantic,MIT,2017-05-03 21:23:58.000000,2021-12-23 11:05:14.000000,2021-12-22 19:42:56.000000,786,418.0,1269.0,8407,2021-05-11 20:28:54.000000,1.8.2,83.0,252.0,35,True,1183.0,conda-forge/pydantic,pydantic,,16570582.0,43637.0,43249.0,https://pypi.org/project/pydantic,2021-12-18 22:34:35.000000,388.0,16531869.0,https://anaconda.org/conda-forge/pydantic,2021-11-04 11:16:50.003000,1354989.0,1.0,,,,,,,,,,,
22,arrow,arrow-py/arrow,Better dates & times for Python.,,date-time-utils,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27.000000,2021-12-20 17:33:35.000000,2021-12-18 19:18:51.000000,597,63.0,386.0,7686,2021-10-24 22:20:00.000000,1.2.1,61.0,253.0,35,True,1344.0,conda-forge/arrow,arrow,,5279565.0,31239.0,23817.0,https://pypi.org/project/arrow,2021-10-24 22:16:42.000000,7422.0,5266941.0,https://anaconda.org/conda-forge/arrow,2021-10-26 15:18:02.635000,845812.0,2.0,,,,,,,,,,,
23,pymongo,mongodb/mongo-python-driver,PyMongo - the Python driver for MongoDB.,,db-clients,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06.000000,2021-12-21 14:46:52.000000,2021-12-20 13:32:53.000000,1025,4.0,,3494,2021-12-07 23:55:30.000000,4.0.1,123.0,190.0,35,True,4920.0,conda-forge/pymongo,pymongo,,15200759.0,35862.0,,https://pypi.org/project/pymongo,2021-12-07 23:55:30.000000,35862.0,15192701.0,https://anaconda.org/conda-forge/pymongo,2021-12-08 03:36:05.541000,531840.0,1.0,,,,,,,,,,,
24,psycopg2,psycopg/psycopg2,PostgreSQL database adapter for the Python programming language.,,db-clients,https://github.com/psycopg/psycopg2,https://github.com/psycopg/psycopg2,BSD-3-Clause-Attribution,2013-01-21 11:05:11.000000,2021-12-15 13:42:21.332000,2021-12-10 13:28:04.000000,417,35.0,1078.0,2431,2021-11-12 07:20:07.000000,2.9.2,52.0,120.0,35,False,2971.0,psycopg2,psycopg2,,14793008.0,511147.0,391935.0,https://pypi.org/project/psycopg2,2021-12-15 13:42:21.332000,119212.0,14792170.0,https://anaconda.org/anaconda/psycopg2,2021-02-04 16:14:22.899000,61225.0,1.0,,0.0,,,,,,,,,
25,more-itertools,more-itertools/more-itertools,"More routines for operating on iterables, beyond itertools.",,utilities,https://github.com/more-itertools/more-itertools,https://github.com/more-itertools/more-itertools,MIT,2012-04-26 05:15:14.000000,2021-12-06 18:08:17.000000,2021-12-06 18:08:17.000000,187,8.0,181.0,2249,2021-11-24 03:37:11.000000,8.12.0,38.0,86.0,35,True,1271.0,conda-forge/more-itertools,more-itertools,2442.0,13059696.0,134282.0,119374.0,https://pypi.org/project/more-itertools,2021-11-24 03:36:05.000000,14908.0,12906796.0,https://anaconda.org/conda-forge/more-itertools,2021-11-24 05:49:37.407000,8560142.0,1.0,,,,,,,,,,,
26,PyYAML,yaml/pyyaml,Canonical source repository for PyYAML.,,file-formats,https://github.com/yaml/pyyaml,https://github.com/yaml/pyyaml,MIT,2011-11-03 05:09:49.000000,2021-12-20 15:29:26.000000,2021-10-13 19:12:51.000000,359,215.0,226.0,1689,2021-01-20 22:07:31.000000,5.4.1,36.0,39.0,35,True,314.0,conda-forge/pyyaml,pyyaml,,134093289.0,521061.0,406725.0,https://pypi.org/project/pyyaml,2021-12-15 13:43:08.232000,114336.0,133864136.0,https://anaconda.org/conda-forge/pyyaml,2021-11-05 19:39:03.838000,15124134.0,1.0,,,,,,,,,,,
27,pyparsing,pyparsing/pyparsing,Python library for creating PEG parsers.,,others,https://github.com/pyparsing/pyparsing,https://github.com/pyparsing/pyparsing,MIT,2016-06-12 20:32:44.411000,2021-12-21 11:15:28.000000,2021-12-18 23:17:19.000000,198,18.0,193.0,1342,2021-11-12 16:37:38.000000,pyparsing_3.0.6,63.0,40.0,35,True,937.0,conda-forge/pyparsing,pyparsing,6242.0,77976326.0,478112.0,419090.0,https://pypi.org/project/pyparsing,2021-11-12 16:35:56.000000,59022.0,77716082.0,https://anaconda.org/conda-forge/pyparsing,2021-11-12 22:45:27.584000,17165586.0,1.0,,,,,,,,,,,
28,greenlet,python-greenlet/greenlet,Lightweight in-process concurrent programming.,,async,https://github.com/python-greenlet/greenlet,https://github.com/python-greenlet/greenlet,MIT,2011-12-17 21:12:01.000000,2021-12-23 01:53:29.000000,2021-12-17 14:56:53.000000,204,15.0,146.0,1306,2021-09-29 10:35:50.000000,1.1.2,30.0,58.0,35,True,798.0,conda-forge/greenlet,greenlet,,34017907.0,122718.0,102938.0,https://pypi.org/project/greenlet,2021-09-29 10:35:50.000000,19780.0,33982515.0,https://anaconda.org/conda-forge/greenlet,2021-11-02 11:46:08.722000,1946570.0,1.0,,,,,,,,,,,
29,future,PythonCharmers/python-future,"Easy, clean, reliable Python 2/3 compatibility.",,compatibility,https://github.com/PythonCharmers/python-future,https://github.com/PythonCharmers/python-future,MIT,2013-07-14 13:57:47.000000,2021-11-30 06:28:13.000000,2021-11-30 06:28:13.000000,254,186.0,194.0,1142,2020-06-13 02:43:44.000000,0.18.2,50.0,111.0,35,True,1868.0,conda-forge/future,future,,28368279.0,213764.0,185396.0,https://pypi.org/project/future,2019-10-31 00:58:13.000000,28368.0,28287025.0,https://anaconda.org/conda-forge/future,2021-11-02 02:34:04.514000,5281540.0,1.0,,,,,,,,,,,
30,flatbuffers,google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library.,,serialization,https://github.com/google/flatbuffers,https://github.com/google/flatbuffers,Apache-2.0,2014-05-19 18:33:01.000000,2021-12-22 16:40:45.000000,2021-12-22 16:40:38.000000,2679,136.0,1688.0,17189,2021-12-09 21:03:05.000000,v2.0.5,18.0,530.0,34,True,2436.0,conda-forge/flatbuffers,flatbuffers,37904.0,4899601.0,1764.0,1592.0,https://pypi.org/project/flatbuffers,2021-05-10 19:55:09.000000,172.0,4894911.0,https://anaconda.org/conda-forge/flatbuffers,2021-05-11 12:27:09.701000,286088.0,1.0,,,,,,,,,,,
31,kivy,kivy/kivy,"Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOS.",,gui-dev,https://github.com/kivy/kivy,https://github.com/kivy/kivy,MIT,2010-11-03 20:27:32.000000,2021-12-22 23:13:33.000000,2021-12-20 00:04:23.000000,2800,903.0,3611.0,13735,2020-12-10 00:57:59.000000,2.0.0,35.0,556.0,34,True,12563.0,conda-forge/kivy,kivy,24371.0,184806.0,6711.0,5837.0,https://pypi.org/project/kivy,2020-12-09 21:40:18.000000,874.0,179219.0,https://anaconda.org/conda-forge/kivy,2021-04-22 22:28:11.323000,217475.0,1.0,,,,,,,,,,,
32,Datasets,huggingface/datasets,"The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation tools.",,data-loading,https://github.com/huggingface/datasets,https://github.com/huggingface/datasets,Apache-2.0,2020-03-26 09:23:22.000000,2021-12-23 13:17:14.000000,2021-12-22 16:52:52.000000,1385,469.0,775.0,11653,2021-12-21 17:41:47.000000,1.17.0,39.0,356.0,34,True,2292.0,,datasets,,531762.0,2530.0,2512.0,https://pypi.org/project/datasets,2021-12-21 17:24:08.000000,18.0,531762.0,,,,1.0,,,,,,,,,,,
33,uvloop,MagicStack/uvloop,Ultra fast asyncio event loop.,,async,https://github.com/MagicStack/uvloop,https://github.com/MagicStack/uvloop,MIT,2015-11-08 04:14:54.000000,2021-12-20 12:59:44.000000,2021-08-10 18:17:01.000000,464,51.0,221.0,8256,2021-08-10 19:41:14.000000,0.16.0,76.0,42.0,34,True,892.0,conda-forge/uvloop,uvloop,346.0,3679001.0,33772.0,31322.0,https://pypi.org/project/uvloop,2021-08-10 19:41:14.000000,2450.0,3670881.0,https://anaconda.org/conda-forge/uvloop,2021-11-02 13:47:36.275000,405763.0,2.0,,,,,,,,,,,
34,watchdog,gorakhargosh/watchdog,Python library and shell utilities to monitor filesystem events.,,file-path-utils,https://github.com/gorakhargosh/watchdog,https://github.com/gorakhargosh/watchdog,Apache-2.0,2010-10-23 12:00:17.000000,2021-12-22 04:37:52.000000,2021-12-15 13:36:08.000000,611,162.0,398.0,5069,2021-10-01 19:33:04.000000,2.1.6,36.0,125.0,34,True,1335.0,conda-forge/watchdog,watchdog,,5058625.0,58902.0,45050.0,https://pypi.org/project/watchdog,2021-10-01 19:31:44.000000,13852.0,5044655.0,https://anaconda.org/conda-forge/watchdog,2021-11-07 06:44:25.815000,894122.0,1.0,,,,,,,,,,,
35,kafka-python,dpkp/kafka-python,Python client for Apache Kafka.,,db-clients,https://github.com/dpkp/kafka-python,https://github.com/dpkp/kafka-python,Apache-2.0,2012-09-24 13:00:26.000000,2021-12-11 18:26:54.000000,2021-08-03 19:54:21.000000,1180,200.0,1163.0,4682,2020-09-30 07:33:37.000000,2.0.1,36.0,206.0,34,True,2155.0,conda-forge/kafka-python,kafka-python,1679.0,5622490.0,10730.0,8710.0,https://pypi.org/project/kafka-python,2020-09-30 07:24:01.000000,2020.0,5617797.0,https://anaconda.org/conda-forge/kafka-python,2020-09-30 13:01:38.284000,257073.0,1.0,,,,,,,,,,,
36,python-dotenv,theskumar/python-dotenv,Get and set values in your .env file in local and production servers.,,configuration,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,BSD-3-Clause,2014-09-06 05:35:17.000000,2021-12-14 04:40:19.000000,2021-11-11 12:25:19.000000,281,19.0,176.0,4542,2021-11-11 12:35:52.000000,0.19.2,40.0,71.0,34,True,304.0,conda-forge/python-dotenv,python-dotenv,,10889072.0,186278.0,176924.0,https://pypi.org/project/python-dotenv,2021-11-11 12:35:52.000000,9354.0,10867728.0,https://anaconda.org/conda-forge/python-dotenv,2021-11-11 16:48:31.390000,1302028.0,1.0,,,,,,,,,,,
37,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000000,2021-12-23 13:10:05.000000,2021-12-23 13:10:04.000000,958,54.0,1797.0,4500,2021-12-14 22:11:02.000000,36.0.1,96.0,247.0,34,True,,conda-forge/cryptography,cryptography,,73274039.0,260540.0,226652.0,https://pypi.org/project/cryptography,2021-12-14 22:11:02.000000,33888.0,72942717.0,https://anaconda.org/conda-forge/cryptography,2021-12-17 01:16:22.583000,17891391.0,1.0,,,,,,,,,,,
38,toolz,pytoolz/toolz,A functional standard library for Python.,,utilities,https://github.com/pytoolz/toolz,https://github.com/pytoolz/toolz,BSD-3-Clause,2013-09-13 02:18:43.000000,2021-11-13 06:48:02.000000,2021-11-06 05:07:13.000000,228,103.0,135.0,3760,2021-11-06 05:23:07.000000,0.11.2,25.0,70.0,34,True,1178.0,conda-forge/toolz,toolz,,9197550.0,56684.0,51164.0,https://pypi.org/project/toolz,2021-11-06 05:23:07.000000,5520.0,9110746.0,https://anaconda.org/conda-forge/toolz,2021-11-06 05:54:41.142000,5729084.0,1.0,,,,,,,,,,,
39,MongoEngine,MongoEngine/mongoengine,A Python Object-Document-Mapper for working with MongoDB.,,db-clients,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20.000000,2021-12-16 13:40:03.000000,2021-11-30 19:22:18.000000,1163,365.0,1236.0,3633,2021-05-04 10:26:37.000000,0.23.1,66.0,373.0,34,True,3915.0,conda-forge/mongoengine,mongoengine,,725873.0,21948.0,15236.0,https://pypi.org/project/mongoengine,2021-05-04 10:26:37.000000,6712.0,723637.0,https://anaconda.org/conda-forge/mongoengine,2021-12-15 06:29:57.487000,143143.0,1.0,,,,,,,,,,,
40,XlsxWriter,jmcnamara/XlsxWriter,A Python module for creating Excel XLSX files.,,file-formats,https://github.com/jmcnamara/XlsxWriter,https://github.com/jmcnamara/XlsxWriter,BSD-2-Clause,2013-01-04 01:07:06.000000,2021-12-06 20:41:28.000000,2021-11-26 11:51:38.000000,550,10.0,736.0,2772,2021-11-01 07:40:49.000000,3.0.2,149.0,46.0,34,True,1170.0,conda-forge/xlsxwriter,xlsxwriter,,8839139.0,48442.0,42258.0,https://pypi.org/project/xlsxwriter,2021-11-01 07:40:49.000000,6184.0,8811465.0,https://anaconda.org/conda-forge/xlsxwriter,2021-11-01 11:18:56.265000,1522115.0,3.0,,,,,,,,,,,
41,colorama,tartley/colorama,Simple cross-platform colored terminal text in Python.,,cli-helpers,https://github.com/tartley/colorama,https://github.com/tartley/colorama,BSD-3-Clause,2014-04-17 20:18:25.000000,2021-11-28 11:36:51.000000,2021-10-07 19:50:29.000000,192,120.0,110.0,2653,2020-10-13 02:42:26.000000,0.4.4,42.0,44.0,34,True,310.0,conda-forge/colorama,colorama,,104410323.0,319139.0,287523.0,https://pypi.org/project/colorama,2020-10-13 02:42:26.000000,31616.0,104308051.0,https://anaconda.org/conda-forge/colorama,2020-10-16 16:43:32.974000,6954516.0,1.0,,,,,,,,,,,
42,pexpect,pexpect/pexpect,A Python module for controlling interactive programs in a pseudo-terminal.,,process-utils,https://github.com/pexpect/pexpect,https://github.com/pexpect/pexpect,ISC,2013-09-17 17:36:44.000000,2021-12-15 13:41:19.033000,2021-04-17 10:40:57.000000,436,175.0,268.0,2127,2020-01-21 16:37:03.000000,4.8.0,19.0,92.0,34,True,1551.0,conda-forge/pexpect,pexpect,4083.0,22935147.0,192725.0,162023.0,https://pypi.org/project/pexpect,2021-12-15 13:41:19.033000,30702.0,22841776.0,https://anaconda.org/conda-forge/pexpect,2020-10-12 20:49:05.189000,6346486.0,1.0,,,,,,,,,,,
43,pycryptodomex,Legrandin/pycryptodome,A self-contained cryptographic library for Python.,,cryptography,https://github.com/Legrandin/pycryptodome,https://github.com/Legrandin/pycryptodome,BSD-3-Clause,2014-05-02 15:11:38.000000,2021-12-05 02:42:19.890000,2021-12-03 21:46:27.000000,328,61.0,388.0,1821,2021-12-04 08:54:20.000000,3.12.0,38.0,113.0,34,True,2616.0,conda-forge/pycryptodomex,pycryptodomex,,13969994.0,37202.0,35660.0,https://pypi.org/project/pycryptodomex,2021-12-04 08:54:20.000000,1542.0,13959442.0,https://anaconda.org/conda-forge/pycryptodomex,2021-12-05 02:42:19.890000,506502.0,1.0,,,,,,,,,,,
