,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,projectrank,show,fork_count,closed_issue_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing
10,tqdm,tqdm/tqdm,"A Fast, Extensible Progress Bar for Python and CLI.",,cli-helpers,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-01-12 02:41:41.554,2021-01-11 00:53:22.000,17034,2021-01-11 01:27:55.000,4.56.0,111.0,36,True,879.0,491.0,94.0,conda-forge/tqdm,tqdm,272.0,1733.0,7338.0,9882224.0,165600.0,139362.0,https://pypi.org/project/tqdm,2021-01-11 00:58:53.000,26238.0,9796532.0,https://anaconda.org/conda-forge/tqdm,2021-01-12 02:41:41.554,4706589.0,1.0
11,docker,docker/docker-py,A Python library for the Docker Engine API.,,infrastructure,https://github.com/docker/docker-py,https://github.com/docker/docker-py,Apache-2.0,2013-05-23 16:15:07.000,2020-12-28 18:15:26.000,2020-12-28 17:26:25.000,5064,2021-01-07 17:44:54.000,4.4.1,69.0,36,True,1426.0,1037.0,382.0,conda-forge/docker-py,docker,385.0,3120.0,,9150770.0,22504.0,18136.0,https://pypi.org/project/docker,2020-12-22 20:46:52.000,4368.0,9135714.0,https://anaconda.org/conda-forge/docker-py,2020-12-22 23:22:52.191,813066.0,2.0
12,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,Library for building powerful interactive command line applications in Python.,,cli-helpers,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08.000,2021-01-08 13:45:48.000,2021-01-08 13:45:46.000,6735,2019-10-03 15:18:40.000,2.0.10,81.0,35,True,519.0,462.0,169.0,,prompt_toolkit,380.0,2466.0,,11360584.0,130858.0,124642.0,https://pypi.org/project/prompt_toolkit,2019-10-03 15:18:40.000,6216.0,11360584.0,,,,1.0
13,paramiko,paramiko/paramiko,The leading native Python SSHv2 protocol library.,,infrastructure,https://github.com/paramiko/paramiko,https://github.com/paramiko/paramiko,LGPL-2.1,2009-02-02 03:41:08.000,2021-01-05 21:48:01.000,2020-09-11 19:29:07.000,6699,2020-08-30 19:56:22.000,2.7.2,121.0,35,True,1607.0,574.0,157.0,conda-forge/paramiko,paramiko,804.0,3483.0,,8246318.0,59369.0,36569.0,https://pypi.org/project/paramiko,2020-08-30 19:56:22.000,22800.0,8232870.0,https://anaconda.org/conda-forge/paramiko,2020-09-01 19:24:01.679,699299.0,3.0
14,attrs,python-attrs/attrs,Python Classes Without Boilerplate.,,utilities,https://github.com/python-attrs/attrs,https://github.com/python-attrs/attrs,MIT,2015-01-27 15:01:01.000,2021-01-11 06:47:05.000,2021-01-11 06:46:30.000,3338,2020-11-05 10:11:24.000,20.3.0,20.0,35,True,237.0,339.0,94.0,conda-forge/attrs,attrs,106.0,817.0,,28559693.0,218735.0,190751.0,https://pypi.org/project/attrs,2020-11-05 10:04:47.000,27984.0,28419766.0,https://anaconda.org/conda-forge/attrs,2020-11-11 08:40:48.051,6436687.0,1.0
15,colorama,tartley/colorama,Simple cross-platform colored terminal text in Python.,,cli-helpers,https://github.com/tartley/colorama,https://github.com/tartley/colorama,BSD-3-Clause,2014-04-17 20:18:25.000,2021-01-03 16:45:33.000,2020-12-30 18:15:59.000,2324,2020-10-13 02:42:26.000,0.4.4,42.0,35,True,175.0,99.0,39.0,conda-forge/colorama,colorama,114.0,286.0,,33391042.0,186461.0,154845.0,https://pypi.org/project/colorama,2020-10-13 02:42:26.000,31616.0,33345784.0,https://anaconda.org/conda-forge/colorama,2020-10-16 16:43:32.974,2579749.0,1.0
16,python-dateutil,dateutil/dateutil,Useful extensions to the standard Python datetime features.,,date-time-utils,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,Apache-2.0,2014-11-19 18:56:16.000,2021-01-08 17:50:28.000,2020-09-28 20:40:12.000,1467,2019-11-03 05:42:01.000,2.8.1,23.0,35,True,350.0,339.0,118.0,conda-forge/python-dateutil,python-dateutil,262.0,1493.0,33996.0,59449072.0,116628.0,,https://pypi.org/project/python-dateutil,2019-11-03 05:42:01.000,116628.0,59229182.0,https://anaconda.org/conda-forge/python-dateutil,2019-11-03 14:12:04.243,12286694.0,1.0
17,chardet,chardet/chardet,Python character encoding detector.,,text,https://github.com/chardet/chardet,https://github.com/chardet/chardet,LGPL-2.1,2012-07-26 20:30:54.000,2021-01-08 08:22:32.887,2020-12-16 17:20:22.000,1422,2020-12-10 19:35:32.000,4.0.0,12.0,35,True,193.0,58.0,37.0,conda-forge/chardet,chardet,56.0,334.0,,56386326.0,493249.0,420535.0,https://pypi.org/project/chardet,2020-12-10 19:35:32.000,72714.0,56214051.0,https://anaconda.org/conda-forge/chardet,2021-01-08 08:22:32.887,8096971.0,1.0
18,PyYAML,yaml/pyyaml,Canonical source repository for PyYAML.,,file-formats,https://github.com/yaml/pyyaml,https://github.com/yaml/pyyaml,MIT,2011-11-03 05:09:49.000,2021-01-09 17:17:29.000,2020-03-19 18:49:38.000,1343,2020-03-18 21:41:00.000,5.3.1,24.0,35,True,281.0,177.0,33.0,conda-forge/pyyaml,pyyaml,176.0,263.0,,51288743.0,384003.0,269667.0,https://pypi.org/project/pyyaml,2020-03-18 21:41:00.000,114336.0,51132441.0,https://anaconda.org/conda-forge/pyyaml,2021-01-09 02:58:50.776,8596651.0,1.0
19,Pygments,pygments/pygments,Pygments is a generic syntax highlighter written in Python.,,others,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2016-04-12 07:50:11.354,2021-01-11 09:19:26.000,2021-01-11 09:19:20.000,474,2020-12-06 13:15:16.000,2.7.3,46.0,35,True,718.0,1086.0,579.0,conda-forge/pygments,pygments,348.0,5416.0,,16069570.0,257542.0,189776.0,https://pypi.org/project/pygments,2020-12-06 13:14:08.000,67766.0,15978921.0,https://anaconda.org/conda-forge/pygments,2020-12-07 14:43:48.855,5167035.0,1.0
