,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,updated_github_id,labels
89,influxdb,influxdata/influxdb-python,Python client for InfluxDB.,,db-clients,https://github.com/influxdata/influxdb-python,https://github.com/influxdata/influxdb-python,MIT,2013-11-05 19:27:16.000,2021-04-29 12:59:11.000,2021-04-09 21:24:13.000,494,137.0,372.0,1494,2020-11-11 21:23:41.000,5.3.1,54.0,135,30,True,conda-forge/influxdb,influxdb,965.0,,1610874.0,6559.0,4449.0,https://pypi.org/project/influxdb,2020-11-11 21:23:41.000,2110.0,1609697.0,https://anaconda.org/conda-forge/influxdb,2020-11-12 02:29:15.949,16478.0,2.0,,,,
90,msgpack,msgpack/msgpack-python,MessagePack serializer implementation for Python msgpack.org[Python].,,serialization,https://github.com/msgpack/msgpack-python,https://github.com/msgpack/msgpack-python,Apache-2.0,2011-08-21 08:24:41.000,2021-04-02 11:45:33.000,2021-03-18 21:35:54.000,190,5.0,228.0,1450,2020-12-18 08:40:31.000,1.0.2,14.0,69,30,True,conda-forge/msgpack-python,msgpack,,829.0,11694372.0,46995.0,44365.0,https://pypi.org/project/msgpack,2020-12-18 08:40:31.000,2630.0,11620005.0,https://anaconda.org/conda-forge/msgpack-python,2021-01-08 16:17:23.419,4089118.0,2.0,,,,
91,dill,uqfoundation/dill,serialize all of python.,,serialization,https://github.com/uqfoundation/dill,https://github.com/uqfoundation/dill,BSD-3-Clause,2013-06-28 16:42:27.000,2021-06-17 13:57:27.000,2021-06-17 13:57:13.000,121,139.0,212.0,1415,2021-06-13 17:15:27.000,dill-0.3.4,22.0,29,30,True,conda-forge/dill,dill,844.0,235823.0,7977211.0,4968.0,,https://pypi.org/project/dill,2021-06-13 17:11:45.000,4968.0,7955413.0,https://anaconda.org/conda-forge/dill,2021-06-13 18:50:57.277,1154144.0,2.0,,1.0,,
92,python-slugify,un33k/python-slugify,Returns unicode slugs.,,text,https://github.com/un33k/python-slugify,https://github.com/un33k/python-slugify,MIT,2012-10-15 01:44:50.000,2021-05-25 18:11:56.000,2021-05-12 17:25:01.000,84,1.0,48.0,1044,2021-05-05 23:39:30.000,5.0.2,37.0,30,30,True,conda-forge/python-slugify,python-slugify,214.0,,3164603.0,21910.0,17586.0,https://pypi.org/project/python-slugify,2021-05-05 23:39:30.000,4324.0,3158459.0,https://anaconda.org/conda-forge/python-slugify,2021-05-06 02:25:34.618,350216.0,2.0,,,,
93,cachetools,tkem/cachetools,Extensible memoizing collections and decorators.,,caching,https://github.com/tkem/cachetools,https://github.com/tkem/cachetools,MIT,2014-03-22 10:15:14.000,2021-04-28 07:12:46.946,2021-04-27 21:11:46.000,105,10.0,171.0,997,2021-04-27 21:19:55.000,4.2.2,37.0,5,30,True,conda-forge/cachetools,cachetools,212.0,,37837365.0,4436.0,,https://pypi.org/project/cachetools,2021-04-27 21:19:55.000,4436.0,37790079.0,https://anaconda.org/conda-forge/cachetools,2021-04-28 07:12:46.946,2648028.0,1.0,,,,
94,argcomplete,kislyuk/argcomplete,"Python and tab completion, better together.",,cli-helpers,https://github.com/kislyuk/argcomplete,https://github.com/kislyuk/argcomplete,Apache-2.0,2012-11-19 15:37:34.000,2021-05-12 23:13:52.000,2021-05-12 23:13:46.000,98,37.0,146.0,971,2021-04-19 15:48:18.000,1.12.3,100.0,54,30,True,conda-forge/argcomplete,argcomplete,596.0,135.0,5496621.0,12867.0,10043.0,https://pypi.org/project/argcomplete,2021-04-19 15:48:18.000,2824.0,5492774.0,https://anaconda.org/conda-forge/argcomplete,2021-04-22 22:01:32.082,199946.0,3.0,,,,
95,cloudpickle,cloudpipe/cloudpickle,Extended pickling support for Python objects.,,serialization,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,BSD-3-Clause,2015-04-13 16:33:00.000,2021-06-15 18:10:27.000,2021-03-02 13:18:41.000,111,55.0,134.0,949,2020-08-25 22:32:04.000,1.6.0,33.0,46,30,True,conda-forge/cloudpickle,cloudpickle,383.0,16.0,11496998.0,41764.0,37662.0,https://pypi.org/project/cloudpickle,2020-08-25 22:32:04.000,4102.0,11423819.0,https://anaconda.org/conda-forge/cloudpickle,2020-08-26 00:05:03.165,4610278.0,2.0,,,,
96,jsonpickle,jsonpickle/jsonpickle,Python library for serializing any arbitrary object graph into JSON. It can take almost any Python object and turn the..,,serialization,https://github.com/jsonpickle/jsonpickle,https://github.com/jsonpickle/jsonpickle,BSD-3-Clause,2009-12-10 03:59:23.000,2021-05-28 03:43:24.000,2021-05-28 03:43:12.000,139,61.0,183.0,928,2021-02-08 04:13:40.000,2.0.0,29.0,62,30,True,conda-forge/jsonpickle,jsonpickle,1165.0,,6769108.0,3348.0,,https://pypi.org/project/jsonpickle,2021-02-08 04:13:40.000,3348.0,6753847.0,https://anaconda.org/conda-forge/jsonpickle,2021-04-12 18:16:21.176,702035.0,2.0,,,,
97,typing,python/typing,Work related to PEP 484: typing.py and typing_extensions.py (both released via PyPI) and issue tracker for type system..,,compatibility,https://github.com/python/typing,https://github.com/python/typing,Python-2.0,2014-09-29 16:54:42.000,2021-06-16 12:50:57.000,2021-06-16 12:50:57.000,146,118.0,454.0,923,2019-06-19 22:31:20.000,3.7.4,16.0,65,30,True,conda-forge/typing,typing,544.0,,7927551.0,38977.0,30543.0,https://pypi.org/project/typing,2021-05-01 18:03:55.000,8434.0,7916296.0,https://anaconda.org/conda-forge/typing,2021-05-01 20:36:02.905,709120.0,2.0,,,,
98,py4j,bartdag/py4j,Py4J enables Python programs to dynamically access arbitrary Java objects.,,others,https://github.com/bartdag/py4j,https://github.com/bartdag/py4j,BSD-3-Clause,2010-11-02 20:58:18.000,2021-05-10 08:25:52.000,2021-02-27 09:27:40.000,157,128.0,243.0,849,2020-01-25 14:40:31.000,0.10.9,26.0,29,30,True,conda-forge/py4j,py4j,744.0,,12362822.0,7089.0,6007.0,https://pypi.org/project/py4j,2020-09-07 15:43:56.000,1082.0,12346594.0,https://anaconda.org/conda-forge/py4j,2020-06-10 17:37:08.340,941241.0,3.0,,,,
99,traitlets,ipython/traitlets,A lightweight Traits like module.,,configuration,https://github.com/ipython/traitlets,https://github.com/ipython/traitlets,BSD-3-Clause,2013-12-06 20:45:45.000,2021-06-16 07:42:31.000,2021-05-08 02:55:04.000,159,87.0,148.0,428,2020-10-15 10:39:45.000,5.0.5,24.0,97,30,True,conda-forge/traitlets,traitlets,,,13735268.0,187752.0,159728.0,https://pypi.org/project/traitlets,2020-10-15 10:39:45.000,28024.0,13622137.0,https://anaconda.org/conda-forge/traitlets,2020-10-15 14:20:57.286,7014155.0,1.0,,,,
100,multidict,aio-libs/multidict,The multidict implementation.,,data-structures,https://github.com/aio-libs/multidict,https://github.com/aio-libs/multidict,Apache-2.0,2016-02-06 14:52:32.000,2021-06-11 05:36:02.000,2021-06-11 05:36:01.000,60,11.0,112.0,240,2020-12-03 13:00:53.000,5.1.0,118.0,36,30,True,conda-forge/multidict,multidict,943.0,1501.0,27190830.0,5340.0,,https://pypi.org/project/multidict,2020-12-03 13:00:53.000,5340.0,27148590.0,https://anaconda.org/conda-forge/multidict,2021-01-11 01:59:51.390,2068581.0,2.0,,,,
101,wcwidth,jquast/wcwidth,Python library that measures the width of unicode strings rendered to a terminal.,,cli-helpers,https://github.com/jquast/wcwidth,https://github.com/jquast/wcwidth,MIT,2014-04-05 09:57:11.000,2021-05-19 08:21:46.000,2020-07-14 14:20:26.000,35,9.0,19.0,205,2020-06-23 16:10:28.000,0.2.5,17.0,11,30,True,conda-forge/wcwidth,wcwidth,219.0,,15499549.0,216110.0,190776.0,https://pypi.org/project/wcwidth,2020-06-23 16:10:28.000,25334.0,15401872.0,https://anaconda.org/conda-forge/wcwidth,2020-09-24 16:45:20.691,6446723.0,3.0,,,,
102,pyasn1,etingof/pyasn1,Generic ASN.1 library for Python.,,serialization,https://github.com/etingof/pyasn1,https://github.com/etingof/pyasn1,BSD-2-Clause,2016-02-24 22:30:54.000,2020-10-24 20:32:47.000,2020-03-21 18:06:04.000,80,43.0,62.0,179,2019-11-16 17:27:13.000,0.4.8,34.0,16,30,False,conda-forge/pyasn1,pyasn1,970.0,,66242725.0,159462.0,131168.0,https://pypi.org/project/pyasn1,2019-11-16 17:27:13.000,28294.0,66176328.0,https://anaconda.org/conda-forge/pyasn1,2019-11-17 02:42:05.143,3851028.0,2.0,,,,
103,dataset,pudo/dataset,"Easy-to-use data handling for SQL data stores with support for implicit table creation, bulk loading, and transactions.",,db-clients,https://github.com/pudo/dataset,https://github.com/pudo/dataset,MIT,2013-04-01 14:57:55.000,2021-06-09 06:29:52.000,2021-06-07 07:37:21.000,271,12.0,244.0,4045,2021-04-22 17:03:25.000,1.5.0,51.0,74,29,True,,dataset,676.0,,83239.0,2985.0,1957.0,https://pypi.org/project/dataset,2021-04-22 17:03:25.000,1028.0,83239.0,,,,3.0,,,,
104,transitions,pytransitions/transitions,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",,algorithms,https://github.com/pytransitions/transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09.000,2021-05-31 10:06:09.000,2021-05-31 10:06:09.000,434,8.0,366.0,3744,2021-04-07 09:44:54.000,0.8.8,42.0,66,29,True,conda-forge/transitions,transitions,889.0,,246462.0,2001.0,1649.0,https://pypi.org/project/transitions,2021-02-13 11:46:27.000,352.0,245740.0,https://anaconda.org/conda-forge/transitions,2021-04-07 12:11:14.462,17331.0,1.0,,,,
