,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,new_addition,labels
64,marshmallow,marshmallow-code/marshmallow,A lightweight library for converting complex objects to and from simple Python datatypes.,,serialization,https://github.com/marshmallow-code/marshmallow,https://github.com/marshmallow-code/marshmallow,MIT,2013-11-10 21:32:24.000,2021-02-01 15:55:26.000,2021-02-01 15:55:25.000,542,113.0,883.0,5282,2020-12-19 18:55:26.000,3.10.0,155.0,186,31,True,conda-forge/marshmallow,marshmallow,,,2888697.0,42331.0,24149.0,https://pypi.org/project/marshmallow,2020-12-19 18:55:26.000,18182.0,2880382.0,https://anaconda.org/conda-forge/marshmallow,2020-12-20 11:59:35.310,440739.0,2.0,,,,
65,google-cloud-bigtable,googleapis/python-bigtable,Google Cloud Bigtable API client library.,,db-clients,https://github.com/googleapis/python-bigtable,https://github.com/googleapis/python-bigtable,Apache-2.0,2019-04-29 11:11:36.651,2021-02-04 13:57:25.000,2021-02-03 22:07:16.000,1337,10.0,43.0,3466,2020-12-02 18:36:24.000,1.6.1,32.0,52,31,True,conda-forge/google-cloud-bigtable,google-cloud-bigtable,409.0,,478190.0,1700.0,1302.0,https://pypi.org/project/google-cloud-bigtable,2020-12-02 18:36:24.000,398.0,477171.0,https://anaconda.org/conda-forge/google-cloud-bigtable,2020-06-10 17:19:58.861,22437.0,2.0,,,,
66,Elasticsearch DSL,elastic/elasticsearch-dsl-py,High level Python client for Elasticsearch.,,db-clients,https://github.com/elastic/elasticsearch-dsl-py,https://github.com/elastic/elasticsearch-dsl-py,Apache-2.0,2014-03-05 16:19:39.000,2021-01-25 23:15:53.000,2020-12-08 20:53:06.000,667,62.0,1096.0,3142,2020-09-17 13:45:33.000,7.3.0,32.0,121,31,True,,elasticsearch-dsl,1007.0,24.0,631515.0,5777.0,4221.0,https://pypi.org/project/elasticsearch-dsl,2020-09-17 13:41:36.000,1556.0,631511.0,,,,2.0,,,,
67,jsonschema,Julian/jsonschema,An(other) implementation of JSON Schema for Python.,,data-validation,https://github.com/Julian/jsonschema,https://github.com/Julian/jsonschema,MIT,2011-12-30 03:37:43.000,2021-01-26 21:11:05.000,2021-01-08 01:25:20.000,439,73.0,492.0,3085,2019-11-18 12:57:08.000,3.2.0,35.0,81,31,True,conda-forge/jsonschema,jsonschema,,,11711851.0,162926.0,131866.0,https://pypi.org/project/jsonschema,2019-11-18 12:57:08.000,31060.0,11620167.0,https://anaconda.org/conda-forge/jsonschema,2020-10-13 01:21:01.124,5317713.0,1.0,,,,
68,cerberus,pyeve/cerberus,"Lightweight, extensible data validation library for Python.",,data-validation,https://github.com/pyeve/cerberus,https://github.com/pyeve/cerberus,ISC,2012-10-10 10:03:49.000,2020-12-10 12:33:04.000,2020-09-28 21:17:22.000,205,33.0,279.0,2390,2016-09-01 08:02:44.000,1.3.2,23.0,62,31,True,conda-forge/cerberus,cerberus,1134.0,,609365.0,10088.0,8822.0,https://pypi.org/project/cerberus,2019-10-29 16:55:46.000,1266.0,607264.0,https://anaconda.org/conda-forge/cerberus,2019-12-02 01:38:41.849,113456.0,1.0,,,,
69,Prometheus Client,prometheus/client_python,Prometheus instrumentation library for Python applications.,,db-clients,https://github.com/prometheus/client_python,https://github.com/prometheus/client_python,Apache-2.0,2015-02-10 22:47:25.000,2021-02-04 00:07:11.000,2021-02-04 00:07:10.000,511,26.0,291.0,2025,2020-11-16 13:40:13.000,0.9.0,33.0,100,31,True,conda-forge/prometheus_client,prometheus_client,415.0,,8840613.0,3738.0,,https://pypi.org/project/prometheus_client,2019-06-20 13:35:09.000,3738.0,8794700.0,https://anaconda.org/conda-forge/prometheus_client,2020-11-16 16:13:46.080,2387499.0,2.0,,,,
70,voluptuous,alecthomas/voluptuous,"CONTRIBUTIONS ONLY: Voluptuous, despite the name, is a Python data validation library.",,data-validation,https://github.com/alecthomas/voluptuous,https://github.com/alecthomas/voluptuous,BSD-3-Clause,2010-07-15 09:55:10.000,2021-01-27 23:51:40.000,2021-01-27 23:51:39.000,188,38.0,192.0,1668,2020-12-06 23:04:56.000,0.12.1,43.0,85,31,True,conda-forge/voluptuous,voluptuous,440.0,,701733.0,5209.0,2985.0,https://pypi.org/project/voluptuous,2020-12-06 23:04:56.000,2224.0,700138.0,https://anaconda.org/conda-forge/voluptuous,2020-12-30 07:03:19.353,87739.0,1.0,,,,
71,influxdb,influxdata/influxdb-python,Python client for InfluxDB.,,db-clients,https://github.com/influxdata/influxdb-python,https://github.com/influxdata/influxdb-python,MIT,2013-11-05 19:27:16.000,2020-12-31 19:10:02.000,2020-12-31 19:10:01.000,488,135.0,367.0,1455,2020-11-11 21:23:41.000,5.3.1,54.0,134,31,True,conda-forge/influxdb,influxdb,962.0,,713871.0,6064.0,3954.0,https://pypi.org/project/influxdb,2020-11-11 21:23:41.000,2110.0,712919.0,https://anaconda.org/conda-forge/influxdb,2020-11-12 02:29:15.949,9526.0,2.0,,,,
72,wrapt,GrahamDumpleton/wrapt,"A Python module for decorators, wrappers and monkey patching.",,others,https://github.com/GrahamDumpleton/wrapt,https://github.com/GrahamDumpleton/wrapt,BSD-2-Clause,2013-05-29 10:22:45.000,2021-01-08 11:20:52.007,2020-03-12 09:01:48.000,175,49.0,76.0,1432,2020-03-09 02:32:04.000,1.12.1,35.0,16,31,True,conda-forge/wrapt,wrapt,501.0,,9666752.0,21338.0,,https://pypi.org/project/wrapt,2020-03-09 02:32:04.000,21338.0,9620771.0,https://anaconda.org/conda-forge/wrapt,2021-01-08 11:20:52.007,2482980.0,2.0,,,,
73,msgpack,msgpack/msgpack-python,MessagePack serializer implementation for Python msgpack.org[Python].,,serialization,https://github.com/msgpack/msgpack-python,https://github.com/msgpack/msgpack-python,Apache-2.0,2011-08-21 08:24:41.000,2021-01-27 23:33:16.000,2021-01-27 23:33:14.000,190,4.0,220.0,1390,2020-12-18 08:40:31.000,1.0.2,14.0,66,31,True,conda-forge/msgpack-python,msgpack,,828.0,4999836.0,37115.0,34485.0,https://pypi.org/project/msgpack,2020-12-18 08:40:31.000,2630.0,4935398.0,https://anaconda.org/conda-forge/msgpack-python,2021-01-08 16:17:23.419,3285216.0,2.0,,,,
74,emoji,carpedm20/emoji,emoji terminal output for Python.,,cli-helpers,https://github.com/carpedm20/emoji,https://github.com/carpedm20/emoji,BSD-3-Clause,2014-08-18 02:55:59.000,2021-01-31 10:32:19.000,2021-01-31 10:32:18.000,203,11.0,79.0,1179,2021-01-27 15:21:11.000,1.2.0,23.0,46,31,True,conda-forge/emoji,emoji,230.0,,1312125.0,16802.0,14846.0,https://pypi.org/project/emoji,2021-01-27 15:21:11.000,1956.0,1311710.0,https://anaconda.org/conda-forge/emoji,2021-01-23 17:10:27.080,9982.0,2.0,,,,
75,pyparsing,pyparsing/pyparsing,Python library for creating PEG parsers.,,others,https://github.com/pyparsing/pyparsing,https://github.com/pyparsing/pyparsing,MIT,2016-06-12 20:32:44.411,2021-01-05 10:57:12.000,2021-01-03 22:37:00.000,157,34.0,117.0,1005,2020-04-05 22:23:00.000,pyparsing_2.4.7,50.0,30,31,True,conda-forge/pyparsing,pyparsing,683.0,4979.0,15311462.0,327260.0,268238.0,https://pypi.org/project/pyparsing,2020-12-30 22:19:54.000,59022.0,15121188.0,https://anaconda.org/conda-forge/pyparsing,2020-04-06 18:28:14.201,10645776.0,2.0,,,,
76,appdirs,ActiveState/appdirs,"A small Python module for determining appropriate platform-specific dirs, e.g. a user data dir.",,file-path-utils,https://github.com/ActiveState/appdirs,https://github.com/ActiveState/appdirs,MIT,2010-07-28 04:07:00.000,2021-01-28 08:29:21.000,2021-01-28 08:29:20.000,73,39.0,49.0,681,2020-05-11 08:18:45.000,1.4.4,8.0,33,31,True,conda-forge/appdirs,appdirs,220.0,,7657816.0,118141.0,92555.0,https://pypi.org/project/appdirs,2020-05-11 07:59:49.000,25586.0,7623431.0,https://anaconda.org/conda-forge/appdirs,2020-10-19 11:55:35.692,2028741.0,2.0,,,,
77,pluggy,pytest-dev/pluggy,A minimalist production ready plugin system.,,others,https://github.com/pytest-dev/pluggy,https://github.com/pytest-dev/pluggy,MIT,2015-04-28 15:32:26.000,2021-01-10 22:46:37.621,2020-07-02 14:15:31.000,73,38.0,88.0,562,2019-11-21 20:42:34.000,0.13.1,17.0,34,31,True,conda-forge/pluggy,pluggy,482.0,,8443772.0,119197.0,100379.0,https://pypi.org/project/pluggy,2020-06-04 19:37:24.000,18818.0,8341891.0,https://anaconda.org/conda-forge/pluggy,2021-01-10 22:46:37.621,4686551.0,2.0,,,,
78,decorator,micheles/decorator,Decorators for Humans.,,others,https://github.com/micheles/decorator,https://github.com/micheles/decorator,BSD-2-Clause,2013-11-24 05:55:49.000,2020-12-25 06:52:12.000,2020-12-25 06:52:05.000,67,3.0,56.0,473,2020-03-04 18:17:28.000,4.4.2,26.0,21,31,True,conda-forge/decorator,decorator,301.0,,14063264.0,230981.0,184509.0,https://pypi.org/project/decorator,2020-02-29 05:24:45.000,46472.0,13947692.0,https://anaconda.org/conda-forge/decorator,2020-02-29 21:33:11.626,6356494.0,2.0,,,,
79,pytz,stub42/pytz,pytz Python historical timezone library and database.,,date-time-utils,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-05-10 07:42:31.917,2021-02-01 11:41:52.796,2021-02-01 08:03:41.000,54,16.0,21.0,146,2016-07-14 08:21:41.000,2016.6.1,101.0,15,31,True,conda-forge/pytz,pytz,586.0,,27493973.0,794332.0,639396.0,https://pypi.org/project/pytz,2021-02-01 08:07:15.000,154936.0,27268142.0,https://anaconda.org/conda-forge/pytz,2021-02-01 11:41:52.796,12872389.0,2.0,,,,
80,docopt,docopt/docopt,"Pythonic command line arguments parser, that will make you smile.",,cli-helpers,https://github.com/docopt/docopt,https://github.com/docopt/docopt,MIT,2012-04-07 17:45:14.000,2020-10-19 14:28:53.000,2018-08-27 18:02:16.000,541,250.0,171.0,7289,2014-06-16 11:18:57.000,0.6.2,11.0,31,30,False,conda-forge/docopt,docopt,447.0,,2652636.0,64976.0,43726.0,https://pypi.org/project/docopt,2014-06-16 11:18:57.000,21250.0,2639132.0,https://anaconda.org/conda-forge/docopt,2018-07-06 22:39:53.718,783246.0,2.0,,,,
81,mysqlclient,PyMySQL/mysqlclient,MySQL database connector for Python (with Python 3 support).,,db-clients,https://github.com/PyMySQL/mysqlclient,https://github.com/PyMySQL/mysqlclient,GPL-2.0,2014-04-28 05:09:06.000,2021-01-19 11:33:14.000,2021-01-08 08:39:31.000,307,8.0,246.0,1862,2021-01-01 13:12:02.000,2.0.3,31.0,64,30,True,conda-forge/mysqlclient,mysqlclient,992.0,5162.0,1266791.0,13536.0,,https://pypi.org/project/mysqlclient,2021-01-01 13:12:02.000,13536.0,1264511.0,https://anaconda.org/conda-forge/mysqlclient,2021-01-04 18:11:27.841,61133.0,2.0,,,,
82,Motor,mongodb/motor,Motor - the async Python driver for MongoDB and Tornado or asyncio.,,db-clients,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44.000,2021-02-04 00:19:45.000,2021-02-04 00:10:54.000,145,,,1634,2021-02-04 00:19:45.000,2.3.1,35.0,28,30,True,conda-forge/motor,motor,1613.0,,124057.0,5402.0,3612.0,https://pypi.org/project/motor,2021-02-04 00:19:45.000,1790.0,123649.0,https://anaconda.org/conda-forge/motor,2020-11-20 20:00:39.143,10627.0,2.0,,,,
83,Ibis,ibis-project/ibis,"A pandas-like deferred expression system, with first-class SQL support.",,db-clients,https://github.com/ibis-project/ibis,https://github.com/ibis-project/ibis,Apache-2.0,2015-04-17 20:43:46.000,2021-02-03 22:50:42.000,2021-02-03 22:50:41.000,251,527.0,944.0,1503,2020-11-11 16:01:20.000,1.4.0,24.0,72,30,True,conda-forge/ibis-framework,ibis-framework,1336.0,,805343.0,193.0,145.0,https://pypi.org/project/ibis-framework,2020-11-11 16:01:20.000,48.0,802545.0,https://anaconda.org/conda-forge/ibis-framework,2020-11-13 03:18:14.785,162325.0,2.0,2.0,,,
84,Cassandra Driver,datastax/python-driver,DataStax Python Driver for Apache Cassandra.,,db-clients,https://github.com/datastax/python-driver,https://github.com/datastax/python-driver,Apache-2.0,2013-07-08 19:02:31.000,2021-02-01 18:42:20.000,2021-02-01 18:42:19.000,451,11.0,,1216,2020-06-18 14:44:49.000,3.24.0,70.0,174,30,True,conda-forge/cassandra-driver,cassandra-driver,5940.0,,416107.0,3628.0,2442.0,https://pypi.org/project/cassandra-driver,2020-06-18 14:44:49.000,1186.0,414757.0,https://anaconda.org/conda-forge/cassandra-driver,2020-10-12 14:49:43.415,62141.0,2.0,,,,
85,cloudpickle,cloudpipe/cloudpickle,Extended pickling support for Python objects.,,serialization,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,BSD-3-Clause,2015-04-13 16:33:00.000,2021-01-22 10:46:20.000,2020-09-22 10:15:29.000,101,50.0,130.0,880,2020-08-25 22:32:04.000,1.6.0,33.0,44,30,True,conda-forge/cloudpickle,cloudpickle,376.0,16.0,4207384.0,35983.0,31881.0,https://pypi.org/project/cloudpickle,2020-08-25 22:32:04.000,4102.0,4143962.0,https://anaconda.org/conda-forge/cloudpickle,2020-08-26 00:05:03.165,3741916.0,3.0,,,,
86,typing,python/typing,Work related to PEP 484: typing.py and typing_extensions.py (both released via PyPI) and issue tracker for type system..,,compatibility,https://github.com/python/typing,https://github.com/python/typing,Python-2.0,2014-09-29 16:54:42.000,2021-01-21 09:40:54.000,2021-01-02 16:15:15.000,130,115.0,432.0,860,2019-06-19 22:31:20.000,3.7.4,15.0,58,30,True,conda-forge/typing,typing,530.0,,3956496.0,36498.0,28064.0,https://pypi.org/project/typing,2020-07-13 23:19:42.000,8434.0,3945431.0,https://anaconda.org/conda-forge/typing,2020-12-18 12:29:40.192,652846.0,2.0,,,,
87,SQLAlchemy-Utils,kvesteri/sqlalchemy-utils,Various utility functions and datatypes for SQLAlchemy.,,db-clients,https://github.com/kvesteri/sqlalchemy-utils,https://github.com/kvesteri/sqlalchemy-utils,BSD-3-Clause,2013-02-18 16:48:22.000,2021-01-23 15:59:44.000,2020-09-27 16:29:53.000,220,175.0,138.0,728,2020-07-08 08:34:58.000,0.36.8,195.0,92,30,True,conda-forge/sqlalchemy-utils,sqlalchemy-utils,1224.0,,742361.0,12493.0,9143.0,https://pypi.org/project/sqlalchemy-utils,2020-07-08 08:34:58.000,3350.0,737901.0,https://anaconda.org/conda-forge/sqlalchemy-utils,2020-05-25 09:34:01.430,236415.0,2.0,,,,
88,multidict,aio-libs/multidict,The multidict implementation.,,data-structures,https://github.com/aio-libs/multidict,https://github.com/aio-libs/multidict,Apache-2.0,2016-02-06 14:52:32.000,2021-02-03 16:15:36.000,2021-02-03 16:11:00.000,58,9.0,113.0,221,2020-12-03 13:00:53.000,5.1.0,118.0,35,30,True,conda-forge/multidict,multidict,905.0,1486.0,19613174.0,5340.0,,https://pypi.org/project/multidict,2020-12-03 13:00:53.000,5340.0,19585396.0,https://anaconda.org/conda-forge/multidict,2021-01-11 01:59:51.390,1248817.0,2.0,,,,
89,pyasn1,etingof/pyasn1,Generic ASN.1 library for Python.,,serialization,https://github.com/etingof/pyasn1,https://github.com/etingof/pyasn1,BSD-2-Clause,2016-02-24 22:30:54.000,2020-10-24 20:32:47.000,2020-03-21 18:06:04.000,78,42.0,61.0,170,2019-11-16 17:27:13.000,0.4.8,34.0,16,30,True,conda-forge/pyasn1,pyasn1,970.0,,29758663.0,135570.0,107276.0,https://pypi.org/project/pyasn1,2019-11-16 17:27:13.000,28294.0,29702449.0,https://anaconda.org/conda-forge/pyasn1,2019-11-17 02:42:05.143,3035607.0,3.0,,,,
90,s3transfer,boto/s3transfer,Amazon S3 Transfer Manager for Python.,,db-clients,https://github.com/boto/s3transfer,https://github.com/boto/s3transfer,Apache-2.0,2016-01-12 23:19:42.000,2021-01-11 22:36:42.594,2021-01-11 19:22:19.000,67,37.0,19.0,105,2021-01-11 20:43:16.000,0.3.4,22.0,19,30,True,conda-forge/s3transfer,s3transfer,450.0,,36656330.0,67349.0,59463.0,https://pypi.org/project/s3transfer,2021-01-11 20:43:16.000,7886.0,36586383.0,https://anaconda.org/conda-forge/s3transfer,2021-01-11 22:36:42.594,3847122.0,2.0,,,,
91,cpython,python/cpython,The Python programming language.,,python-implementations,https://github.com/python/cpython,https://github.com/python/cpython,MIT,2017-02-10 19:23:51.000,2021-02-04 07:02:02.000,2021-02-03 23:32:55.000,17665,1418.0,,35994,2020-07-22 03:00:52.000,0.0.6,6.0,1589,29,True,,cpython,109089.0,,2391.0,,,https://pypi.org/project/cpython,2020-07-22 03:00:52.000,,2391.0,,,,1.0,,,,
92,boltons,mahmoud/boltons,"Like builtins, but boltons. 250+ constructs, recipes, and snippets which extend (and rely on nothing but) the Python..",,utilities,https://github.com/mahmoud/boltons,https://github.com/mahmoud/boltons,BSD-3-Clause,2013-02-20 06:17:12.000,2021-01-19 16:05:06.000,2021-01-06 16:25:35.000,283,39.0,87.0,5369,2020-06-22 05:38:57.000,20.2.1,48.0,67,29,True,conda-forge/boltons,boltons,1478.0,19.0,335035.0,1739.0,1247.0,https://pypi.org/project/boltons,2020-08-12 01:27:41.000,492.0,328159.0,https://anaconda.org/conda-forge/boltons,2020-08-12 19:46:43.662,391962.0,2.0,,,,
93,pendulum,sdispater/pendulum,Python datetimes made easy.,,date-time-utils,https://github.com/sdispater/pendulum,https://github.com/sdispater/pendulum,MIT,2016-06-27 23:37:53.000,2020-12-14 10:32:51.000,2020-07-24 18:00:50.000,235,170.0,221.0,4256,2020-07-24 18:17:05.000,2.1.2,52.0,66,29,True,conda-forge/pendulum,pendulum,696.0,,1286652.0,1080.0,,https://pypi.org/project/pendulum,2020-07-24 18:16:40.000,1080.0,1280222.0,https://anaconda.org/conda-forge/pendulum,2020-11-08 21:57:25.850,282944.0,3.0,,,,
94,transitions,pytransitions/transitions,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",,algorithms,https://github.com/pytransitions/transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09.000,2021-02-01 16:20:40.000,2021-02-01 16:20:39.000,416,10.0,346.0,3448,2020-12-28 20:08:50.000,0.8.6,41.0,63,29,True,conda-forge/transitions,transitions,856.0,,111935.0,1856.0,1504.0,https://pypi.org/project/transitions,2020-12-28 20:07:00.000,352.0,111303.0,https://anaconda.org/conda-forge/transitions,2020-12-29 00:19:34.651,12649.0,1.0,,,,
95,clint,kennethreitz-archive/clint,Python Command-line Application Tools.,,cli-helpers,https://github.com/kennethreitz-archive/clint,https://github.com/kennethreitz-archive/clint,ISC,2010-10-12 02:40:00.000,2020-12-02 15:03:23.000,2017-09-02 04:38:47.000,226,32.0,41.0,2480,2015-08-25 16:13:43.000,0.5.1,17.0,64,29,False,conda-forge/clint,clint,372.0,92.0,118025.0,4900.0,2908.0,https://pypi.org/project/clint,2015-08-25 16:11:19.000,1992.0,117423.0,https://anaconda.org/conda-forge/clint,2018-07-09 09:37:09.782,34288.0,3.0,,,,
96,confluent-kafka-python,confluentinc/confluent-kafka-python,Confluent's Kafka Python Client.,,db-clients,https://github.com/confluentinc/confluent-kafka-python,https://github.com/confluentinc/confluent-kafka-python,Apache-2.0,2016-04-14 07:40:41.000,2021-02-01 12:12:46.000,2021-01-27 17:27:51.000,575,145.0,592.0,2126,2020-07-22 08:23:51.000,1.5.0,20.0,66,29,True,,confluent-kafka,662.0,,764726.0,2355.0,2053.0,https://pypi.org/project/confluent-kafka,2020-07-22 07:50:57.000,302.0,764726.0,,,,3.0,,,,
97,addict,mewwts/addict,The Python Dict that's better than heroin.,,data-structures,https://github.com/mewwts/addict,https://github.com/mewwts/addict,MIT,2014-12-10 06:55:25.000,2021-01-05 07:16:39.000,2021-01-05 07:16:38.000,122,7.0,62.0,2004,2020-11-21 16:20:20.000,2.4.0,31.0,31,29,True,conda-forge/addict,addict,229.0,14.0,1500147.0,1650.0,1280.0,https://pypi.org/project/addict,2020-11-21 16:21:29.000,370.0,1497048.0,https://anaconda.org/conda-forge/addict,2020-10-11 11:33:21.339,170463.0,2.0,,,,
98,pyodbc,mkleehammer/pyodbc,Python ODBC bridge.,,db-clients,https://github.com/mkleehammer/pyodbc,https://github.com/mkleehammer/pyodbc,MIT,2008-10-03 15:19:37.000,2021-01-31 03:23:33.000,2021-01-22 04:07:40.000,407,215.0,526.0,1982,2020-02-08 18:09:57.000,4.0.30,48.0,42,29,True,conda-forge/pyodbc,pyodbc,360.0,,2838423.0,3262.0,,https://pypi.org/project/pyodbc,2020-02-10 15:43:28.000,3262.0,2828608.0,https://anaconda.org/conda-forge/pyodbc,2021-01-14 14:29:57.389,412264.0,3.0,,,,
99,python-decouple,henriquebastos/python-decouple,Strict separation of config from code.,,configuration,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08.000,2021-01-05 16:16:35.790,2021-01-05 14:37:00.000,130,16.0,48.0,1619,2021-01-05 14:38:53.000,3.4,8.0,21,29,True,conda-forge/python-decouple,python-decouple,151.0,,110921.0,37726.0,31702.0,https://pypi.org/project/python-decouple,2021-01-05 14:39:25.000,6024.0,110610.0,https://anaconda.org/conda-forge/python-decouple,2021-01-05 16:16:35.790,12788.0,2.0,,,,
100,PynamoDB,pynamodb/PynamoDB,A pythonic interface to Amazon's DynamoDB.,,db-clients,https://github.com/pynamodb/PynamoDB,https://github.com/pynamodb/PynamoDB,MIT,2014-01-20 02:18:35.000,2021-01-28 16:42:49.000,2021-01-28 16:42:45.000,347,198.0,255.0,1470,2021-01-27 22:08:56.000,5.0.0,71.0,88,29,True,conda-forge/pynamodb,pynamodb,733.0,,233454.0,891.0,655.0,https://pypi.org/project/pynamodb,2021-01-27 22:10:05.000,236.0,230045.0,https://anaconda.org/conda-forge/pynamodb,2021-01-28 01:01:21.546,61366.0,3.0,,,,
101,aiofiles,Tinche/aiofiles,File support for asyncio.,,file-path-utils,https://github.com/Tinche/aiofiles,https://github.com/Tinche/aiofiles,Apache-2.0,2015-03-29 20:28:14.000,2020-12-06 12:37:19.000,2020-10-27 17:37:34.000,100,39.0,27.0,1436,2020-10-27 17:36:43.000,0.6.0,9.0,18,29,True,conda-forge/aiofiles,aiofiles,109.0,,6806587.0,14541.0,12981.0,https://pypi.org/project/aiofiles,2020-10-27 17:36:43.000,1560.0,6802860.0,https://anaconda.org/conda-forge/aiofiles,2020-10-28 12:43:19.642,149098.0,2.0,,,,
102,dill,uqfoundation/dill,serialize all of python.,,serialization,https://github.com/uqfoundation/dill,https://github.com/uqfoundation/dill,BSD-3-Clause,2013-06-28 16:42:27.000,2021-01-03 23:52:27.000,2021-01-03 23:52:15.000,116,134.0,200.0,1318,2020-11-02 00:16:47.000,dill-0.3.3,21.0,26,29,True,conda-forge/dill,dill,822.0,228885.0,2841740.0,4968.0,,https://pypi.org/project/dill,2020-11-02 00:12:59.000,4968.0,2820700.0,https://anaconda.org/conda-forge/dill,2020-11-02 10:29:29.900,1032673.0,3.0,,,,
103,humanize,jmoiron/humanize,python humanize functions.,,text,https://github.com/jmoiron/humanize,https://github.com/jmoiron/humanize,MIT,2011-10-07 23:44:01.000,2021-01-31 04:18:56.000,2020-12-12 17:10:37.000,136,21.0,43.0,1314,2020-12-12 17:34:26.000,3.2.0,19.0,42,29,True,conda-forge/humanize,humanize,377.0,,880232.0,2904.0,,https://pypi.org/project/humanize,2020-10-19 20:03:31.000,2904.0,877872.0,https://anaconda.org/conda-forge/humanize,2020-12-12 18:31:59.345,132180.0,2.0,,,,
104,pygsheets,nithinmurali/pygsheets,Google Sheets Python API v4.,,db-clients,https://github.com/nithinmurali/pygsheets,https://github.com/nithinmurali/pygsheets,MIT,2016-06-06 17:20:44.000,2021-02-04 14:11:39.000,2021-02-03 08:48:16.000,171,26.0,295.0,1103,2021-01-18 20:37:14.000,2.0.4,16.0,69,29,True,,pygsheets,990.0,,1847211.0,684.0,580.0,https://pypi.org/project/pygsheets,2021-01-18 20:37:14.000,104.0,1847211.0,,,,3.0,1.0,,,
105,argcomplete,kislyuk/argcomplete,"Python and tab completion, better together.",,cli-helpers,https://github.com/kislyuk/argcomplete,https://github.com/kislyuk/argcomplete,Apache-2.0,2012-11-19 15:37:34.000,2021-02-04 06:47:29.000,2021-01-22 07:56:05.000,99,36.0,145.0,930,2020-11-24 04:10:47.000,1.12.2,99.0,53,29,True,conda-forge/argcomplete,argcomplete,596.0,124.0,1637529.0,11431.0,8607.0,https://pypi.org/project/argcomplete,2020-11-24 04:10:47.000,2824.0,1634149.0,https://anaconda.org/conda-forge/argcomplete,2020-11-24 07:29:57.001,162189.0,3.0,,,,
106,redis-py-cluster,grokzen/redis-py-cluster,Python cluster client for the official redis cluster. Redis 3.0+.,,db-clients,https://github.com/Grokzen/redis-py-cluster,https://github.com/Grokzen/redis-py-cluster,MIT,2013-05-21 06:41:34.000,2021-02-03 16:31:27.000,2020-12-26 12:24:07.000,277,24.0,216.0,924,2020-09-25 23:10:37.000,2.1.0,16.0,67,29,True,,redis-py-cluster,721.0,2342.0,684235.0,1093.0,799.0,https://pypi.org/project/redis-py-cluster,2020-09-25 23:07:19.000,294.0,684204.0,,,,3.0,,,,
107,jsonpickle,jsonpickle/jsonpickle,Python library for serializing any arbitrary object graph into JSON. It can take almost any Python object and turn the..,,serialization,https://github.com/jsonpickle/jsonpickle,https://github.com/jsonpickle/jsonpickle,BSD-3-Clause,2009-12-10 03:59:23.000,2021-02-04 10:03:53.000,2021-02-03 19:34:37.000,139,63.0,180.0,891,2021-01-31 05:57:12.000,1.5.1,27.0,61,29,True,conda-forge/jsonpickle,jsonpickle,1123.0,,2990049.0,3348.0,,https://pypi.org/project/jsonpickle,2021-01-31 05:57:12.000,3348.0,2976020.0,https://anaconda.org/conda-forge/jsonpickle,2020-04-22 18:31:13.089,589233.0,3.0,,,,
108,cachetools,tkem/cachetools,Extensible memoizing collections and decorators.,,caching,https://github.com/tkem/cachetools,https://github.com/tkem/cachetools,MIT,2014-03-22 10:15:14.000,2021-01-25 06:25:33.809,2021-01-24 20:35:22.000,98,11.0,163.0,875,2021-01-24 22:40:11.000,4.2.1,36.0,5,29,True,conda-forge/cachetools,cachetools,201.0,,14050773.0,4436.0,,https://pypi.org/project/cachetools,2021-01-24 22:40:11.000,4436.0,14013005.0,https://anaconda.org/conda-forge/cachetools,2021-01-25 06:25:33.809,1963974.0,1.0,,,,
109,py4j,bartdag/py4j,Py4J enables Python programs to dynamically access arbitrary Java objects.,,others,https://github.com/bartdag/py4j,https://github.com/bartdag/py4j,BSD-3-Clause,2010-11-02 20:58:18.000,2021-02-04 09:27:20.000,2020-09-07 14:38:47.000,146,122.0,241.0,787,2020-01-25 14:40:31.000,0.10.9,26.0,28,29,True,conda-forge/py4j,py4j,738.0,,5400551.0,6085.0,5003.0,https://pypi.org/project/py4j,2020-09-07 15:43:56.000,1082.0,5386531.0,https://anaconda.org/conda-forge/py4j,2020-06-10 17:37:08.340,757091.0,3.0,,,,
