,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,new_addition,labels
31,MongoEngine,MongoEngine/mongoengine,A Python Object-Document-Mapper for working with MongoDB.,,db-clients,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20.000,2021-01-12 22:10:54.000,2021-01-12 22:10:53.000,1119,338.0,1177.0,3390,2020-12-16 22:08:28.000,0.22.1,64.0,359,34,True,conda-forge/mongoengine,mongoengine,3806.0,,335095.0,18941.0,12229.0,https://pypi.org/project/mongoengine,2020-12-16 22:13:11.000,6712.0,333165.0,https://anaconda.org/conda-forge/mongoengine,2020-12-17 17:41:13.762,104225.0,2.0,,,True,
32,attrs,python-attrs/attrs,Python Classes Without Boilerplate.,,utilities,https://github.com/python-attrs/attrs,https://github.com/python-attrs/attrs,MIT,2015-01-27 15:01:01.000,2021-01-29 10:12:42.000,2021-01-29 10:09:02.000,240,99.0,350.0,3370,2020-11-05 10:11:24.000,20.3.0,20.0,95,34,True,conda-forge/attrs,attrs,823.0,,21144486.0,226054.0,198070.0,https://pypi.org/project/attrs,2020-11-05 10:04:47.000,27984.0,20999196.0,https://anaconda.org/conda-forge/attrs,2020-11-11 08:40:48.051,6828674.0,1.0,,,,
33,colorama,tartley/colorama,Simple cross-platform colored terminal text in Python.,,cli-helpers,https://github.com/tartley/colorama,https://github.com/tartley/colorama,BSD-3-Clause,2014-04-17 20:18:25.000,2021-01-03 16:45:33.000,2020-12-30 18:15:59.000,177,114.0,100.0,2363,2020-10-13 02:42:26.000,0.4.4,42.0,39,34,True,conda-forge/colorama,colorama,286.0,,22369897.0,192634.0,161018.0,https://pypi.org/project/colorama,2020-10-13 02:42:26.000,31616.0,22321439.0,https://anaconda.org/conda-forge/colorama,2020-10-16 16:43:32.974,2810569.0,2.0,,,,
34,pexpect,pexpect/pexpect,A Python module for controlling interactive programs in a pseudo-terminal.,,process-utils,https://github.com/pexpect/pexpect,https://github.com/pexpect/pexpect,ISC,2013-09-17 17:36:44.000,2021-01-13 10:33:10.000,2020-05-16 18:24:44.000,415,145.0,255.0,1967,2020-01-21 16:37:03.000,4.8.0,17.0,91,34,True,conda-forge/pexpect,pexpect,1549.0,3933.0,8360625.0,149441.0,118739.0,https://pypi.org/project/pexpect,2020-01-21 16:37:03.000,30702.0,8291001.0,https://anaconda.org/conda-forge/pexpect,2020-10-12 20:49:05.189,4035660.0,1.0,,,,
35,future,PythonCharmers/python-future,"Easy, clean, reliable Python 2/3 compatibility.",,compatibility,https://github.com/PythonCharmers/python-future,https://github.com/PythonCharmers/python-future,MIT,2013-07-14 13:57:47.000,2021-01-20 19:36:37.000,2020-11-27 05:54:10.000,257,186.0,194.0,1111,2020-06-13 02:43:44.000,0.18.2,50.0,104,34,True,conda-forge/future,future,1831.0,,11900626.0,152737.0,124369.0,https://pypi.org/project/future,2019-10-31 00:58:13.000,28368.0,11845605.0,https://anaconda.org/conda-forge/future,2021-01-08 23:20:36.090,3026204.0,1.0,,,,
36,six,benjaminp/six,Python 2 and 3 compatibility library.,,compatibility,https://github.com/benjaminp/six,https://github.com/benjaminp/six,MIT,2016-05-10 07:24:51.054,2021-01-28 14:48:17.000,2021-01-28 14:48:16.000,189,104.0,171.0,738,2020-05-21 15:25:54.000,1.15.0,27.0,62,34,True,conda-forge/six,six,517.0,,53567841.0,1018097.0,774077.0,https://pypi.org/project/six,2020-05-21 15:25:54.000,244020.0,53330567.0,https://anaconda.org/conda-forge/six,2020-05-21 17:15:14.356,13524648.0,1.0,,,,
37,Pygments,pygments/pygments,Pygments is a generic syntax highlighter written in Python.,,others,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2016-04-12 07:50:11.354,2021-02-03 13:48:10.000,2021-01-30 14:08:49.000,718,348.0,1089.0,495,2021-01-12 07:12:57.000,2.7.4,47.0,583,34,True,conda-forge/pygments,pygments,5454.0,,11609565.0,67766.0,,https://pypi.org/project/pygments,2021-01-12 07:11:24.000,67766.0,11515814.0,https://anaconda.org/conda-forge/pygments,2021-01-15 20:33:52.347,5437573.0,1.0,,,,
38,traitlets,ipython/traitlets,A lightweight Traits like module.,,configuration,https://github.com/ipython/traitlets,https://github.com/ipython/traitlets,BSD-3-Clause,2013-12-06 20:45:45.000,2021-01-31 00:24:30.000,2020-10-15 10:38:47.000,152,70.0,135.0,399,2020-10-15 10:39:45.000,5.0.5,24.0,97,34,True,conda-forge/traitlets,traitlets,1645.0,,7252118.0,164763.0,136739.0,https://pypi.org/project/traitlets,2020-10-15 10:39:45.000,28024.0,7154039.0,https://anaconda.org/conda-forge/traitlets,2020-10-15 14:20:57.286,5688609.0,1.0,,,,
39,python-fire,google/python-fire,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,,cli-helpers,https://github.com/google/python-fire,https://github.com/google/python-fire,Apache-2.0,2017-02-21 21:35:07.000,2021-01-25 18:22:21.000,2021-01-25 18:21:42.000,1119,88.0,134.0,18592,2021-01-22 18:12:10.000,0.4.0,9.0,45,33,True,conda-forge/fire,fire,257.0,,449507.0,7599.0,6431.0,https://pypi.org/project/fire,2021-01-22 18:11:49.000,1168.0,447464.0,https://anaconda.org/conda-forge/fire,2021-01-22 19:55:20.738,89896.0,2.0,,,,
40,flatbuffers,google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library.,,serialization,https://github.com/google/flatbuffers,https://github.com/google/flatbuffers,Apache-2.0,2014-05-19 18:33:01.000,2021-02-04 11:55:54.000,2021-02-03 23:01:18.000,2429,160.0,1442.0,15734,2020-03-12 22:47:55.000,1.12.0,17.0,466,33,True,conda-forge/flatbuffers,flatbuffers,2164.0,27047.0,1279834.0,927.0,755.0,https://pypi.org/project/flatbuffers,2020-03-12 23:34:51.000,172.0,1275615.0,https://anaconda.org/conda-forge/flatbuffers,2020-11-23 13:28:55.262,221264.0,1.0,,,,
