,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,projectrank,show,fork_count,closed_issue_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,labels,trending
85,Motor,mongodb/motor,Motor - the async Python driver for MongoDB and Tornado or asyncio.,,db-clients,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44.000,2021-01-13 05:08:12.000,2020-09-24 23:47:34.000,1624,2020-09-24 23:26:10.000,2.3.0,34.0,30,True,140.0,,28.0,conda-forge/motor,motor,1.0,1609.0,,128247.0,5253.0,3463.0,https://pypi.org/project/motor,2020-09-24 23:19:56.000,1790.0,127832.0,https://anaconda.org/conda-forge/motor,2020-11-20 20:00:39.143,10393.0,2.0,,,
86,dill,uqfoundation/dill,serialize all of python.,,serialization,https://github.com/uqfoundation/dill,https://github.com/uqfoundation/dill,BSD-3-Clause,2013-06-28 16:42:27.000,2021-01-03 23:52:27.000,2021-01-03 23:52:15.000,1303,2020-11-02 00:16:47.000,dill-0.3.3,21.0,30,True,116.0,198.0,26.0,conda-forge/dill,dill,134.0,822.0,228038.0,4077499.0,4968.0,,https://pypi.org/project/dill,2020-11-02 00:12:59.000,4968.0,4056445.0,https://anaconda.org/conda-forge/dill,2020-11-02 10:29:29.900,1013866.0,3.0,,,
87,typing,python/typing,Work related to PEP 484: typing.py and typing_extensions.py (both released via PyPI) and issue tracker for type system..,,compatibility,https://github.com/python/typing,https://github.com/python/typing,Python-2.0,2014-09-29 16:54:42.000,2021-01-03 16:09:40.000,2021-01-02 16:15:15.000,847,2019-06-19 22:31:20.000,3.7.4,15.0,30,True,125.0,432.0,58.0,conda-forge/typing,typing,110.0,530.0,,5594283.0,36059.0,27625.0,https://pypi.org/project/typing,2020-07-13 23:19:42.000,8434.0,5583154.0,https://anaconda.org/conda-forge/typing,2020-12-18 12:29:40.192,645529.0,2.0,,,
88,SQLAlchemy-Utils,kvesteri/sqlalchemy-utils,Various utility functions and datatypes for SQLAlchemy.,,db-clients,https://github.com/kvesteri/sqlalchemy-utils,https://github.com/kvesteri/sqlalchemy-utils,BSD-3-Clause,2013-02-18 16:48:22.000,2021-01-05 10:04:59.000,2020-09-27 16:29:53.000,713,2020-07-08 08:34:58.000,0.36.8,195.0,30,True,210.0,137.0,91.0,conda-forge/sqlalchemy-utils,sqlalchemy-utils,166.0,1224.0,,823574.0,12236.0,8886.0,https://pypi.org/project/sqlalchemy-utils,2020-07-08 08:34:58.000,3350.0,819109.0,https://anaconda.org/conda-forge/sqlalchemy-utils,2020-05-25 09:34:01.430,232180.0,2.0,,,
89,bcrypt,pyca/bcrypt,Modern(-ish) password hashing for your software and your servers.,,cryptography,https://github.com/pyca/bcrypt,https://github.com/pyca/bcrypt,Apache-2.0,2013-05-11 02:03:55.000,2021-01-13 11:11:39.403,2020-12-23 02:11:29.000,697,2020-08-16 17:22:44.000,3.2.0,16.0,30,True,93.0,83.0,26.0,conda-forge/bcrypt,bcrypt,1.0,215.0,,8016157.0,14850.0,,https://pypi.org/project/bcrypt,2020-08-16 17:22:44.000,14850.0,7995767.0,https://anaconda.org/conda-forge/bcrypt,2021-01-13 11:11:39.403,530142.0,3.0,,,
90,multidict,aio-libs/multidict,The multidict implementation.,,data-structures,https://github.com/aio-libs/multidict,https://github.com/aio-libs/multidict,Apache-2.0,2016-02-06 14:52:32.000,2021-01-11 01:59:51.390,2021-01-08 06:28:31.000,217,2020-12-03 13:00:53.000,5.1.0,118.0,30,True,57.0,112.0,35.0,conda-forge/multidict,multidict,9.0,892.0,1315.0,21403275.0,5340.0,,https://pypi.org/project/multidict,2020-12-03 13:00:53.000,5340.0,21377734.0,https://anaconda.org/conda-forge/multidict,2021-01-11 01:59:51.390,1122750.0,2.0,,,
91,pyasn1,etingof/pyasn1,Generic ASN.1 library for Python.,,serialization,https://github.com/etingof/pyasn1,https://github.com/etingof/pyasn1,BSD-2-Clause,2016-02-24 22:30:54.000,2020-10-24 20:32:47.000,2020-03-21 18:06:04.000,170,2019-11-16 17:27:13.000,0.4.8,34.0,30,True,77.0,61.0,16.0,conda-forge/pyasn1,pyasn1,42.0,970.0,,43027685.0,132077.0,103783.0,https://pypi.org/project/pyasn1,2019-11-16 17:27:13.000,28294.0,42973183.0,https://anaconda.org/conda-forge/pyasn1,2019-11-17 02:42:05.143,2888609.0,3.0,,,
92,s3transfer,boto/s3transfer,Amazon S3 Transfer Manager for Python.,,db-clients,https://github.com/boto/s3transfer,https://github.com/boto/s3transfer,Apache-2.0,2016-01-12 23:19:42.000,2021-01-11 22:36:42.594,2021-01-11 19:22:19.000,99,2021-01-11 20:43:16.000,0.3.4,22.0,30,False,67.0,19.0,19.0,conda-forge/s3transfer,s3transfer,37.0,450.0,,51993529.0,64916.0,57030.0,https://pypi.org/project/s3transfer,2021-01-11 20:43:16.000,7886.0,51926065.0,https://anaconda.org/conda-forge/s3transfer,2021-01-11 22:36:42.594,3643102.0,2.0,,,
93,cpython,python/cpython,The Python programming language.,,python-implementations,https://github.com/python/cpython,https://github.com/python/cpython,MIT,2017-02-10 19:23:51.000,2021-01-14 09:40:10.000,2021-01-14 09:40:09.000,35601,2020-07-22 03:00:52.000,0.0.6,6.0,29,True,17449.0,,1573.0,,cpython,1412.0,108979.0,,3665.0,,,https://pypi.org/project/cpython,2020-07-22 03:00:52.000,,3665.0,,,,1.0,,,
94,pendulum,sdispater/pendulum,Python datetimes made easy.,,date-time-utils,https://github.com/sdispater/pendulum,https://github.com/sdispater/pendulum,MIT,2016-06-27 23:37:53.000,2020-12-14 10:32:51.000,2020-07-24 18:00:50.000,4241,2020-07-24 18:17:05.000,2.1.2,52.0,29,True,235.0,221.0,66.0,conda-forge/pendulum,pendulum,170.0,696.0,,1700045.0,1080.0,,https://pypi.org/project/pendulum,2020-07-24 18:16:40.000,1080.0,1693619.0,https://anaconda.org/conda-forge/pendulum,2020-11-08 21:57:25.850,276330.0,3.0,,,
95,transitions,pytransitions/transitions,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",,algorithms,https://github.com/pytransitions/transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09.000,2020-12-29 00:19:34.651,2020-12-28 20:07:51.000,3402,2020-12-28 20:08:50.000,0.8.6,41.0,29,True,412.0,338.0,63.0,conda-forge/transitions,transitions,5.0,848.0,,121750.0,1824.0,1472.0,https://pypi.org/project/transitions,2020-12-28 20:07:00.000,352.0,121108.0,https://anaconda.org/conda-forge/transitions,2020-12-29 00:19:34.651,12200.0,1.0,,,
96,tenacity,jd/tenacity,Retrying library for Python.,,utilities,https://github.com/jd/tenacity,https://github.com/jd/tenacity,Apache-2.0,2016-08-11 12:44:02.000,2020-12-25 23:07:11.000,2020-12-16 19:21:40.000,2712,2020-12-16 19:21:05.000,6.3.1,44.0,29,True,142.0,110.0,58.0,conda-forge/tenacity,tenacity,48.0,403.0,,3462548.0,792.0,,https://pypi.org/project/tenacity,2020-12-16 19:21:05.000,792.0,3451832.0,https://anaconda.org/conda-forge/tenacity,2020-12-16 21:25:29.601,471516.0,2.0,,,
