,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,projectrank,show,fork_count,closed_issue_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,labels,trending
119,Records,kennethreitz42/records,SQL for Humans.,,db-clients,https://github.com/kennethreitz42/records,https://github.com/kennethreitz42/records,ISC,2014-12-24 15:20:23.000,2020-12-22 07:29:21.000,2020-12-22 07:29:21.000,6488,2019-02-21 13:34:41.000,0.5.3,10.0,28,True,539.0,81.0,37.0,conda-forge/records,records,56.0,325.0,,176457.0,1013.0,713.0,https://pypi.org/project/records,2019-02-21 13:34:41.000,300.0,176091.0,https://anaconda.org/conda-forge/records,2018-01-15 04:48:02.550,16493.0,3.0,,,
120,Eel,ChrisKnott/Eel,A little Python library for making simple Electron-like HTML/JS GUI apps.,,gui-dev,https://github.com/ChrisKnott/Eel,https://github.com/ChrisKnott/Eel,MIT,2017-12-27 21:37:12.000,2020-12-12 22:37:40.000,2020-08-17 17:56:57.000,4080,2020-08-17 18:18:21.000,0.14.0,36.0,28,True,390.0,252.0,36.0,,eel,91.0,255.0,,20926.0,1369.0,1299.0,https://pypi.org/project/eel,2020-08-17 18:18:21.000,70.0,20926.0,,,,2.0,,,
121,dataset,pudo/dataset,"Easy-to-use data handling for SQL data stores with support for implicit table creation, bulk loading, and transactions.",,db-clients,https://github.com/pudo/dataset,https://github.com/pudo/dataset,MIT,2013-04-01 14:57:55.000,2020-12-30 21:35:43.000,2020-12-30 21:33:06.000,3962,2020-12-30 21:35:43.000,1.4.3,48.0,28,True,260.0,236.0,71.0,,dataset,11.0,662.0,,39185.0,2786.0,1758.0,https://pypi.org/project/dataset,2020-12-30 21:35:43.000,1028.0,39185.0,,,,3.0,,,
122,blessings,erikrose/blessings,"A thin, practical wrapper around terminal capabilities in Python.",,cli-helpers,https://github.com/erikrose/blessings,https://github.com/erikrose/blessings,MIT,2011-11-07 10:09:09.000,2021-01-08 16:13:56.643,2020-10-20 23:43:16.000,1144,2018-01-03 17:03:36.000,1.6.1,10.0,28,True,93.0,53.0,16.0,conda-forge/blessings,blessings,30.0,177.0,,1366247.0,7027.0,4551.0,https://pypi.org/project/blessings,2018-06-21 14:00:07.000,2476.0,1365081.0,https://anaconda.org/conda-forge/blessings,2021-01-08 16:13:56.643,51310.0,3.0,,,
123,python-slugify,un33k/python-slugify,Returns unicode slugs.,,text,https://github.com/un33k/python-slugify,https://github.com/un33k/python-slugify,MIT,2012-10-15 01:44:50.000,2020-07-01 03:20:07.226,2020-06-30 03:22:04.000,964,2020-06-30 03:34:52.000,4.0.1,34.0,28,True,79.0,45.0,27.0,conda-forge/python-slugify,python-slugify,2.0,204.0,,1415596.0,17987.0,13663.0,https://pypi.org/project/python-slugify,2020-06-30 03:34:52.000,4324.0,1412084.0,https://anaconda.org/conda-forge/python-slugify,2020-07-01 03:20:07.226,182654.0,3.0,,,
124,deepdiff,seperman/deepdiff,Deep Difference and search of any Python object/data.,,inspect,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,MIT,2014-09-26 03:21:47.000,2021-01-14 07:37:25.000,2021-01-06 19:49:52.000,936,2021-01-02 02:46:02.000,5.2.1,55.0,28,True,124.0,108.0,48.0,conda-forge/deepdiff,deepdiff,27.0,763.0,,1480512.0,2481.0,1665.0,https://pypi.org/project/deepdiff,2021-01-01 07:25:25.000,816.0,1479658.0,https://anaconda.org/conda-forge/deepdiff,2021-01-02 02:46:42.589,33337.0,1.0,,,
125,sshtunnel,pahaz/sshtunnel,SSH tunnels to remote server.,,infrastructure,https://github.com/pahaz/sshtunnel,https://github.com/pahaz/sshtunnel,MIT,2014-06-11 21:14:05.000,2021-01-11 13:28:44.000,2021-01-11 13:12:20.000,760,2021-01-11 13:28:44.000,0.4.0,28.0,28,True,132.0,130.0,23.0,conda-forge/sshtunnel,sshtunnel,17.0,381.0,,458016.0,2186.0,1924.0,https://pypi.org/project/sshtunnel,2021-01-11 13:26:29.000,262.0,456844.0,https://anaconda.org/conda-forge/sshtunnel,2020-11-16 08:46:37.270,60959.0,3.0,,,
126,ConfigArgParse,bw2/ConfigArgParse,A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.,,cli-helpers,https://github.com/bw2/ConfigArgParse,https://github.com/bw2/ConfigArgParse,MIT,2014-06-25 00:27:02.000,2020-12-18 12:02:53.000,2020-04-24 03:43:37.000,446,2020-04-24 03:44:03.000,1.2.3,19.0,28,True,82.0,84.0,34.0,conda-forge/configargparse,configargparse,60.0,221.0,,512770.0,6829.0,4483.0,https://pypi.org/project/configargparse,2020-04-24 03:43:41.000,2346.0,509777.0,https://anaconda.org/conda-forge/configargparse,2020-04-26 00:40:45.776,158649.0,3.0,,,
127,minio,minio/minio-py,MinIO Client SDK for Python.,,db-clients,https://github.com/minio/minio-py,https://github.com/minio/minio-py,Apache-2.0,2015-06-17 03:51:15.000,2021-01-09 06:04:53.000,2021-01-09 06:04:51.000,386,2021-01-05 17:57:49.000,7.0.1,85.0,28,True,171.0,373.0,88.0,conda-forge/minio,minio,,1009.0,,155936.0,1558.0,1214.0,https://pypi.org/project/minio,2021-01-05 17:46:43.000,344.0,155065.0,https://anaconda.org/conda-forge/minio,2021-01-05 18:53:04.586,16550.0,3.0,,,
128,filelock,benediktschmitt/py-filelock,A platform independent file lock for Python.,,file-path-utils,https://github.com/benediktschmitt/py-filelock,https://github.com/benediktschmitt/py-filelock,Unlicense,2014-02-23 00:29:27.000,2020-12-07 12:29:05.000,2019-05-18 18:08:14.000,276,2019-05-18 18:07:01.000,3.0.12,30.0,28,False,47.0,36.0,11.0,conda-forge/filelock,filelock,22.0,112.0,,8359446.0,48127.0,44611.0,https://pypi.org/project/filelock,2019-05-18 18:07:01.000,3516.0,8311724.0,https://anaconda.org/conda-forge/filelock,2020-05-20 17:12:04.009,2624743.0,2.0,,,
129,Send2Trash,arsenetar/send2trash,Python library to natively send files to Trash (or Recycle bin) on all platforms.,,others,https://github.com/arsenetar/send2trash,https://github.com/arsenetar/send2trash,BSD-3-Clause,2013-07-19 22:13:14.000,2021-01-13 00:22:46.000,2021-01-13 00:22:23.000,162,2018-02-16 15:00:15.000,1.5.0,9.0,28,True,27.0,15.0,10.0,conda-forge/send2trash,send2trash,19.0,96.0,,8647690.0,72069.0,67029.0,https://pypi.org/project/send2trash,2020-06-19 03:10:00.000,5040.0,8586182.0,https://anaconda.org/conda-forge/send2trash,2018-02-18 14:32:15.731,2214319.0,3.0,,,
130,tzlocal,regebro/tzlocal,A Python module that tries to figure out what your local timezone is.,,date-time-utils,https://github.com/regebro/tzlocal,https://github.com/regebro/tzlocal,MIT,2012-09-11 12:34:21.000,2020-12-02 19:34:18.000,2020-09-30 10:49:58.000,123,2019-07-23 15:12:22.000,2.0.0,24.0,28,True,44.0,46.0,21.0,conda-forge/tzlocal,tzlocal,7.0,203.0,,8603765.0,6016.0,,https://pypi.org/project/tzlocal,2020-09-21 15:44:18.000,6016.0,8596041.0,https://anaconda.org/conda-forge/tzlocal,2020-05-08 12:02:04.590,424827.0,3.0,,,
131,ptyprocess,pexpect/ptyprocess,Run a subprocess in a pseudo terminal.,,process-utils,https://github.com/pexpect/ptyprocess,https://github.com/pexpect/ptyprocess,ISC,2014-10-02 16:52:41.000,2020-12-31 12:57:25.227,2020-12-28 15:13:57.000,119,2020-12-28 15:17:57.000,0.7.0,10.0,28,True,51.0,16.0,12.0,conda-forge/ptyprocess,ptyprocess,15.0,128.0,,12055546.0,25422.0,,https://pypi.org/project/ptyprocess,2020-12-28 15:15:28.000,25422.0,11991840.0,https://anaconda.org/conda-forge/ptyprocess,2020-12-31 12:57:25.227,3631261.0,3.0,,,
132,algorithms,keon/algorithms,Minimal examples of data structures and algorithms in Python.,,algorithms,https://github.com/keon/algorithms,https://github.com/keon/algorithms,MIT,2016-11-17 22:32:08.000,2020-12-17 14:23:34.000,2020-12-04 15:10:04.000,18538,2020-10-04 14:44:02.000,0.1.4,5.0,27,True,3763.0,84.0,161.0,,algorithms,146.0,897.0,,781.0,59.0,45.0,https://pypi.org/project/algorithms,2020-10-04 14:44:02.000,14.0,781.0,,,,3.0,,,
133,Gooey,chriskiehl/Gooey,Turn (almost) any Python command line program into a full GUI application with one line.,,gui-dev,https://github.com/chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,MIT,2014-01-01 21:06:05.000,2020-12-24 19:49:02.000,2020-12-20 01:39:17.000,10833,2020-12-20 01:40:37.000,1.0.8,54.0,27,True,647.0,370.0,99.0,conda-forge/gooey,gooey,65.0,730.0,34.0,2723.0,388.0,324.0,https://pypi.org/project/gooey,2020-05-08 03:35:06.000,64.0,1748.0,https://anaconda.org/conda-forge/gooey,2020-12-22 01:48:49.090,19471.0,2.0,,,
134,PySimpleGUI,PySimpleGUI/PySimpleGUI,PySimpleGUI is a Python package that enables Python programmers of all levels to create GUIs.,,gui-dev,https://github.com/PySimpleGUI/PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,LGPL-3.0,2018-07-11 18:28:58.000,2021-01-12 20:42:45.000,2021-01-12 20:42:44.000,5302,2021-01-02 21:42:46.000,4.33.0,139.0,27,True,857.0,1235.0,16.0,conda-forge/pysimplegui,pysimplegui,673.0,4398.0,,27541.0,1762.0,1680.0,https://pypi.org/project/pysimplegui,2021-01-02 21:42:46.000,82.0,26309.0,https://anaconda.org/conda-forge/pysimplegui,2021-01-04 14:34:08.002,20949.0,2.0,,,
135,asciimatics,peterbrittain/asciimatics,"A cross platform package to do curses-like operations, plus higher level APIs and widgets to create text UIs and ASCII..",,cli-helpers,https://github.com/peterbrittain/asciimatics,https://github.com/peterbrittain/asciimatics,Apache-2.0,2015-04-15 20:18:41.000,2021-01-12 03:15:28.127,2021-01-09 11:09:51.000,2527,2020-11-15 15:06:20.000,1.12.0,21.0,27,True,191.0,207.0,31.0,conda-forge/asciimatics,asciimatics,21.0,965.0,,8370.0,533.0,417.0,https://pypi.org/project/asciimatics,2020-11-15 15:06:20.000,116.0,6846.0,https://anaconda.org/conda-forge/asciimatics,2021-01-12 03:15:28.127,50317.0,3.0,,,
136,keyboard,boppreh/keyboard,Hook and simulate global keyboard events on Windows and Linux.,,others,https://github.com/boppreh/keyboard,https://github.com/boppreh/keyboard,MIT,2013-05-07 22:55:07.000,2020-08-24 03:54:23.000,2020-08-01 13:25:22.000,2206,2020-03-23 21:47:05.000,0.13.5,35.0,27,True,259.0,147.0,28.0,,keyboard,233.0,746.0,,60460.0,2743.0,2459.0,https://pypi.org/project/keyboard,2020-03-23 21:47:05.000,284.0,60460.0,,,,3.0,,,
137,Databases,encode/databases,Async database support for Python.,,db-clients,https://github.com/encode/databases,https://github.com/encode/databases,BSD-3-Clause,2019-02-01 10:55:25.000,2020-12-10 06:34:13.000,2020-12-10 06:34:11.000,1896,2020-11-16 20:54:58.000,0.4.1,29.0,27,True,133.0,88.0,28.0,conda-forge/databases,databases,88.0,268.0,,41895.0,1372.0,1312.0,https://pypi.org/project/databases,2020-11-16 20:54:58.000,60.0,38524.0,https://anaconda.org/conda-forge/databases,2020-11-21 20:34:38.553,77541.0,3.0,,,
138,libcloud,apache/libcloud,Apache Libcloud is a Python library which hides differences between different cloud provider APIs and allows you to..,,db-clients,https://github.com/apache/libcloud,https://github.com/apache/libcloud,Apache-2.0,2009-12-11 09:00:14.000,2021-01-13 11:30:29.000,2021-01-02 19:22:07.000,1733,2020-09-20 13:03:47.000,3.3.0,62.0,27,True,880.0,65.0,418.0,,apache-libcloud,30.0,,,46728.0,3150.0,1608.0,https://pypi.org/project/apache-libcloud,2021-01-02 19:20:03.000,1542.0,46728.0,,,,3.0,,,
139,orjson,ijl/orjson,"Fast, correct Python JSON library supporting dataclasses, datetimes, and numpy.",,serialization,https://github.com/ijl/orjson,https://github.com/ijl/orjson,Apache-2.0,2018-11-21 23:43:14.000,2021-01-12 14:36:17.000,2021-01-03 15:57:44.000,1667,2020-12-07 14:51:54.000,3.4.6,61.0,27,True,63.0,121.0,9.0,conda-forge/orjson,orjson,11.0,384.0,,333383.0,1183.0,1155.0,https://pypi.org/project/orjson,2020-12-07 14:51:54.000,28.0,328373.0,https://anaconda.org/conda-forge/orjson,2020-12-07 19:22:39.116,45090.0,3.0,,,
140,Ibis,ibis-project/ibis,"A pandas-like deferred expression system, with first-class SQL support.",,db-clients,https://github.com/ibis-project/ibis,https://github.com/ibis-project/ibis,Apache-2.0,2015-04-17 20:43:46.000,2021-01-14 14:37:43.000,2021-01-08 14:01:20.000,1497,2020-11-11 16:01:20.000,1.4.0,24.0,27,True,243.0,940.0,71.0,conda-forge/ibis-framework,ibis-framework,516.0,1326.0,,48717.0,184.0,136.0,https://pypi.org/project/ibis-framework,2020-11-11 16:01:20.000,48.0,45907.0,https://anaconda.org/conda-forge/ibis-framework,2020-11-13 03:18:14.785,160182.0,3.0,,,
141,keyring,jaraco/keyring,Store and access your passwords safely.,,cryptography,https://github.com/jaraco/keyring,https://github.com/jaraco/keyring,MIT,2015-02-24 14:10:21.000,2021-01-09 15:17:00.000,2021-01-09 15:16:51.000,626,2020-12-30 02:36:32.000,21.8.0,156.0,27,True,94.0,359.0,91.0,conda-forge/keyring,keyring,16.0,,,2160988.0,5932.0,,https://pypi.org/project/keyring,2020-12-30 02:36:27.000,5932.0,2146629.0,https://anaconda.org/conda-forge/keyring,2020-12-30 23:42:46.879,804131.0,3.0,,,
142,parsedatetime,bear/parsedatetime,Parse human-readable date/time strings.,,date-time-utils,https://github.com/bear/parsedatetime,https://github.com/bear/parsedatetime,Apache-2.0,2012-09-12 06:44:45.000,2020-11-12 09:22:02.000,2020-05-31 23:24:18.000,583,2020-05-31 23:52:03.000,2.6,16.0,27,True,100.0,93.0,49.0,conda-forge/parsedatetime,parsedatetime,54.0,369.0,,656864.0,4895.0,2699.0,https://pypi.org/project/parsedatetime,2019-11-19 05:21:54.000,2196.0,655380.0,https://anaconda.org/conda-forge/parsedatetime,2020-06-10 17:26:40.760,77191.0,3.0,,,
143,pysolr,django-haystack/pysolr,Pysolr Python Solr client.,,db-clients,https://github.com/django-haystack/pysolr,https://github.com/django-haystack/pysolr,BSD-3-Clause,2009-07-01 17:54:08.000,2021-01-09 00:24:57.000,2021-01-09 00:24:49.000,574,2020-04-17 20:27:24.000,3.9.0,34.0,27,True,298.0,115.0,60.0,conda-forge/pysolr,pysolr,21.0,460.0,,59845.0,4679.0,2181.0,https://pypi.org/project/pysolr,2020-04-17 20:16:24.000,2498.0,59551.0,https://anaconda.org/conda-forge/pysolr,2020-04-28 01:47:13.562,13823.0,3.0,,,
144,scandir,benhoyt/scandir,"Better directory iterator and faster os.walk(), now in the Python 3.5 stdlib.",,file-path-utils,https://github.com/benhoyt/scandir,https://github.com/benhoyt/scandir,BSD-3-Clause,2013-05-13 08:14:57.000,2021-01-12 06:08:03.159,2020-07-20 22:32:13.000,465,2019-03-09 18:00:51.000,1.10.0,16.0,27,True,59.0,80.0,20.0,conda-forge/scandir,scandir,11.0,443.0,,2440145.0,15629.0,11481.0,https://pypi.org/project/scandir,2019-03-09 17:58:19.000,4148.0,2420548.0,https://anaconda.org/conda-forge/scandir,2021-01-12 06:08:03.159,1058291.0,3.0,,,
145,pylibmc,lericson/pylibmc,A Python wrapper around the libmemcached interface from TangentOrg.,,caching,https://github.com/lericson/pylibmc,https://github.com/lericson/pylibmc,BSD-3-Clause,2009-07-31 19:51:02.000,2021-01-09 19:26:29.080,2020-06-29 13:01:05.000,441,2018-11-09 18:05:47.000,1.6.1,42.0,27,True,114.0,161.0,47.0,conda-forge/pylibmc,pylibmc,27.0,582.0,,70404.0,7694.0,3200.0,https://pypi.org/project/pylibmc,2019-08-15 12:04:18.000,4494.0,67697.0,https://anaconda.org/conda-forge/pylibmc,2021-01-09 19:26:29.080,146206.0,3.0,,,
146,natsort,SethMMorton/natsort,Simple yet flexible natural sorting in Python.,,utilities,https://github.com/SethMMorton/natsort,https://github.com/SethMMorton/natsort,MIT,2012-05-03 02:58:47.000,2020-12-07 05:28:30.000,2020-12-07 05:28:29.000,427,2020-01-28 07:46:27.000,7.0.1,48.0,27,True,28.0,63.0,15.0,conda-forge/natsort,natsort,,869.0,,1136345.0,5341.0,4125.0,https://pypi.org/project/natsort,2020-01-28 07:46:27.000,1216.0,1130891.0,https://anaconda.org/conda-forge/natsort,2020-11-21 02:56:55.582,250887.0,3.0,,,
147,futures,agronholm/pythonfutures,Backport of the concurrent.futures package to Python 2.6 and 2.7.,,compatibility,https://github.com/agronholm/pythonfutures,https://github.com/agronholm/pythonfutures,Python-2.0,2015-03-13 23:36:07.000,2020-03-18 16:57:48.065,2020-01-09 23:00:40.000,214,2019-07-15 09:33:00.000,3.3.0,23.0,27,True,46.0,62.0,18.0,conda-forge/futures,futures,7.0,126.0,,14900497.0,40195.0,25313.0,https://pypi.org/project/futures,2019-07-15 09:33:00.000,14882.0,14879450.0,https://anaconda.org/conda-forge/futures,2020-03-18 16:57:48.065,1115495.0,3.0,,,
148,param,holoviz/param,Param: Make your Python code clearer and more reliable by declaring Parameters.,,data-validation,https://github.com/holoviz/param,https://github.com/holoviz/param,BSD-3-Clause,2012-05-01 11:51:08.000,2021-01-08 16:15:48.891,2020-12-22 15:36:10.000,187,2021-01-06 18:56:22.000,1.10.1,27.0,27,True,40.0,140.0,27.0,conda-forge/param,param,114.0,609.0,,94792.0,1319.0,1183.0,https://pypi.org/project/param,2021-01-06 18:56:22.000,136.0,89925.0,https://anaconda.org/conda-forge/param,2021-01-08 16:15:48.891,219018.0,3.0,,,
149,srsly,explosion/srsly,"Modern high-performance serialization utilities for Python (JSON, MessagePack, Pickle).",,serialization,https://github.com/explosion/srsly,https://github.com/explosion/srsly,MIT,2018-12-01 03:21:56.000,2021-01-13 13:17:29.484,2020-11-26 10:35:53.000,180,2020-11-10 14:55:35.000,2.3.2,28.0,27,True,20.0,15.0,10.0,conda-forge/srsly,srsly,3.0,241.0,,759075.0,8287.0,7879.0,https://pypi.org/project/srsly,2020-11-10 14:55:35.000,408.0,744066.0,https://anaconda.org/conda-forge/srsly,2021-01-13 13:17:29.484,345220.0,3.0,,,
150,flexx,flexxui/flexx,Write desktop and web apps in pure Python.,,gui-dev,https://github.com/flexxui/flexx,https://github.com/flexxui/flexx,BSD-2-Clause,2014-09-03 08:38:00.000,2021-01-14 13:32:21.000,2020-12-21 09:54:57.000,2510,2020-09-07 13:31:44.000,0.8.1,14.0,26,True,236.0,329.0,36.0,conda-forge/flexx,flexx,73.0,1920.0,,2208.0,98.0,80.0,https://pypi.org/project/flexx,2020-09-07 13:31:44.000,18.0,861.0,https://anaconda.org/conda-forge/flexx,2020-09-07 14:44:59.757,72790.0,3.0,,,
151,funcy,Suor/funcy,A fancy and practical functional tools.,,utilities,https://github.com/Suor/funcy,https://github.com/Suor/funcy,BSD-3-Clause,2012-10-13 00:44:57.000,2020-09-26 18:07:31.665,2020-09-26 08:43:19.000,2429,2018-06-30 04:16:20.000,1.10.3,47.0,26,True,117.0,57.0,24.0,conda-forge/funcy,funcy,4.0,914.0,,218704.0,3312.0,2450.0,https://pypi.org/project/funcy,2020-09-26 12:02:17.000,862.0,216624.0,https://anaconda.org/conda-forge/funcy,2020-09-26 18:07:31.665,99847.0,3.0,,,
152,retrying,rholder/retrying,"Retrying is an Apache 2.0 licensed general-purpose retrying library, written in Python, to simplify the task of adding..",,utilities,https://github.com/rholder/retrying,https://github.com/rholder/retrying,Apache-2.0,2013-01-22 06:13:26.000,2020-05-06 14:04:51.000,2016-06-07 04:02:12.000,1635,2014-12-15 01:15:08.000,1.3.3,11.0,26,False,139.0,12.0,15.0,conda-forge/retrying,retrying,46.0,95.0,,4454677.0,3490.0,,https://pypi.org/project/retrying,2014-12-15 01:15:08.000,3490.0,4445150.0,https://anaconda.org/conda-forge/retrying,2018-07-16 11:28:10.934,495434.0,3.0,,,
153,AWS Data Wrangler,awslabs/aws-data-wrangler,"Pandas on AWS - Easy integration with Athena, Glue, Redshift, Timestream, QuickSight, Chime, CloudWatchLogs, DynamoDB,..",,db-clients,https://github.com/awslabs/aws-data-wrangler,https://github.com/awslabs/aws-data-wrangler,Apache-2.0,2019-02-26 01:39:02.000,2021-01-13 22:18:25.000,2021-01-13 20:28:59.000,1358,2021-01-10 14:36:42.000,2.3.0,105.0,26,True,218.0,272.0,59.0,,awswrangler,25.0,1201.0,20424.0,487595.0,0.0,,https://pypi.org/project/awswrangler,2021-01-10 14:17:53.000,0.0,486461.0,,,,3.0,,['pandas'],
154,pyfilesystem2,pyfilesystem/pyfilesystem2,Python's Filesystem abstraction layer.,,file-path-utils,https://github.com/PyFilesystem/pyfilesystem2,https://github.com/PyFilesystem/pyfilesystem2,MIT,2016-10-14 15:05:27.000,2021-01-14 14:14:13.000,2021-01-14 14:13:26.000,1187,2019-09-07 14:57:55.000,2.4.11,81.0,26,True,118.0,226.0,37.0,,fs,51.0,509.0,,107820.0,796.0,,https://pypi.org/project/fs,2019-09-07 14:57:10.000,796.0,107820.0,,,,3.0,,,-1.0
155,pygsheets,nithinmurali/pygsheets,Google Sheets Python API v4.,,db-clients,https://github.com/nithinmurali/pygsheets,https://github.com/nithinmurali/pygsheets,MIT,2016-06-06 17:20:44.000,2020-12-22 10:22:09.000,2020-12-22 10:22:08.000,1089,2020-03-21 13:58:49.000,2.0.3.1,15.0,26,True,167.0,290.0,67.0,,pygsheets,28.0,953.0,,2810099.0,666.0,562.0,https://pypi.org/project/pygsheets,2020-03-21 13:51:33.000,104.0,2810099.0,,,,3.0,,,
156,PyPika,kayak/pypika,PyPika is a python SQL query builder that exposes the full richness of the SQL language using a syntax that reflects..,,db-clients,https://github.com/kayak/pypika,https://github.com/kayak/pypika,Apache-2.0,2016-07-06 14:08:50.000,2021-01-13 15:29:14.000,2021-01-13 15:29:13.000,1038,2021-01-11 10:31:58.000,0.47.2,198.0,26,True,140.0,215.0,70.0,,pypika,55.0,941.0,,372600.0,528.0,490.0,https://pypi.org/project/pypika,2021-01-11 10:31:58.000,38.0,372600.0,,,,3.0,,,
157,cx-Oracle,oracle/python-cx_Oracle,Python interface to Oracle Database conforming to the Python DB API 2.0 specification.,,db-clients,https://github.com/oracle/python-cx_Oracle,https://github.com/oracle/python-cx_Oracle,BSD-3-Clause,2017-03-07 04:03:36.000,2021-01-05 18:23:20.000,2021-01-05 18:23:11.000,695,2020-12-08 21:31:48.000,8.1.0,32.0,26,True,245.0,466.0,16.0,,cx-Oracle,37.0,1079.0,,961119.0,144.0,,https://pypi.org/project/cx-Oracle,2020-12-08 21:31:48.000,144.0,961119.0,,,,3.0,,,
158,dataclasses,ericvsmith/dataclasses,A backport of the dataclasses module for Python 3.6.,,compatibility,https://github.com/ericvsmith/dataclasses,https://github.com/ericvsmith/dataclasses,Apache-2.0,2017-05-19 20:46:27.000,2020-11-13 14:41:57.000,2020-11-13 14:26:05.000,471,,,8.0,26,True,40.0,108.0,11.0,conda-forge/dataclasses,dataclasses,11.0,287.0,,3207555.0,11727.0,10773.0,https://pypi.org/project/dataclasses,2020-11-13 14:40:29.000,954.0,3185919.0,https://anaconda.org/conda-forge/dataclasses,2020-10-07 12:55:35.859,692359.0,3.0,,,-1.0
159,beaker,bbangert/beaker,WSGI middleware for sessions and caching.,,caching,https://github.com/bbangert/beaker,https://github.com/bbangert/beaker,BSD-3-Clause,2011-10-16 17:48:39.000,2020-10-08 07:45:30.000,2020-10-08 07:45:29.000,464,2019-08-26 22:02:52.000,1.11.0,58.0,26,True,126.0,49.0,85.0,conda-forge/beaker,beaker,58.0,799.0,,99188.0,5220.0,2606.0,https://pypi.org/project/beaker,2019-08-26 22:02:01.000,2614.0,98183.0,https://anaconda.org/conda-forge/beaker,2019-08-27 07:08:58.966,46270.0,3.0,,,
160,munch,Infinidat/munch,A Munch is a Python dictionary that provides attribute-style access (a la JavaScript objects).,,data-structures,https://github.com/Infinidat/munch,https://github.com/Infinidat/munch,MIT,2012-03-08 21:20:50.000,2020-07-22 10:55:31.000,2020-07-22 10:55:30.000,441,2019-10-30 09:56:06.000,2.5.0,13.0,26,True,62.0,25.0,23.0,conda-forge/munch,munch,6.0,156.0,,840106.0,1134.0,,https://pypi.org/project/munch,2020-03-09 16:20:42.000,1134.0,825482.0,https://anaconda.org/conda-forge/munch,2019-10-30 13:10:23.404,848248.0,3.0,,,
161,python-rapidjson,python-rapidjson/python-rapidjson,Python wrapper around rapidjson.,,serialization,https://github.com/python-rapidjson/python-rapidjson,https://github.com/python-rapidjson/python-rapidjson,MIT,2015-09-09 04:02:42.000,2021-01-12 12:18:51.408,2020-12-13 09:54:09.000,410,2020-11-16 12:53:09.000,0.9.4,48.0,26,True,34.0,86.0,17.0,conda-forge/python-rapidjson,python-rapidjson,7.0,601.0,,254158.0,1203.0,911.0,https://pypi.org/project/python-rapidjson,2020-12-13 10:07:07.000,292.0,247547.0,https://anaconda.org/conda-forge/python-rapidjson,2021-01-12 12:18:51.408,317338.0,3.0,,,
162,pyscreenshot,ponty/pyscreenshot,"Python screenshot library, replacement for the Pillow ImageGrab module on Linux.",,others,https://github.com/ponty/pyscreenshot,https://github.com/ponty/pyscreenshot,BSD-2-Clause,2011-02-01 13:02:51.000,2020-12-30 13:35:40.000,2020-12-30 11:17:24.000,383,2018-12-21 10:20:02.000,0.5.1,21.0,26,True,75.0,60.0,22.0,,pyscreenshot,5.0,564.0,,100847.0,1402.0,978.0,https://pypi.org/project/pyscreenshot,2020-12-27 14:52:35.000,424.0,100847.0,,,,3.0,,,
163,cloudant,cloudant/python-cloudant,A Python library for Cloudant and CouchDB.,,db-clients,https://github.com/cloudant/python-cloudant,https://github.com/cloudant/python-cloudant,Apache-2.0,2015-08-28 16:22:49.000,2021-01-08 17:18:14.000,2021-01-08 17:17:26.000,158,2020-08-18 12:14:54.000,2.14.0,46.0,26,True,46.0,240.0,27.0,conda-forge/cloudant,cloudant,39.0,803.0,,40179.0,1810.0,1276.0,https://pypi.org/project/cloudant,2020-08-18 11:22:22.000,534.0,38815.0,https://anaconda.org/conda-forge/cloudant,2019-05-18 03:07:25.357,70978.0,3.0,,,
164,isodate,gweis/isodate,ISO 8601 date/time parser.,,date-time-utils,https://github.com/gweis/isodate,https://github.com/gweis/isodate,BSD-3-Clause,2012-10-29 23:32:06.000,2020-12-29 02:41:37.000,2018-08-02 23:45:26.000,89,2017-10-13 09:25:14.000,0.6.0,15.0,26,False,34.0,11.0,16.0,conda-forge/isodate,isodate,20.0,144.0,,14741507.0,12859.0,9921.0,https://pypi.org/project/isodate,2017-10-13 09:25:14.000,2938.0,14729903.0,https://anaconda.org/conda-forge/isodate,2018-08-04 23:15:08.700,673053.0,3.0,,,
165,pathlib2,mcmtroffaes/pathlib2,"Backport of pathlib aiming to support the full stdlib Python API. As of January 1 2020, this repository will no longer..",,compatibility,https://github.com/mcmtroffaes/pathlib2,https://github.com/mcmtroffaes/pathlib2,MIT,2014-10-18 08:28:33.000,2021-01-08 20:23:59.223,2020-01-07 11:01:48.000,61,2019-09-27 07:33:53.000,2.3.5,11.0,26,False,16.0,29.0,11.0,conda-forge/pathlib2,pathlib2,,394.0,,2982835.0,40845.0,33023.0,https://pypi.org/project/pathlib2,2019-09-27 07:33:53.000,7822.0,2953523.0,https://anaconda.org/conda-forge/pathlib2,2021-01-08 20:23:59.223,1582883.0,3.0,,,
