,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,updated_github_id,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
286,csvs-to-sqlite,simonw/csvs-to-sqlite,Convert CSV files into a SQLite database.,,data-loading,https://github.com/simonw/csvs-to-sqlite,https://github.com/simonw/csvs-to-sqlite,Apache-2.0,2017-11-13 06:38:21.000000,2022-01-03 21:23:37.000000,2021-11-18 16:33:36.000000,85.0,4.0,50,16.0,24.0,34.0,29.0,669,2021-11-18 16:35:33.000000,1.3,16.0,6.0,18,True,,csvs-to-sqlite,,2923.0,5.0,,https://pypi.org/project/csvs-to-sqlite,2021-11-18 16:36:40.000000,5.0,2923.0,,,,3.0,,,,,,,,,,,
287,coolname,alexanderlukanin13/coolname,Random Name and Slug Generator.,,text,https://github.com/alexanderlukanin13/coolname,https://github.com/alexanderlukanin13/coolname,BSD-2-Clause,2015-11-06 18:07:11.000000,2021-11-07 23:17:43.319000,2021-04-02 11:44:23.000000,130.0,,5,5.0,6.0,3.0,5.0,84,2018-08-02 15:41:30.000000,1.1.0,6.0,2.0,18,False,conda-forge/coolname,coolname,,45933.0,334.0,297.0,https://pypi.org/project/coolname,2018-08-02 15:41:30.000000,37.0,44763.0,https://anaconda.org/conda-forge/coolname,2021-11-07 23:17:43.319000,15222.0,3.0,,,,,,,,,,,
288,docopt-ng,jazzband/docopt-ng,"Humane command line arguments parser. Now with maintenance, typehints, and complete test coverage.",,cli-helpers,https://github.com/jazzband/docopt-ng,https://github.com/jazzband/docopt-ng,MIT,2019-03-26 15:35:29.000000,2021-11-10 11:22:19.000000,2021-10-13 20:21:59.000000,525.0,,11,8.0,8.0,16.0,2.0,67,2019-03-26 17:03:46.000000,0.7.2,4.0,42.0,18,False,,docopt-ng,,4141.0,66.0,60.0,https://pypi.org/project/docopt-ng,2019-03-26 17:03:46.000000,6.0,4141.0,,,,3.0,,,,,,,,,,,
289,colout,nojhan/colout,Color text streams with a polished command line interface.,,cli-helpers,https://github.com/nojhan/colout,https://github.com/nojhan/colout,GPL-3.0,2012-03-31 10:39:00.000000,2020-08-13 16:59:05.000000,2020-08-02 07:43:02.000000,247.0,,55,33.0,44.0,11.0,56.0,1053,2020-06-21 20:04:58.000000,0.12.1,6.0,29.0,17,False,,colout,,78.0,4.0,4.0,https://pypi.org/project/colout,2020-06-21 20:04:58.000000,,78.0,,,,3.0,,,,,,,,,,,
290,stackless,stackless-dev/stackless,The Stackless Python programming language.,,python-implementations,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10.000000,2021-09-18 11:33:53.000000,2021-08-11 18:33:11.000000,106029.0,,53,34.0,39.0,11.0,255.0,784,,,,998.0,17,False,,,,,,,,,,,,,,3.0,,,,,,,,,,,
291,psycopg3,psycopg/psycopg3,New generation PostgreSQL database adapter for the Python programming language.,,db-clients,https://github.com/psycopg/psycopg,https://github.com/psycopg/psycopg,LGPL-3.0,2020-03-15 04:15:53.000000,2022-01-09 17:50:33.000000,2022-01-09 17:46:58.000000,1831.0,322.0,45,28.0,78.0,17.0,89.0,573,,,,14.0,17,True,,,,,,,,,,,,,,3.0,,psycopg/psycopg,,,,,,,,,
292,lazydata,rstojnic/lazydata,Lazydata: Scalable data dependencies for Python projects.,,db-clients,https://github.com/rstojnic/lazydata,https://github.com/rstojnic/lazydata,Apache-2.0,2018-08-21 12:44:27.000000,2019-02-13 18:15:09.000000,2018-10-12 11:40:26.000000,216.0,,24,18.0,9.0,7.0,6.0,633,2018-09-18 21:25:30.000000,1.0.19,19.0,6.0,16,False,,lazydata,,25.0,10.0,8.0,https://pypi.org/project/lazydata,2018-09-18 21:25:30.000000,2.0,25.0,,,,3.0,,,,,,,,,,,
293,validr,guyskk/validr,"A simple, fast, extensible python library for data validation.",,data-validation,https://github.com/guyskk/validr,https://github.com/guyskk/validr,MIT,2015-09-05 05:47:04.000000,2021-07-12 08:04:42.000000,2021-07-12 08:04:42.000000,371.0,,11,10.0,34.0,3.0,20.0,208,2021-03-10 16:40:20.000000,1.2.1,23.0,7.0,16,True,,validr,,8049.0,4.0,,https://pypi.org/project/validr,2021-03-10 16:40:20.000000,4.0,8049.0,,,,3.0,,,,,,,,,,,
294,PugSQL,mcfunley/pugsql,A HugSQL-inspired database library for Python.,,db-clients,https://github.com/mcfunley/pugsql,https://github.com/mcfunley/pugsql,Apache-2.0,2019-05-19 16:55:38.000000,2021-09-27 22:00:35.000000,2021-03-31 15:36:33.000000,256.0,,18,6.0,20.0,15.0,20.0,480,2020-09-13 06:06:09.000000,0.2.3,24.0,11.0,15,True,,pugsql,,1811.0,1.0,,https://pypi.org/project/pugsql,2020-09-13 06:06:09.000000,1.0,1811.0,,,,3.0,,,,,,,,,,,
295,wssh,aluzzardi/wssh,SSH to WebSockets Bridge.,,infrastructure,https://github.com/aluzzardi/wssh,https://github.com/aluzzardi/wssh,MIT,2012-07-24 05:26:41.000000,2019-02-12 13:08:18.000000,2016-10-11 00:37:04.000000,34.0,,275,86.0,15.0,26.0,5.0,1309,,,,9.0,14,False,,,,,9.0,9.0,,,,,,,,3.0,,,,,,,,,,,
296,SuperSQLite,plasticityai/supersqlite,A supercharged SQLite library for Python.,,db-clients,https://github.com/plasticityai/supersqlite,https://github.com/plasticityai/supersqlite,MIT,2018-11-09 08:20:26.000000,2020-05-09 09:06:06.000000,2019-08-27 13:16:09.000000,221.0,,21,11.0,3.0,5.0,1.0,688,2018-11-22 02:36:13.000000,0.0.78,57.0,2.0,14,False,,supersqlite,,97.0,10.0,9.0,https://pypi.org/project/supersqlite,2018-11-22 02:36:46.000000,1.0,97.0,,,,3.0,8.0,,,,,,,,,,
297,cleverdict,PFython/cleverdict,A JSON-friendly data structure which allows both object attributes and dictionary keys and values to be used..,,data-structures,https://github.com/PFython/cleverdict,https://github.com/PFython/cleverdict,MIT,2020-06-20 05:07:58.000000,2021-11-29 09:36:10.000000,2021-11-29 09:36:10.000000,186.0,1.0,6,1.0,10.0,8.0,12.0,83,2021-02-05 14:01:42.000000,1.9.1,27.0,5.0,14,False,,cleverdict,,200.0,13.0,12.0,https://pypi.org/project/cleverdict,2021-02-05 13:58:12.000000,1.0,200.0,,,,3.0,,,,,,,,,,,
298,millify,azaitsev/millify,Convert long numbers into a human-readable format in Python.,,text,https://github.com/azaitsev/millify,https://github.com/azaitsev/millify,MIT,2018-01-15 01:27:12.000000,2021-10-04 19:28:16.000000,2018-01-15 02:44:36.000000,5.0,,8,,2.0,1.0,,49,2018-01-15 02:19:08.000000,0.1.1,1.0,1.0,14,False,,millify,,30155.0,156.0,151.0,https://pypi.org/project/millify,2018-01-15 02:19:08.000000,5.0,30155.0,,,,3.0,,,,,,,,,,,
299,cl-python,metawilm/cl-python,An implementation of Python in Common Lisp.,,python-implementations,https://github.com/metawilm/cl-python,https://github.com/metawilm/cl-python,,2009-05-14 18:00:17.000000,2020-04-15 08:28:06.000000,2020-04-15 08:28:04.000000,1489.0,,31,28.0,10.0,3.0,13.0,327,,,,12.0,11,False,,,,,,,,,,,,,,3.0,,,,,,,,,,,
